stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
20,B,1,social,beka95,0,0
22,B,1,social,beka95,1,0
82,B,0,social,beka95,2,0
92,B,0,social,beka95,3,0
92,A,1,social,beka95,0,1
20,A,0,social,beka95,1,1
82,A,1,social,beka95,2,1
22,B,1,social,beka95,3,1
82,B,0,social,beka95,0,2
20,B,1,social,beka95,1,2
22,A,0,social,beka95,2,2
92,B,0,social,beka95,3,2
22,A,0,social,beka95,0,3
82,B,1,social,beka95,1,3
92,B,0,social,beka95,2,3
20,A,1,social,beka95,3,3
92,B,0,social,beka95,0,4
82,B,0,social,beka95,1,4
20,A,0,social,beka95,2,4
22,A,0,social,beka95,3,4
82,B,0,social,beka95,0,5
20,A,0,social,beka95,1,5
22,A,0,social,beka95,2,5
92,B,0,social,beka95,3,5
89,B,1,nonsocial,beka95,0,0
53,A,1,nonsocial,beka95,1,0
73,A,0,nonsocial,beka95,2,0
21,A,1,nonsocial,beka95,3,0
21,A,1,nonsocial,beka95,0,1
89,B,1,nonsocial,beka95,1,1
73,B,1,nonsocial,beka95,2,1
53,A,0,nonsocial,beka95,3,1
21,A,1,nonsocial,beka95,0,2
53,A,1,nonsocial,beka95,1,2
89,B,1,nonsocial,beka95,2,2
73,B,1,nonsocial,beka95,3,2
53,A,1,nonsocial,beka95,0,3
89,B,0,nonsocial,beka95,1,3
73,B,1,nonsocial,beka95,2,3
21,A,1,nonsocial,beka95,3,3
21,A,0,nonsocial,beka95,0,4
73,B,1,nonsocial,beka95,1,4
53,A,0,nonsocial,beka95,2,4
89,B,1,nonsocial,beka95,3,4
89,B,1,nonsocial,beka95,0,5
21,A,1,nonsocial,beka95,1,5
53,A,1,nonsocial,beka95,2,5
73,B,1,nonsocial,beka95,3,5
92,A,0,social,beka95,0,0
20,A,0,social,beka95,1,0
82,B,0,social,beka95,2,0
22,B,1,social,beka95,3,0
22,B,1,social,beka95,0,1
92,A,1,social,beka95,1,1
20,A,0,social,beka95,2,1
82,B,0,social,beka95,3,1
20,B,1,social,beka95,0,2
22,A,0,social,beka95,1,2
92,B,1,social,beka95,2,2
82,A,1,social,beka95,3,2
82,A,1,social,beka95,0,3
92,B,0,social,beka95,1,3
22,B,1,social,beka95,2,3
20,B,1,social,beka95,3,3
82,A,1,social,beka95,0,4
20,A,0,social,beka95,1,4
22,A,0,social,beka95,2,4
92,B,0,social,beka95,3,4
92,A,1,social,beka95,0,5
22,A,0,social,beka95,1,5
20,A,0,social,beka95,2,5
82,B,1,social,beka95,3,5
89,A,0,nonsocial,beka95,0,0
21,A,1,nonsocial,beka95,1,0
73,A,0,nonsocial,beka95,2,0
53,A,1,nonsocial,beka95,3,0
21,A,1,nonsocial,beka95,0,1
89,B,0,nonsocial,beka95,1,1
73,B,1,nonsocial,beka95,2,1
53,A,1,nonsocial,beka95,3,1
89,B,1,nonsocial,beka95,0,2
73,B,1,nonsocial,beka95,1,2
53,A,1,nonsocial,beka95,2,2
21,A,1,nonsocial,beka95,3,2
89,B,1,nonsocial,beka95,0,3
21,A,1,nonsocial,beka95,1,3
73,B,1,nonsocial,beka95,2,3
53,A,1,nonsocial,beka95,3,3
53,A,1,nonsocial,beka95,0,4
89,B,1,nonsocial,beka95,1,4
21,A,1,nonsocial,beka95,2,4
73,A,1,nonsocial,beka95,3,4
89,A,1,nonsocial,beka95,0,5
21,A,1,nonsocial,beka95,1,5
53,A,1,nonsocial,beka95,2,5
73,B,0,nonsocial,beka95,3,5
