stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
46,B,B,1,True,social,brte95,0,0,0.0
70,B,A,0,False,social,brte95,1,0,0.0
98,A,A,1,True,social,brte95,2,0,0.0
26,B,B,0,True,social,brte95,3,0,0.0
46,B,B,1,True,social,brte95,0,1,0.0
70,A,A,1,True,social,brte95,1,1,0.0
26,B,B,1,True,social,brte95,2,1,0.0
98,B,A,0,False,social,brte95,3,1,0.0
98,A,A,1,True,social,brte95,0,2,0.0
26,B,B,1,True,social,brte95,1,2,0.0
70,B,A,0,False,social,brte95,2,2,0.0
46,A,B,0,False,social,brte95,3,2,0.0
26,B,B,1,True,social,brte95,0,3,0.0
98,B,A,0,False,social,brte95,1,3,0.0
46,A,B,0,False,social,brte95,2,3,0.0
70,B,A,0,False,social,brte95,3,3,0.0
46,B,B,1,True,social,brte95,0,4,0.0
26,A,B,0,False,social,brte95,1,4,0.0
98,B,A,0,False,social,brte95,2,4,0.0
70,A,A,1,True,social,brte95,3,4,0.0
46,A,B,0,False,social,brte95,0,5,0.0
26,B,B,1,True,social,brte95,1,5,0.0
70,A,A,1,True,social,brte95,2,5,0.0
98,A,A,1,True,social,brte95,3,5,0.0
73,B,B,1,True,nonsocial,brte95,0,0,1.0
51,A,A,1,True,nonsocial,brte95,1,0,1.0
27,A,B,0,False,nonsocial,brte95,2,0,1.0
25,A,A,1,True,nonsocial,brte95,3,0,1.0
25,A,A,0,True,nonsocial,brte95,0,1,1.0
51,B,A,0,False,nonsocial,brte95,1,1,1.0
73,B,B,1,True,nonsocial,brte95,2,1,1.0
27,A,B,0,False,nonsocial,brte95,3,1,1.0
73,A,B,1,False,nonsocial,brte95,0,2,1.0
27,B,B,1,True,nonsocial,brte95,1,2,1.0
51,A,A,1,True,nonsocial,brte95,2,2,1.0
25,B,A,0,False,nonsocial,brte95,3,2,1.0
73,A,B,0,False,nonsocial,brte95,0,3,1.0
25,B,A,0,False,nonsocial,brte95,1,3,1.0
51,A,A,0,True,nonsocial,brte95,2,3,1.0
27,B,B,1,True,nonsocial,brte95,3,3,1.0
51,B,A,0,False,nonsocial,brte95,0,4,1.0
73,A,B,0,False,nonsocial,brte95,1,4,1.0
25,B,A,0,False,nonsocial,brte95,2,4,1.0
27,A,B,0,False,nonsocial,brte95,3,4,1.0
27,B,B,0,True,nonsocial,brte95,0,5,1.0
51,B,A,0,False,nonsocial,brte95,1,5,1.0
73,B,B,0,True,nonsocial,brte95,2,5,1.0
25,A,A,1,True,nonsocial,brte95,3,5,1.0
70,B,A,0,False,social,brte95,0,0,2.0
98,A,A,1,True,social,brte95,1,0,2.0
46,B,B,1,True,social,brte95,2,0,2.0
26,B,B,1,True,social,brte95,3,0,2.0
70,B,A,0,False,social,brte95,0,1,2.0
98,A,A,1,True,social,brte95,1,1,2.0
26,B,B,0,True,social,brte95,2,1,2.0
46,A,B,0,False,social,brte95,3,1,2.0
70,A,A,1,True,social,brte95,0,2,2.0
46,B,B,0,True,social,brte95,1,2,2.0
98,B,A,0,False,social,brte95,2,2,2.0
26,A,B,0,False,social,brte95,3,2,2.0
46,A,B,0,False,social,brte95,0,3,2.0
70,B,A,1,False,social,brte95,1,3,2.0
98,A,A,1,True,social,brte95,2,3,2.0
26,B,B,1,True,social,brte95,3,3,2.0
70,A,A,1,True,social,brte95,0,4,2.0
98,B,A,1,False,social,brte95,1,4,2.0
46,A,B,0,False,social,brte95,2,4,2.0
26,B,B,1,True,social,brte95,3,4,2.0
26,B,B,1,True,social,brte95,0,5,2.0
46,A,B,0,False,social,brte95,1,5,2.0
70,B,A,0,False,social,brte95,2,5,2.0
98,A,A,0,True,social,brte95,3,5,2.0
25,B,A,0,False,nonsocial,brte95,0,0,3.0
27,A,B,1,False,nonsocial,brte95,1,0,3.0
51,B,A,0,False,nonsocial,brte95,2,0,3.0
73,A,B,1,False,nonsocial,brte95,3,0,3.0
73,A,B,0,False,nonsocial,brte95,0,1,3.0
25,B,A,0,False,nonsocial,brte95,1,1,3.0
27,A,B,0,False,nonsocial,brte95,2,1,3.0
51,B,A,1,False,nonsocial,brte95,3,1,3.0
51,A,A,1,True,nonsocial,brte95,0,2,3.0
25,B,A,0,False,nonsocial,brte95,1,2,3.0
27,A,B,0,False,nonsocial,brte95,2,2,3.0
73,B,B,0,True,nonsocial,brte95,3,2,3.0
73,B,B,0,True,nonsocial,brte95,0,3,3.0
25,A,A,1,True,nonsocial,brte95,1,3,3.0
27,A,B,0,False,nonsocial,brte95,2,3,3.0
51,B,A,0,False,nonsocial,brte95,3,3,3.0
51,A,A,1,True,nonsocial,brte95,0,4,3.0
27,B,B,1,True,nonsocial,brte95,1,4,3.0
25,A,A,1,True,nonsocial,brte95,2,4,3.0
73,B,B,1,True,nonsocial,brte95,3,4,3.0
73,A,B,1,False,nonsocial,brte95,0,5,3.0
51,B,A,0,False,nonsocial,brte95,1,5,3.0
25,A,A,1,True,nonsocial,brte95,2,5,3.0
27,A,B,0,False,nonsocial,brte95,3,5,3.0
