stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
54,A,0,nonsocial,caka98,0,0
48,A,0,nonsocial,caka98,1,0
58,B,0,nonsocial,caka98,2,0
34,A,1,nonsocial,caka98,3,0
58,B,0,nonsocial,caka98,0,1
54,B,1,nonsocial,caka98,1,1
34,B,1,nonsocial,caka98,2,1
48,B,1,nonsocial,caka98,3,1
34,B,1,nonsocial,caka98,0,2
58,A,1,nonsocial,caka98,1,2
48,B,1,nonsocial,caka98,2,2
54,B,1,nonsocial,caka98,3,2
48,A,0,nonsocial,caka98,0,3
54,A,1,nonsocial,caka98,1,3
34,,0,nonsocial,caka98,2,3
58,A,1,nonsocial,caka98,3,3
34,A,1,nonsocial,caka98,0,4
54,B,1,nonsocial,caka98,1,4
48,A,1,nonsocial,caka98,2,4
58,A,1,nonsocial,caka98,3,4
54,A,0,nonsocial,caka98,0,5
48,A,0,nonsocial,caka98,1,5
58,A,1,nonsocial,caka98,2,5
34,B,1,nonsocial,caka98,3,5
13,A,0,social,caka98,0,0
73,B,0,social,caka98,1,0
43,A,1,social,caka98,2,0
89,A,0,social,caka98,3,0
89,B,1,social,caka98,0,1
13,B,1,social,caka98,1,1
73,B,0,social,caka98,2,1
43,A,1,social,caka98,3,1
43,A,0,social,caka98,0,2
89,B,1,social,caka98,1,2
73,B,0,social,caka98,2,2
13,B,1,social,caka98,3,2
73,A,1,social,caka98,0,3
89,B,1,social,caka98,1,3
43,A,1,social,caka98,2,3
13,B,1,social,caka98,3,3
43,A,1,social,caka98,0,4
13,B,1,social,caka98,1,4
73,A,1,social,caka98,2,4
89,B,1,social,caka98,3,4
43,A,1,social,caka98,0,5
89,B,1,social,caka98,1,5
13,B,1,social,caka98,2,5
73,A,1,social,caka98,3,5
54,B,1,nonsocial,caka98,0,0
34,B,0,nonsocial,caka98,1,0
58,B,0,nonsocial,caka98,2,0
48,B,1,nonsocial,caka98,3,0
54,B,0,nonsocial,caka98,0,1
34,A,0,nonsocial,caka98,1,1
48,B,1,nonsocial,caka98,2,1
58,A,1,nonsocial,caka98,3,1
54,B,1,nonsocial,caka98,0,2
58,B,1,nonsocial,caka98,1,2
34,A,0,nonsocial,caka98,2,2
48,B,0,nonsocial,caka98,3,2
34,B,0,nonsocial,caka98,0,3
58,B,1,nonsocial,caka98,1,3
48,B,1,nonsocial,caka98,2,3
54,B,1,nonsocial,caka98,3,3
48,B,1,nonsocial,caka98,0,4
58,B,0,nonsocial,caka98,1,4
34,A,1,nonsocial,caka98,2,4
54,B,1,nonsocial,caka98,3,4
34,A,0,nonsocial,caka98,0,5
54,B,1,nonsocial,caka98,1,5
48,B,1,nonsocial,caka98,2,5
58,B,0,nonsocial,caka98,3,5
43,A,1,social,caka98,0,0
89,A,0,social,caka98,1,0
13,A,0,social,caka98,2,0
73,A,1,social,caka98,3,0
13,B,1,social,caka98,0,1
73,A,1,social,caka98,1,1
43,A,1,social,caka98,2,1
89,B,1,social,caka98,3,1
43,A,1,social,caka98,0,2
89,B,1,social,caka98,1,2
73,A,1,social,caka98,2,2
13,B,1,social,caka98,3,2
73,A,0,social,caka98,0,3
43,A,1,social,caka98,1,3
13,B,1,social,caka98,2,3
89,B,0,social,caka98,3,3
43,A,0,social,caka98,0,4
89,B,1,social,caka98,1,4
13,B,0,social,caka98,2,4
73,A,0,social,caka98,3,4
89,B,0,social,caka98,0,5
43,A,1,social,caka98,1,5
73,A,1,social,caka98,2,5
13,B,1,social,caka98,3,5
