stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
18,B,B,1,True,nonsocial,chpo96,0,0,0.0
20,A,A,1,True,nonsocial,chpo96,1,0,0.0
26,B,B,1,True,nonsocial,chpo96,2,0,0.0
44,A,A,1,True,nonsocial,chpo96,3,0,0.0
26,B,B,0,True,nonsocial,chpo96,0,1,0.0
18,B,B,1,True,nonsocial,chpo96,1,1,0.0
44,B,A,1,False,nonsocial,chpo96,2,1,0.0
20,A,A,1,True,nonsocial,chpo96,3,1,0.0
20,A,A,1,True,nonsocial,chpo96,0,2,0.0
26,A,B,0,False,nonsocial,chpo96,1,2,0.0
18,B,B,1,True,nonsocial,chpo96,2,2,0.0
44,B,A,0,False,nonsocial,chpo96,3,2,0.0
26,B,B,1,True,nonsocial,chpo96,0,3,0.0
44,A,A,1,True,nonsocial,chpo96,1,3,0.0
20,B,A,0,False,nonsocial,chpo96,2,3,0.0
18,B,B,1,True,nonsocial,chpo96,3,3,0.0
20,A,A,1,True,nonsocial,chpo96,0,4,0.0
18,B,B,1,True,nonsocial,chpo96,1,4,0.0
44,A,A,1,True,nonsocial,chpo96,2,4,0.0
26,B,B,1,True,nonsocial,chpo96,3,4,0.0
26,B,B,0,True,nonsocial,chpo96,0,5,0.0
44,A,A,1,True,nonsocial,chpo96,1,5,0.0
18,B,B,1,True,nonsocial,chpo96,2,5,0.0
20,A,A,1,True,nonsocial,chpo96,3,5,0.0
71,A,A,1,True,social,chpo96,0,0,1.0
29,B,A,0,False,social,chpo96,1,0,1.0
37,B,B,1,True,social,chpo96,2,0,1.0
47,B,B,1,True,social,chpo96,3,0,1.0
47,B,B,1,True,social,chpo96,0,1,1.0
37,A,B,0,False,social,chpo96,1,1,1.0
29,A,A,1,True,social,chpo96,2,1,1.0
71,A,A,1,True,social,chpo96,3,1,1.0
71,A,A,1,True,social,chpo96,0,2,1.0
37,B,B,1,True,social,chpo96,1,2,1.0
29,A,A,1,True,social,chpo96,2,2,1.0
47,B,B,1,True,social,chpo96,3,2,1.0
37,B,B,0,True,social,chpo96,0,3,1.0
71,A,A,1,True,social,chpo96,1,3,1.0
47,B,B,1,True,social,chpo96,2,3,1.0
29,A,A,1,True,social,chpo96,3,3,1.0
37,B,B,1,True,social,chpo96,0,4,1.0
47,B,B,1,True,social,chpo96,1,4,1.0
71,A,A,1,True,social,chpo96,2,4,1.0
29,A,A,1,True,social,chpo96,3,4,1.0
29,A,A,1,True,social,chpo96,0,5,1.0
47,B,B,1,True,social,chpo96,1,5,1.0
71,A,A,1,True,social,chpo96,2,5,1.0
37,B,B,1,True,social,chpo96,3,5,1.0
26,A,B,0,False,nonsocial,chpo96,0,0,2.0
18,A,B,1,False,nonsocial,chpo96,1,0,2.0
20,A,A,0,True,nonsocial,chpo96,2,0,2.0
44,A,A,1,True,nonsocial,chpo96,3,0,2.0
18,A,B,0,False,nonsocial,chpo96,0,1,2.0
20,B,A,0,False,nonsocial,chpo96,1,1,2.0
44,A,A,1,True,nonsocial,chpo96,2,1,2.0
26,B,B,1,True,nonsocial,chpo96,3,1,2.0
20,B,A,0,False,nonsocial,chpo96,0,2,2.0
18,A,B,0,False,nonsocial,chpo96,1,2,2.0
44,A,A,1,True,nonsocial,chpo96,2,2,2.0
26,B,B,1,True,nonsocial,chpo96,3,2,2.0
20,B,A,1,False,nonsocial,chpo96,0,3,2.0
26,B,B,1,True,nonsocial,chpo96,1,3,2.0
44,A,A,1,True,nonsocial,chpo96,2,3,2.0
18,A,B,0,False,nonsocial,chpo96,3,3,2.0
44,A,A,1,True,nonsocial,chpo96,0,4,2.0
20,B,A,0,False,nonsocial,chpo96,1,4,2.0
26,A,B,0,False,nonsocial,chpo96,2,4,2.0
18,A,B,0,False,nonsocial,chpo96,3,4,2.0
20,A,A,1,True,nonsocial,chpo96,0,5,2.0
18,B,B,0,True,nonsocial,chpo96,1,5,2.0
26,A,B,0,False,nonsocial,chpo96,2,5,2.0
44,B,A,0,False,nonsocial,chpo96,3,5,2.0
71,A,A,1,True,social,chpo96,0,0,3.0
37,B,B,1,True,social,chpo96,1,0,3.0
29,A,A,1,True,social,chpo96,2,0,3.0
47,B,B,0,True,social,chpo96,3,0,3.0
47,A,B,0,False,social,chpo96,0,1,3.0
37,A,B,0,False,social,chpo96,1,1,3.0
71,B,A,0,False,social,chpo96,2,1,3.0
29,B,A,0,False,social,chpo96,3,1,3.0
71,A,A,1,True,social,chpo96,0,2,3.0
29,A,A,1,True,social,chpo96,1,2,3.0
47,A,B,1,False,social,chpo96,2,2,3.0
37,B,B,1,True,social,chpo96,3,2,3.0
47,,B,0,False,social,chpo96,0,3,3.0
37,B,B,1,True,social,chpo96,1,3,3.0
71,A,A,1,True,social,chpo96,2,3,3.0
29,A,A,1,True,social,chpo96,3,3,3.0
29,A,A,1,True,social,chpo96,0,4,3.0
47,A,B,0,False,social,chpo96,1,4,3.0
37,A,B,0,False,social,chpo96,2,4,3.0
71,A,A,1,True,social,chpo96,3,4,3.0
37,B,B,1,True,social,chpo96,0,5,3.0
29,A,A,1,True,social,chpo96,1,5,3.0
71,A,A,1,True,social,chpo96,2,5,3.0
47,A,B,1,False,social,chpo96,3,5,3.0
