stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
42,B,A,0,False,social,copr92,0,0,0.0
84,A,A,1,True,social,copr92,1,0,0.0
32,A,B,0,False,social,copr92,2,0,0.0
30,B,B,1,True,social,copr92,3,0,0.0
30,B,B,1,True,social,copr92,0,1,0.0
42,A,A,1,True,social,copr92,1,1,0.0
32,B,B,1,True,social,copr92,2,1,0.0
84,B,A,1,False,social,copr92,3,1,0.0
32,A,B,0,False,social,copr92,0,2,0.0
84,A,A,1,True,social,copr92,1,2,0.0
42,B,A,1,False,social,copr92,2,2,0.0
30,B,B,1,True,social,copr92,3,2,0.0
30,B,B,0,True,social,copr92,0,3,0.0
32,A,B,0,False,social,copr92,1,3,0.0
42,B,A,0,False,social,copr92,2,3,0.0
84,B,A,1,False,social,copr92,3,3,0.0
42,B,A,0,False,social,copr92,0,4,0.0
32,A,B,0,False,social,copr92,1,4,0.0
30,A,B,0,False,social,copr92,2,4,0.0
84,A,A,1,True,social,copr92,3,4,0.0
42,A,A,1,True,social,copr92,0,5,0.0
84,B,A,0,False,social,copr92,1,5,0.0
32,B,B,1,True,social,copr92,2,5,0.0
30,A,B,0,False,social,copr92,3,5,0.0
95,B,B,1,True,nonsocial,copr92,0,0,1.0
35,A,A,1,True,nonsocial,copr92,1,0,1.0
85,B,B,0,True,nonsocial,copr92,2,0,1.0
23,A,A,0,True,nonsocial,copr92,3,0,1.0
23,A,A,1,True,nonsocial,copr92,0,1,1.0
35,B,A,0,False,nonsocial,copr92,1,1,1.0
85,A,B,0,False,nonsocial,copr92,2,1,1.0
95,A,B,0,False,nonsocial,copr92,3,1,1.0
23,A,A,1,True,nonsocial,copr92,0,2,1.0
95,A,B,0,False,nonsocial,copr92,1,2,1.0
35,A,A,1,True,nonsocial,copr92,2,2,1.0
85,B,B,1,True,nonsocial,copr92,3,2,1.0
85,A,B,0,False,nonsocial,copr92,0,3,1.0
35,B,A,0,False,nonsocial,copr92,1,3,1.0
95,B,B,1,True,nonsocial,copr92,2,3,1.0
23,A,A,1,True,nonsocial,copr92,3,3,1.0
85,A,B,0,False,nonsocial,copr92,0,4,1.0
95,B,B,0,True,nonsocial,copr92,1,4,1.0
23,A,A,1,True,nonsocial,copr92,2,4,1.0
35,B,A,1,False,nonsocial,copr92,3,4,1.0
95,B,B,1,True,nonsocial,copr92,0,5,1.0
23,A,A,1,True,nonsocial,copr92,1,5,1.0
85,A,B,0,False,nonsocial,copr92,2,5,1.0
35,B,A,0,False,nonsocial,copr92,3,5,1.0
42,A,A,1,True,social,copr92,0,0,2.0
32,B,B,1,True,social,copr92,1,0,2.0
30,A,B,0,False,social,copr92,2,0,2.0
84,B,A,0,False,social,copr92,3,0,2.0
42,A,A,1,True,social,copr92,0,1,2.0
84,B,A,0,False,social,copr92,1,1,2.0
30,A,B,0,False,social,copr92,2,1,2.0
32,B,B,1,True,social,copr92,3,1,2.0
42,A,A,1,True,social,copr92,0,2,2.0
32,B,B,1,True,social,copr92,1,2,2.0
84,B,A,0,False,social,copr92,2,2,2.0
30,A,B,0,False,social,copr92,3,2,2.0
30,B,B,0,True,social,copr92,0,3,2.0
32,A,B,1,False,social,copr92,1,3,2.0
42,B,A,0,False,social,copr92,2,3,2.0
84,B,A,1,False,social,copr92,3,3,2.0
32,A,B,0,False,social,copr92,0,4,2.0
42,B,A,0,False,social,copr92,1,4,2.0
84,A,A,1,True,social,copr92,2,4,2.0
30,A,B,0,False,social,copr92,3,4,2.0
30,B,B,0,True,social,copr92,0,5,2.0
84,B,A,0,False,social,copr92,1,5,2.0
42,B,A,0,False,social,copr92,2,5,2.0
32,B,B,1,True,social,copr92,3,5,2.0
85,A,B,0,False,nonsocial,copr92,0,0,3.0
35,B,A,1,False,nonsocial,copr92,1,0,3.0
95,B,B,1,True,nonsocial,copr92,2,0,3.0
23,B,A,0,False,nonsocial,copr92,3,0,3.0
85,A,B,0,False,nonsocial,copr92,0,1,3.0
23,B,A,0,False,nonsocial,copr92,1,1,3.0
35,B,A,0,False,nonsocial,copr92,2,1,3.0
95,A,B,0,False,nonsocial,copr92,3,1,3.0
95,B,B,1,True,nonsocial,copr92,0,2,3.0
35,A,A,1,True,nonsocial,copr92,1,2,3.0
23,B,A,1,False,nonsocial,copr92,2,2,3.0
85,A,B,0,False,nonsocial,copr92,3,2,3.0
85,B,B,1,True,nonsocial,copr92,0,3,3.0
95,A,B,0,False,nonsocial,copr92,1,3,3.0
35,B,A,1,False,nonsocial,copr92,2,3,3.0
23,B,A,0,False,nonsocial,copr92,3,3,3.0
85,A,B,0,False,nonsocial,copr92,0,4,3.0
95,B,B,0,True,nonsocial,copr92,1,4,3.0
23,A,A,1,True,nonsocial,copr92,2,4,3.0
35,B,A,0,False,nonsocial,copr92,3,4,3.0
35,B,A,1,False,nonsocial,copr92,0,5,3.0
23,B,A,0,False,nonsocial,copr92,1,5,3.0
95,B,B,1,True,nonsocial,copr92,2,5,3.0
85,B,B,1,True,nonsocial,copr92,3,5,3.0
