stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
52,B,A,0,False,nonsocial,elmi00,0,0,0.0
26,A,B,0,False,nonsocial,elmi00,1,0,0.0
54,B,A,1,False,nonsocial,elmi00,2,0,0.0
82,A,B,0,False,nonsocial,elmi00,3,0,0.0
82,A,B,0,False,nonsocial,elmi00,0,1,0.0
52,B,A,0,False,nonsocial,elmi00,1,1,0.0
26,B,B,1,True,nonsocial,elmi00,2,1,0.0
54,A,A,1,True,nonsocial,elmi00,3,1,0.0
82,A,B,0,False,nonsocial,elmi00,0,2,0.0
54,B,A,0,False,nonsocial,elmi00,1,2,0.0
52,B,A,0,False,nonsocial,elmi00,2,2,0.0
26,A,B,1,False,nonsocial,elmi00,3,2,0.0
26,A,B,0,False,nonsocial,elmi00,0,3,0.0
52,A,A,0,True,nonsocial,elmi00,1,3,0.0
82,B,B,1,True,nonsocial,elmi00,2,3,0.0
54,B,A,0,False,nonsocial,elmi00,3,3,0.0
82,A,B,0,False,nonsocial,elmi00,0,4,0.0
52,A,A,1,True,nonsocial,elmi00,1,4,0.0
26,A,B,0,False,nonsocial,elmi00,2,4,0.0
54,A,A,0,True,nonsocial,elmi00,3,4,0.0
54,B,A,0,False,nonsocial,elmi00,0,5,0.0
52,B,A,0,False,nonsocial,elmi00,1,5,0.0
26,A,B,0,False,nonsocial,elmi00,2,5,0.0
82,A,B,0,False,nonsocial,elmi00,3,5,0.0
53,A,A,1,True,social,elmi00,0,0,1.0
59,B,A,0,False,social,elmi00,1,0,1.0
55,A,B,0,False,social,elmi00,2,0,1.0
51,B,B,1,True,social,elmi00,3,0,1.0
53,A,A,1,True,social,elmi00,0,1,1.0
59,A,A,1,True,social,elmi00,1,1,1.0
51,B,B,1,True,social,elmi00,2,1,1.0
55,B,B,1,True,social,elmi00,3,1,1.0
59,A,A,1,True,social,elmi00,0,2,1.0
53,A,A,1,True,social,elmi00,1,2,1.0
51,B,B,1,True,social,elmi00,2,2,1.0
55,B,B,1,True,social,elmi00,3,2,1.0
51,B,B,0,True,social,elmi00,0,3,1.0
53,A,A,0,True,social,elmi00,1,3,1.0
55,A,B,0,False,social,elmi00,2,3,1.0
59,B,A,0,False,social,elmi00,3,3,1.0
59,B,A,0,False,social,elmi00,0,4,1.0
55,A,B,0,False,social,elmi00,1,4,1.0
51,A,B,0,False,social,elmi00,2,4,1.0
53,B,A,0,False,social,elmi00,3,4,1.0
55,A,B,0,False,social,elmi00,0,5,1.0
53,B,A,0,False,social,elmi00,1,5,1.0
51,A,B,0,False,social,elmi00,2,5,1.0
59,B,A,0,False,social,elmi00,3,5,1.0
52,B,A,0,False,nonsocial,elmi00,0,0,2.0
54,A,A,1,True,nonsocial,elmi00,1,0,2.0
26,B,B,1,True,nonsocial,elmi00,2,0,2.0
82,B,B,0,True,nonsocial,elmi00,3,0,2.0
26,B,B,1,True,nonsocial,elmi00,0,1,2.0
54,A,A,1,True,nonsocial,elmi00,1,1,2.0
52,A,A,0,True,nonsocial,elmi00,2,1,2.0
82,A,B,0,False,nonsocial,elmi00,3,1,2.0
82,A,B,1,False,nonsocial,elmi00,0,2,2.0
52,B,A,0,False,nonsocial,elmi00,1,2,2.0
26,B,B,1,True,nonsocial,elmi00,2,2,2.0
54,A,A,1,True,nonsocial,elmi00,3,2,2.0
52,A,A,1,True,nonsocial,elmi00,0,3,2.0
54,B,A,0,False,nonsocial,elmi00,1,3,2.0
26,B,B,1,True,nonsocial,elmi00,2,3,2.0
82,A,B,1,False,nonsocial,elmi00,3,3,2.0
26,B,B,1,True,nonsocial,elmi00,0,4,2.0
52,A,A,1,True,nonsocial,elmi00,1,4,2.0
54,A,A,1,True,nonsocial,elmi00,2,4,2.0
82,A,B,0,False,nonsocial,elmi00,3,4,2.0
54,A,A,0,True,nonsocial,elmi00,0,5,2.0
52,A,A,1,True,nonsocial,elmi00,1,5,2.0
26,B,B,1,True,nonsocial,elmi00,2,5,2.0
82,B,B,1,True,nonsocial,elmi00,3,5,2.0
53,A,A,1,True,social,elmi00,0,0,3.0
59,B,A,0,False,social,elmi00,1,0,3.0
55,A,B,0,False,social,elmi00,2,0,3.0
51,B,B,1,True,social,elmi00,3,0,3.0
59,A,A,1,True,social,elmi00,0,1,3.0
53,A,A,1,True,social,elmi00,1,1,3.0
51,B,B,1,True,social,elmi00,2,1,3.0
55,B,B,1,True,social,elmi00,3,1,3.0
53,A,A,1,True,social,elmi00,0,2,3.0
55,B,B,1,True,social,elmi00,1,2,3.0
51,B,B,1,True,social,elmi00,2,2,3.0
59,A,A,0,True,social,elmi00,3,2,3.0
53,A,A,0,True,social,elmi00,0,3,3.0
55,A,B,0,False,social,elmi00,1,3,3.0
59,B,A,0,False,social,elmi00,2,3,3.0
51,B,B,1,True,social,elmi00,3,3,3.0
59,B,A,0,False,social,elmi00,0,4,3.0
51,B,B,1,True,social,elmi00,1,4,3.0
55,A,B,0,False,social,elmi00,2,4,3.0
53,B,A,1,False,social,elmi00,3,4,3.0
51,B,B,1,True,social,elmi00,0,5,3.0
55,A,B,0,False,social,elmi00,1,5,3.0
53,B,A,0,False,social,elmi00,2,5,3.0
59,A,A,0,True,social,elmi00,3,5,3.0
