stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
46,B,B,1,True,social,flre91,0,0,0.0
42,B,B,1,True,social,flre91,1,0,0.0
24,A,A,1,True,social,flre91,2,0,0.0
28,A,A,1,True,social,flre91,3,0,0.0
46,B,B,1,True,social,flre91,0,1,0.0
42,B,B,1,True,social,flre91,1,1,0.0
24,A,A,1,True,social,flre91,2,1,0.0
28,A,A,1,True,social,flre91,3,1,0.0
24,A,A,1,True,social,flre91,0,2,0.0
42,B,B,0,True,social,flre91,1,2,0.0
28,A,A,1,True,social,flre91,2,2,0.0
46,B,B,1,True,social,flre91,3,2,0.0
42,B,B,1,True,social,flre91,0,3,0.0
28,A,A,0,True,social,flre91,1,3,0.0
46,B,B,1,True,social,flre91,2,3,0.0
24,A,A,1,True,social,flre91,3,3,0.0
24,A,A,1,True,social,flre91,0,4,0.0
46,B,B,1,True,social,flre91,1,4,0.0
28,A,A,1,True,social,flre91,2,4,0.0
42,B,B,0,True,social,flre91,3,4,0.0
42,B,B,1,True,social,flre91,0,5,0.0
46,B,B,1,True,social,flre91,1,5,0.0
24,A,A,1,True,social,flre91,2,5,0.0
28,A,A,1,True,social,flre91,3,5,0.0
15,A,B,0,False,nonsocial,flre91,0,0,1.0
81,A,B,1,False,nonsocial,flre91,1,0,1.0
23,A,A,1,True,nonsocial,flre91,2,0,1.0
93,B,A,1,False,nonsocial,flre91,3,0,1.0
15,B,B,1,True,nonsocial,flre91,0,1,1.0
23,A,A,1,True,nonsocial,flre91,1,1,1.0
81,A,B,0,False,nonsocial,flre91,2,1,1.0
93,B,A,0,False,nonsocial,flre91,3,1,1.0
23,A,A,1,True,nonsocial,flre91,0,2,1.0
15,B,B,1,True,nonsocial,flre91,1,2,1.0
93,B,A,0,False,nonsocial,flre91,2,2,1.0
81,B,B,1,True,nonsocial,flre91,3,2,1.0
81,B,B,1,True,nonsocial,flre91,0,3,1.0
93,A,A,1,True,nonsocial,flre91,1,3,1.0
23,A,A,1,True,nonsocial,flre91,2,3,1.0
15,B,B,1,True,nonsocial,flre91,3,3,1.0
15,B,B,1,True,nonsocial,flre91,0,4,1.0
81,A,B,0,False,nonsocial,flre91,1,4,1.0
93,A,A,1,True,nonsocial,flre91,2,4,1.0
23,A,A,1,True,nonsocial,flre91,3,4,1.0
23,A,A,1,True,nonsocial,flre91,0,5,1.0
15,B,B,1,True,nonsocial,flre91,1,5,1.0
81,B,B,1,True,nonsocial,flre91,2,5,1.0
93,A,A,1,True,nonsocial,flre91,3,5,1.0
24,A,A,1,True,social,flre91,0,0,2.0
46,A,B,0,False,social,flre91,1,0,2.0
28,A,A,0,True,social,flre91,2,0,2.0
42,A,B,0,False,social,flre91,3,0,2.0
24,A,A,1,True,social,flre91,0,1,2.0
46,B,B,1,True,social,flre91,1,1,2.0
28,B,A,0,False,social,flre91,2,1,2.0
42,B,B,1,True,social,flre91,3,1,2.0
28,A,A,1,True,social,flre91,0,2,2.0
42,B,B,1,True,social,flre91,1,2,2.0
46,B,B,1,True,social,flre91,2,2,2.0
24,A,A,0,True,social,flre91,3,2,2.0
42,B,B,1,True,social,flre91,0,3,2.0
28,A,A,0,True,social,flre91,1,3,2.0
24,A,A,1,True,social,flre91,2,3,2.0
46,B,B,1,True,social,flre91,3,3,2.0
28,B,A,0,False,social,flre91,0,4,2.0
24,A,A,0,True,social,flre91,1,4,2.0
42,B,B,1,True,social,flre91,2,4,2.0
46,B,B,1,True,social,flre91,3,4,2.0
42,B,B,1,True,social,flre91,0,5,2.0
24,A,A,1,True,social,flre91,1,5,2.0
28,A,A,1,True,social,flre91,2,5,2.0
46,B,B,1,True,social,flre91,3,5,2.0
23,A,A,1,True,nonsocial,flre91,0,0,3.0
15,B,B,1,True,nonsocial,flre91,1,0,3.0
93,A,A,1,True,nonsocial,flre91,2,0,3.0
81,B,B,1,True,nonsocial,flre91,3,0,3.0
81,B,B,1,True,nonsocial,flre91,0,1,3.0
23,A,A,1,True,nonsocial,flre91,1,1,3.0
93,A,A,1,True,nonsocial,flre91,2,1,3.0
15,B,B,1,True,nonsocial,flre91,3,1,3.0
15,B,B,0,True,nonsocial,flre91,0,2,3.0
93,A,A,1,True,nonsocial,flre91,1,2,3.0
81,B,B,1,True,nonsocial,flre91,2,2,3.0
23,A,A,1,True,nonsocial,flre91,3,2,3.0
81,B,B,1,True,nonsocial,flre91,0,3,3.0
93,A,A,1,True,nonsocial,flre91,1,3,3.0
15,B,B,1,True,nonsocial,flre91,2,3,3.0
23,A,A,1,True,nonsocial,flre91,3,3,3.0
81,B,B,1,True,nonsocial,flre91,0,4,3.0
23,A,A,1,True,nonsocial,flre91,1,4,3.0
93,A,A,1,True,nonsocial,flre91,2,4,3.0
15,B,B,1,True,nonsocial,flre91,3,4,3.0
23,A,A,0,True,nonsocial,flre91,0,5,3.0
93,A,A,0,True,nonsocial,flre91,1,5,3.0
15,B,B,0,True,nonsocial,flre91,2,5,3.0
81,B,B,1,True,nonsocial,flre91,3,5,3.0
