stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
54,A,A,1,True,nonsocial,flsc98,0,0,0.0
58,B,B,1,True,nonsocial,flsc98,1,0,0.0
60,B,B,1,True,nonsocial,flsc98,2,0,0.0
80,A,A,1,True,nonsocial,flsc98,3,0,0.0
58,B,B,0,True,nonsocial,flsc98,0,1,0.0
80,B,A,,False,nonsocial,flsc98,1,1,0.0
60,B,B,1,True,nonsocial,flsc98,2,1,0.0
54,B,A,,False,nonsocial,flsc98,3,1,0.0
60,A,B,,False,nonsocial,flsc98,0,2,0.0
54,A,A,1,True,nonsocial,flsc98,1,2,0.0
58,A,B,,False,nonsocial,flsc98,2,2,0.0
80,B,A,,False,nonsocial,flsc98,3,2,0.0
60,B,B,1,True,nonsocial,flsc98,0,3,0.0
54,A,A,1,True,nonsocial,flsc98,1,3,0.0
58,B,B,1,True,nonsocial,flsc98,2,3,0.0
80,A,A,0,True,nonsocial,flsc98,3,3,0.0
80,B,A,,False,nonsocial,flsc98,0,4,0.0
60,A,B,,False,nonsocial,flsc98,1,4,0.0
54,A,A,1,True,nonsocial,flsc98,2,4,0.0
58,A,B,,False,nonsocial,flsc98,3,4,0.0
60,B,B,1,True,nonsocial,flsc98,0,5,0.0
54,A,A,1,True,nonsocial,flsc98,1,5,0.0
80,B,A,,False,nonsocial,flsc98,2,5,0.0
58,A,B,,False,nonsocial,flsc98,3,5,0.0
93,B,A,,False,social,flsc98,0,0,1.0
75,B,B,1,True,social,flsc98,1,0,1.0
37,A,A,1,True,social,flsc98,2,0,1.0
13,B,B,1,True,social,flsc98,3,0,1.0
37,A,A,1,True,social,flsc98,0,1,1.0
75,B,B,1,True,social,flsc98,1,1,1.0
13,B,B,1,True,social,flsc98,2,1,1.0
93,A,A,1,True,social,flsc98,3,1,1.0
37,A,A,1,True,social,flsc98,0,2,1.0
93,A,A,1,True,social,flsc98,1,2,1.0
75,B,B,1,True,social,flsc98,2,2,1.0
13,B,B,1,True,social,flsc98,3,2,1.0
75,B,B,1,True,social,flsc98,0,3,1.0
13,B,B,0,True,social,flsc98,1,3,1.0
93,A,A,0,True,social,flsc98,2,3,1.0
37,A,A,1,True,social,flsc98,3,3,1.0
93,A,A,1,True,social,flsc98,0,4,1.0
37,A,A,0,True,social,flsc98,1,4,1.0
75,B,B,1,True,social,flsc98,2,4,1.0
13,B,B,1,True,social,flsc98,3,4,1.0
75,B,B,1,True,social,flsc98,0,5,1.0
13,B,B,1,True,social,flsc98,1,5,1.0
37,A,A,1,True,social,flsc98,2,5,1.0
93,A,A,1,True,social,flsc98,3,5,1.0
80,B,A,,False,nonsocial,flsc98,0,0,2.0
54,A,A,0,True,nonsocial,flsc98,1,0,2.0
60,B,B,1,True,nonsocial,flsc98,2,0,2.0
58,A,B,,False,nonsocial,flsc98,3,0,2.0
54,A,A,1,True,nonsocial,flsc98,0,1,2.0
60,B,B,1,True,nonsocial,flsc98,1,1,2.0
80,B,A,,False,nonsocial,flsc98,2,1,2.0
58,B,B,1,True,nonsocial,flsc98,3,1,2.0
80,A,A,1,True,nonsocial,flsc98,0,2,2.0
54,,A,,False,nonsocial,flsc98,1,2,2.0
60,B,B,1,True,nonsocial,flsc98,2,2,2.0
58,A,B,,False,nonsocial,flsc98,3,2,2.0
54,A,A,1,True,nonsocial,flsc98,0,3,2.0
58,B,B,0,True,nonsocial,flsc98,1,3,2.0
60,B,B,1,True,nonsocial,flsc98,2,3,2.0
80,A,A,1,True,nonsocial,flsc98,3,3,2.0
58,A,B,,False,nonsocial,flsc98,0,4,2.0
60,B,B,1,True,nonsocial,flsc98,1,4,2.0
54,A,A,1,True,nonsocial,flsc98,2,4,2.0
80,A,A,1,True,nonsocial,flsc98,3,4,2.0
60,B,B,1,True,nonsocial,flsc98,0,5,2.0
80,A,A,0,True,nonsocial,flsc98,1,5,2.0
54,A,A,1,True,nonsocial,flsc98,2,5,2.0
58,B,B,1,True,nonsocial,flsc98,3,5,2.0
93,A,A,1,True,social,flsc98,0,0,3.0
37,A,A,1,True,social,flsc98,1,0,3.0
13,B,B,1,True,social,flsc98,2,0,3.0
75,B,B,0,True,social,flsc98,3,0,3.0
75,B,B,0,True,social,flsc98,0,1,3.0
93,A,A,1,True,social,flsc98,1,1,3.0
13,B,B,1,True,social,flsc98,2,1,3.0
37,A,A,1,True,social,flsc98,3,1,3.0
37,A,A,1,True,social,flsc98,0,2,3.0
13,B,B,1,True,social,flsc98,1,2,3.0
75,B,B,1,True,social,flsc98,2,2,3.0
93,A,A,1,True,social,flsc98,3,2,3.0
75,B,B,1,True,social,flsc98,0,3,3.0
37,A,A,1,True,social,flsc98,1,3,3.0
13,B,B,1,True,social,flsc98,2,3,3.0
93,A,A,1,True,social,flsc98,3,3,3.0
37,A,A,1,True,social,flsc98,0,4,3.0
75,B,B,1,True,social,flsc98,1,4,3.0
13,B,B,1,True,social,flsc98,2,4,3.0
93,A,A,1,True,social,flsc98,3,4,3.0
93,A,A,1,True,social,flsc98,0,5,3.0
75,B,B,1,True,social,flsc98,1,5,3.0
37,A,A,1,True,social,flsc98,2,5,3.0
13,B,B,1,True,social,flsc98,3,5,3.0
