stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
74,A,B,0,False,nonsocial,gefr88,0,0,0.0
84,A,B,0,False,nonsocial,gefr88,1,0,0.0
52,A,A,1,True,nonsocial,gefr88,2,0,0.0
98,A,A,0,True,nonsocial,gefr88,3,0,0.0
98,B,A,0,False,nonsocial,gefr88,0,1,0.0
74,B,B,0,True,nonsocial,gefr88,1,1,0.0
84,A,B,0,False,nonsocial,gefr88,2,1,0.0
52,A,A,1,True,nonsocial,gefr88,3,1,0.0
98,B,A,0,False,nonsocial,gefr88,0,2,0.0
74,A,B,0,False,nonsocial,gefr88,1,2,0.0
84,B,B,1,True,nonsocial,gefr88,2,2,0.0
52,A,A,1,True,nonsocial,gefr88,3,2,0.0
52,A,A,1,True,nonsocial,gefr88,0,3,0.0
74,B,B,1,True,nonsocial,gefr88,1,3,0.0
84,B,B,1,True,nonsocial,gefr88,2,3,0.0
98,B,A,0,False,nonsocial,gefr88,3,3,0.0
74,B,B,1,True,nonsocial,gefr88,0,4,0.0
52,A,A,1,True,nonsocial,gefr88,1,4,0.0
98,A,A,1,True,nonsocial,gefr88,2,4,0.0
84,B,B,1,True,nonsocial,gefr88,3,4,0.0
52,A,A,1,True,nonsocial,gefr88,0,5,0.0
84,B,B,1,True,nonsocial,gefr88,1,5,0.0
98,A,A,0,True,nonsocial,gefr88,2,5,0.0
74,B,B,1,True,nonsocial,gefr88,3,5,0.0
21,A,A,1,True,social,gefr88,0,0,1.0
37,B,A,0,False,social,gefr88,1,0,1.0
49,B,B,1,True,social,gefr88,2,0,1.0
65,B,B,1,True,social,gefr88,3,0,1.0
65,B,B,1,True,social,gefr88,0,1,1.0
21,A,A,1,True,social,gefr88,1,1,1.0
37,B,A,0,False,social,gefr88,2,1,1.0
49,A,B,0,False,social,gefr88,3,1,1.0
37,B,A,0,False,social,gefr88,0,2,1.0
21,A,A,1,True,social,gefr88,1,2,1.0
65,B,B,1,True,social,gefr88,2,2,1.0
49,A,B,0,False,social,gefr88,3,2,1.0
49,B,B,1,True,social,gefr88,0,3,1.0
21,A,A,1,True,social,gefr88,1,3,1.0
65,B,B,1,True,social,gefr88,2,3,1.0
37,A,A,0,True,social,gefr88,3,3,1.0
65,B,B,1,True,social,gefr88,0,4,1.0
21,A,A,1,True,social,gefr88,1,4,1.0
49,A,B,0,False,social,gefr88,2,4,1.0
37,A,A,1,True,social,gefr88,3,4,1.0
65,B,B,1,True,social,gefr88,0,5,1.0
21,A,A,1,True,social,gefr88,1,5,1.0
49,B,B,1,True,social,gefr88,2,5,1.0
37,A,A,0,True,social,gefr88,3,5,1.0
84,B,B,1,True,nonsocial,gefr88,0,0,2.0
52,A,A,1,True,nonsocial,gefr88,1,0,2.0
98,A,A,1,True,nonsocial,gefr88,2,0,2.0
74,B,B,1,True,nonsocial,gefr88,3,0,2.0
84,B,B,1,True,nonsocial,gefr88,0,1,2.0
52,A,A,1,True,nonsocial,gefr88,1,1,2.0
74,B,B,1,True,nonsocial,gefr88,2,1,2.0
98,A,A,1,True,nonsocial,gefr88,3,1,2.0
84,B,B,1,True,nonsocial,gefr88,0,2,2.0
74,B,B,1,True,nonsocial,gefr88,1,2,2.0
98,A,A,1,True,nonsocial,gefr88,2,2,2.0
52,A,A,1,True,nonsocial,gefr88,3,2,2.0
84,B,B,1,True,nonsocial,gefr88,0,3,2.0
52,A,A,1,True,nonsocial,gefr88,1,3,2.0
98,A,A,1,True,nonsocial,gefr88,2,3,2.0
74,B,B,1,True,nonsocial,gefr88,3,3,2.0
52,A,A,1,True,nonsocial,gefr88,0,4,2.0
74,B,B,1,True,nonsocial,gefr88,1,4,2.0
98,A,A,1,True,nonsocial,gefr88,2,4,2.0
84,B,B,1,True,nonsocial,gefr88,3,4,2.0
52,A,A,0,True,nonsocial,gefr88,0,5,2.0
84,B,B,1,True,nonsocial,gefr88,1,5,2.0
98,A,A,1,True,nonsocial,gefr88,2,5,2.0
74,B,B,1,True,nonsocial,gefr88,3,5,2.0
37,A,A,0,True,social,gefr88,0,0,3.0
21,A,A,1,True,social,gefr88,1,0,3.0
49,B,B,1,True,social,gefr88,2,0,3.0
65,A,B,0,False,social,gefr88,3,0,3.0
37,A,A,0,True,social,gefr88,0,1,3.0
65,B,B,1,True,social,gefr88,1,1,3.0
21,A,A,0,True,social,gefr88,2,1,3.0
49,A,B,0,False,social,gefr88,3,1,3.0
49,B,B,1,True,social,gefr88,0,2,3.0
21,A,A,1,True,social,gefr88,1,2,3.0
37,A,A,1,True,social,gefr88,2,2,3.0
65,B,B,1,True,social,gefr88,3,2,3.0
37,A,A,1,True,social,gefr88,0,3,3.0
21,A,A,1,True,social,gefr88,1,3,3.0
49,B,B,1,True,social,gefr88,2,3,3.0
65,B,B,1,True,social,gefr88,3,3,3.0
21,A,A,1,True,social,gefr88,0,4,3.0
49,B,B,1,True,social,gefr88,1,4,3.0
65,B,B,1,True,social,gefr88,2,4,3.0
37,A,A,1,True,social,gefr88,3,4,3.0
37,A,A,1,True,social,gefr88,0,5,3.0
65,B,B,1,True,social,gefr88,1,5,3.0
21,A,A,1,True,social,gefr88,2,5,3.0
49,B,B,0,True,social,gefr88,3,5,3.0
