stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
28,B,A,,False,nonsocial,giba96,0,0,0.0
20,B,B,1,True,nonsocial,giba96,1,0,0.0
86,A,B,,False,nonsocial,giba96,2,0,0.0
76,A,A,1,True,nonsocial,giba96,3,0,0.0
28,A,A,1,True,nonsocial,giba96,0,1,0.0
76,B,A,,False,nonsocial,giba96,1,1,0.0
20,B,B,1,True,nonsocial,giba96,2,1,0.0
86,B,B,0,True,nonsocial,giba96,3,1,0.0
28,A,A,1,True,nonsocial,giba96,0,2,0.0
76,B,A,,False,nonsocial,giba96,1,2,0.0
20,B,B,1,True,nonsocial,giba96,2,2,0.0
86,A,B,,False,nonsocial,giba96,3,2,0.0
20,A,B,,False,nonsocial,giba96,0,3,0.0
76,A,A,1,True,nonsocial,giba96,1,3,0.0
28,A,A,1,True,nonsocial,giba96,2,3,0.0
86,B,B,1,True,nonsocial,giba96,3,3,0.0
86,B,B,1,True,nonsocial,giba96,0,4,0.0
76,A,A,0,True,nonsocial,giba96,1,4,0.0
28,A,A,1,True,nonsocial,giba96,2,4,0.0
20,B,B,0,True,nonsocial,giba96,3,4,0.0
28,A,A,0,True,nonsocial,giba96,0,5,0.0
86,B,B,1,True,nonsocial,giba96,1,5,0.0
76,A,A,0,True,nonsocial,giba96,2,5,0.0
20,B,B,1,True,nonsocial,giba96,3,5,0.0
27,B,A,,False,social,giba96,0,0,1.0
77,B,B,0,True,social,giba96,1,0,1.0
59,B,A,,False,social,giba96,2,0,1.0
31,B,B,0,True,social,giba96,3,0,1.0
27,A,A,1,True,social,giba96,0,1,1.0
77,A,B,,False,social,giba96,1,1,1.0
31,A,B,,False,social,giba96,2,1,1.0
59,B,A,,False,social,giba96,3,1,1.0
27,A,A,1,True,social,giba96,0,2,1.0
77,B,B,1,True,social,giba96,1,2,1.0
59,B,A,,False,social,giba96,2,2,1.0
31,A,B,,False,social,giba96,3,2,1.0
59,B,A,,False,social,giba96,0,3,1.0
27,A,A,1,True,social,giba96,1,3,1.0
77,B,B,1,True,social,giba96,2,3,1.0
31,B,B,1,True,social,giba96,3,3,1.0
27,A,A,1,True,social,giba96,0,4,1.0
59,B,A,,False,social,giba96,1,4,1.0
77,B,B,1,True,social,giba96,2,4,1.0
31,B,B,1,True,social,giba96,3,4,1.0
77,B,B,0,True,social,giba96,0,5,1.0
59,B,A,,False,social,giba96,1,5,1.0
31,B,B,1,True,social,giba96,2,5,1.0
27,A,A,1,True,social,giba96,3,5,1.0
20,A,B,,False,nonsocial,giba96,0,0,2.0
86,A,B,,False,nonsocial,giba96,1,0,2.0
28,A,A,1,True,nonsocial,giba96,2,0,2.0
76,A,A,0,True,nonsocial,giba96,3,0,2.0
76,B,A,,False,nonsocial,giba96,0,1,2.0
20,A,B,,False,nonsocial,giba96,1,1,2.0
28,A,A,1,True,nonsocial,giba96,2,1,2.0
86,B,B,1,True,nonsocial,giba96,3,1,2.0
28,A,A,1,True,nonsocial,giba96,0,2,2.0
76,B,A,,False,nonsocial,giba96,1,2,2.0
86,B,B,1,True,nonsocial,giba96,2,2,2.0
20,B,B,1,True,nonsocial,giba96,3,2,2.0
76,B,A,,False,nonsocial,giba96,0,3,2.0
28,A,A,1,True,nonsocial,giba96,1,3,2.0
20,B,B,1,True,nonsocial,giba96,2,3,2.0
86,B,B,1,True,nonsocial,giba96,3,3,2.0
20,B,B,0,True,nonsocial,giba96,0,4,2.0
28,A,A,1,True,nonsocial,giba96,1,4,2.0
86,B,B,1,True,nonsocial,giba96,2,4,2.0
76,B,A,,False,nonsocial,giba96,3,4,2.0
86,B,B,1,True,nonsocial,giba96,0,5,2.0
20,B,B,1,True,nonsocial,giba96,1,5,2.0
76,A,A,1,True,nonsocial,giba96,2,5,2.0
28,A,A,1,True,nonsocial,giba96,3,5,2.0
27,A,A,1,True,social,giba96,0,0,3.0
77,B,B,1,True,social,giba96,1,0,3.0
59,B,A,,False,social,giba96,2,0,3.0
31,A,B,,False,social,giba96,3,0,3.0
31,B,B,1,True,social,giba96,0,1,3.0
59,A,A,1,True,social,giba96,1,1,3.0
27,A,A,1,True,social,giba96,2,1,3.0
77,B,B,1,True,social,giba96,3,1,3.0
59,B,A,,False,social,giba96,0,2,3.0
31,B,B,1,True,social,giba96,1,2,3.0
77,B,B,1,True,social,giba96,2,2,3.0
27,A,A,1,True,social,giba96,3,2,3.0
31,B,B,1,True,social,giba96,0,3,3.0
77,B,B,0,True,social,giba96,1,3,3.0
59,A,A,0,True,social,giba96,2,3,3.0
27,A,A,1,True,social,giba96,3,3,3.0
59,B,A,,False,social,giba96,0,4,3.0
77,B,B,1,True,social,giba96,1,4,3.0
27,A,A,1,True,social,giba96,2,4,3.0
31,B,B,1,True,social,giba96,3,4,3.0
77,B,B,1,True,social,giba96,0,5,3.0
27,A,A,0,True,social,giba96,1,5,3.0
59,A,A,1,True,social,giba96,2,5,3.0
31,B,B,1,True,social,giba96,3,5,3.0
