stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
10,B,B,0,True,nonsocial,guek86,0,0,0.0
28,B,B,1,True,nonsocial,guek86,1,0,0.0
16,B,A,0,False,nonsocial,guek86,2,0,0.0
68,B,A,0,False,nonsocial,guek86,3,0,0.0
10,A,B,0,False,nonsocial,guek86,0,1,0.0
68,A,A,1,True,nonsocial,guek86,1,1,0.0
28,B,B,1,True,nonsocial,guek86,2,1,0.0
16,A,A,1,True,nonsocial,guek86,3,1,0.0
16,B,A,0,False,nonsocial,guek86,0,2,0.0
68,B,A,0,False,nonsocial,guek86,1,2,0.0
10,A,B,0,False,nonsocial,guek86,2,2,0.0
28,A,B,0,False,nonsocial,guek86,3,2,0.0
68,A,A,1,True,nonsocial,guek86,0,3,0.0
10,A,B,0,False,nonsocial,guek86,1,3,0.0
28,B,B,1,True,nonsocial,guek86,2,3,0.0
16,A,A,1,True,nonsocial,guek86,3,3,0.0
68,A,A,1,True,nonsocial,guek86,0,4,0.0
28,B,B,0,True,nonsocial,guek86,1,4,0.0
10,B,B,1,True,nonsocial,guek86,2,4,0.0
16,A,A,0,True,nonsocial,guek86,3,4,0.0
28,B,B,1,True,nonsocial,guek86,0,5,0.0
10,A,B,0,False,nonsocial,guek86,1,5,0.0
68,B,A,0,False,nonsocial,guek86,2,5,0.0
16,A,A,1,True,nonsocial,guek86,3,5,0.0
21,A,A,1,True,social,guek86,0,0,1.0
83,A,B,0,False,social,guek86,1,0,1.0
39,A,A,1,True,social,guek86,2,0,1.0
75,A,B,0,False,social,guek86,3,0,1.0
75,A,B,0,False,social,guek86,0,1,1.0
39,A,A,1,True,social,guek86,1,1,1.0
21,A,A,1,True,social,guek86,2,1,1.0
83,B,B,1,True,social,guek86,3,1,1.0
75,B,B,1,True,social,guek86,0,2,1.0
83,B,B,1,True,social,guek86,1,2,1.0
39,A,A,1,True,social,guek86,2,2,1.0
21,A,A,1,True,social,guek86,3,2,1.0
21,A,A,1,True,social,guek86,0,3,1.0
83,B,B,1,True,social,guek86,1,3,1.0
39,A,A,1,True,social,guek86,2,3,1.0
75,B,B,1,True,social,guek86,3,3,1.0
39,A,A,1,True,social,guek86,0,4,1.0
21,A,A,0,True,social,guek86,1,4,1.0
75,B,B,1,True,social,guek86,2,4,1.0
83,B,B,1,True,social,guek86,3,4,1.0
39,A,A,0,True,social,guek86,0,5,1.0
21,A,A,1,True,social,guek86,1,5,1.0
83,B,B,0,True,social,guek86,2,5,1.0
75,B,B,0,True,social,guek86,3,5,1.0
10,B,B,1,True,nonsocial,guek86,0,0,2.0
16,B,A,0,False,nonsocial,guek86,1,0,2.0
68,B,A,0,False,nonsocial,guek86,2,0,2.0
28,B,B,1,True,nonsocial,guek86,3,0,2.0
28,B,B,1,True,nonsocial,guek86,0,1,2.0
10,A,B,0,False,nonsocial,guek86,1,1,2.0
16,A,A,1,True,nonsocial,guek86,2,1,2.0
68,B,A,0,False,nonsocial,guek86,3,1,2.0
10,B,B,1,True,nonsocial,guek86,0,2,2.0
28,B,B,1,True,nonsocial,guek86,1,2,2.0
16,A,A,1,True,nonsocial,guek86,2,2,2.0
68,A,A,1,True,nonsocial,guek86,3,2,2.0
28,,B,0,False,nonsocial,guek86,0,3,2.0
68,A,A,0,True,nonsocial,guek86,1,3,2.0
10,B,B,1,True,nonsocial,guek86,2,3,2.0
16,A,A,1,True,nonsocial,guek86,3,3,2.0
68,B,A,1,False,nonsocial,guek86,0,4,2.0
16,A,A,1,True,nonsocial,guek86,1,4,2.0
28,B,B,1,True,nonsocial,guek86,2,4,2.0
10,B,B,1,True,nonsocial,guek86,3,4,2.0
28,B,B,1,True,nonsocial,guek86,0,5,2.0
16,A,A,1,True,nonsocial,guek86,1,5,2.0
68,B,A,0,False,nonsocial,guek86,2,5,2.0
10,B,B,1,True,nonsocial,guek86,3,5,2.0
75,B,B,1,True,social,guek86,0,0,3.0
83,A,B,0,False,social,guek86,1,0,3.0
21,,A,0,False,social,guek86,2,0,3.0
39,A,A,1,True,social,guek86,3,0,3.0
83,A,B,0,False,social,guek86,0,1,3.0
75,A,B,0,False,social,guek86,1,1,3.0
39,A,A,0,True,social,guek86,2,1,3.0
21,A,A,1,True,social,guek86,3,1,3.0
83,A,B,0,False,social,guek86,0,2,3.0
21,A,A,1,True,social,guek86,1,2,3.0
75,A,B,0,False,social,guek86,2,2,3.0
39,A,A,1,True,social,guek86,3,2,3.0
83,A,B,0,False,social,guek86,0,3,3.0
39,A,A,1,True,social,guek86,1,3,3.0
21,A,A,1,True,social,guek86,2,3,3.0
75,A,B,0,False,social,guek86,3,3,3.0
21,B,A,0,False,social,guek86,0,4,3.0
39,B,A,0,False,social,guek86,1,4,3.0
83,B,B,1,True,social,guek86,2,4,3.0
75,B,B,1,True,social,guek86,3,4,3.0
75,A,B,0,False,social,guek86,0,5,3.0
21,A,A,0,True,social,guek86,1,5,3.0
39,A,A,1,True,social,guek86,2,5,3.0
83,A,B,1,False,social,guek86,3,5,3.0
