stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
62,A,A,1,True,nonsocial,hamo95,0,0,0.0
16,B,B,1,True,nonsocial,hamo95,1,0,0.0
72,B,B,1,True,nonsocial,hamo95,2,0,0.0
84,A,A,1,True,nonsocial,hamo95,3,0,0.0
16,A,B,1,False,nonsocial,hamo95,0,1,0.0
72,B,B,1,True,nonsocial,hamo95,1,1,0.0
84,B,A,0,False,nonsocial,hamo95,2,1,0.0
62,B,A,0,False,nonsocial,hamo95,3,1,0.0
62,A,A,1,True,nonsocial,hamo95,0,2,0.0
72,B,B,1,True,nonsocial,hamo95,1,2,0.0
16,A,B,1,False,nonsocial,hamo95,2,2,0.0
84,B,A,0,False,nonsocial,hamo95,3,2,0.0
62,B,A,0,False,nonsocial,hamo95,0,3,0.0
72,B,B,1,True,nonsocial,hamo95,1,3,0.0
84,A,A,1,True,nonsocial,hamo95,2,3,0.0
16,B,B,1,True,nonsocial,hamo95,3,3,0.0
84,A,A,1,True,nonsocial,hamo95,0,4,0.0
72,B,B,1,True,nonsocial,hamo95,1,4,0.0
62,A,A,1,True,nonsocial,hamo95,2,4,0.0
16,B,B,1,True,nonsocial,hamo95,3,4,0.0
72,B,B,1,True,nonsocial,hamo95,0,5,0.0
84,A,A,1,True,nonsocial,hamo95,1,5,0.0
62,A,A,1,True,nonsocial,hamo95,2,5,0.0
16,B,B,0,True,nonsocial,hamo95,3,5,0.0
39,,B,0,False,social,hamo95,0,0,1.0
93,A,B,1,False,social,hamo95,1,0,1.0
29,B,A,0,False,social,hamo95,2,0,1.0
83,A,A,1,True,social,hamo95,3,0,1.0
39,A,B,0,False,social,hamo95,0,1,1.0
29,B,A,0,False,social,hamo95,1,1,1.0
93,B,B,1,True,social,hamo95,2,1,1.0
83,B,A,0,False,social,hamo95,3,1,1.0
93,B,B,1,True,social,hamo95,0,2,1.0
39,B,B,1,True,social,hamo95,1,2,1.0
83,A,A,1,True,social,hamo95,2,2,1.0
29,B,A,1,False,social,hamo95,3,2,1.0
93,B,B,1,True,social,hamo95,0,3,1.0
29,B,A,0,False,social,hamo95,1,3,1.0
39,B,B,1,True,social,hamo95,2,3,1.0
83,B,A,0,False,social,hamo95,3,3,1.0
93,B,B,1,True,social,hamo95,0,4,1.0
29,A,A,1,True,social,hamo95,1,4,1.0
39,B,B,1,True,social,hamo95,2,4,1.0
83,A,A,1,True,social,hamo95,3,4,1.0
93,A,B,0,False,social,hamo95,0,5,1.0
29,A,A,1,True,social,hamo95,1,5,1.0
39,B,B,1,True,social,hamo95,2,5,1.0
83,A,A,1,True,social,hamo95,3,5,1.0
84,A,A,1,True,nonsocial,hamo95,0,0,2.0
72,B,B,1,True,nonsocial,hamo95,1,0,2.0
62,A,A,0,True,nonsocial,hamo95,2,0,2.0
16,B,B,1,True,nonsocial,hamo95,3,0,2.0
16,B,B,1,True,nonsocial,hamo95,0,1,2.0
62,A,A,0,True,nonsocial,hamo95,1,1,2.0
84,B,A,1,False,nonsocial,hamo95,2,1,2.0
72,B,B,1,True,nonsocial,hamo95,3,1,2.0
16,A,B,1,False,nonsocial,hamo95,0,2,2.0
84,A,A,1,True,nonsocial,hamo95,1,2,2.0
72,A,B,0,False,nonsocial,hamo95,2,2,2.0
62,B,A,1,False,nonsocial,hamo95,3,2,2.0
62,A,A,1,True,nonsocial,hamo95,0,3,2.0
72,B,B,1,True,nonsocial,hamo95,1,3,2.0
84,A,A,1,True,nonsocial,hamo95,2,3,2.0
16,B,B,0,True,nonsocial,hamo95,3,3,2.0
84,B,A,0,False,nonsocial,hamo95,0,4,2.0
72,B,B,1,True,nonsocial,hamo95,1,4,2.0
16,A,B,0,False,nonsocial,hamo95,2,4,2.0
62,B,A,0,False,nonsocial,hamo95,3,4,2.0
62,A,A,0,True,nonsocial,hamo95,0,5,2.0
72,B,B,1,True,nonsocial,hamo95,1,5,2.0
84,B,A,0,False,nonsocial,hamo95,2,5,2.0
16,A,B,0,False,nonsocial,hamo95,3,5,2.0
39,A,B,0,False,social,hamo95,0,0,3.0
29,B,A,0,False,social,hamo95,1,0,3.0
83,A,A,0,True,social,hamo95,2,0,3.0
93,B,B,0,True,social,hamo95,3,0,3.0
39,A,B,0,False,social,hamo95,0,1,3.0
83,B,A,0,False,social,hamo95,1,1,3.0
93,B,B,1,True,social,hamo95,2,1,3.0
29,A,A,1,True,social,hamo95,3,1,3.0
29,B,A,0,False,social,hamo95,0,2,3.0
39,B,B,1,True,social,hamo95,1,2,3.0
93,A,B,1,False,social,hamo95,2,2,3.0
83,B,A,0,False,social,hamo95,3,2,3.0
29,A,A,1,True,social,hamo95,0,3,3.0
93,A,B,1,False,social,hamo95,1,3,3.0
83,A,A,1,True,social,hamo95,2,3,3.0
39,A,B,0,False,social,hamo95,3,3,3.0
83,A,A,1,True,social,hamo95,0,4,3.0
39,B,B,1,True,social,hamo95,1,4,3.0
29,A,A,0,True,social,hamo95,2,4,3.0
93,B,B,1,True,social,hamo95,3,4,3.0
93,B,B,1,True,social,hamo95,0,5,3.0
39,B,B,1,True,social,hamo95,1,5,3.0
83,A,A,1,True,social,hamo95,2,5,3.0
29,A,A,1,True,social,hamo95,3,5,3.0
