stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
38,B,A,0,False,nonsocial,hase90,0,0,0.0
92,A,B,0,False,nonsocial,hase90,1,0,0.0
62,A,B,0,False,nonsocial,hase90,2,0,0.0
98,B,A,0,False,nonsocial,hase90,3,0,0.0
98,A,A,1,True,nonsocial,hase90,0,1,0.0
92,B,B,1,True,nonsocial,hase90,1,1,0.0
38,A,A,1,True,nonsocial,hase90,2,1,0.0
62,A,B,0,False,nonsocial,hase90,3,1,0.0
98,A,A,0,True,nonsocial,hase90,0,2,0.0
38,A,A,1,True,nonsocial,hase90,1,2,0.0
62,A,B,0,False,nonsocial,hase90,2,2,0.0
92,A,B,0,False,nonsocial,hase90,3,2,0.0
92,B,B,1,True,nonsocial,hase90,0,3,0.0
98,B,A,0,False,nonsocial,hase90,1,3,0.0
38,B,A,0,False,nonsocial,hase90,2,3,0.0
62,B,B,1,True,nonsocial,hase90,3,3,0.0
62,A,B,0,False,nonsocial,hase90,0,4,0.0
38,A,A,1,True,nonsocial,hase90,1,4,0.0
92,A,B,1,False,nonsocial,hase90,2,4,0.0
98,A,A,0,True,nonsocial,hase90,3,4,0.0
62,B,B,0,True,nonsocial,hase90,0,5,0.0
38,A,A,1,True,nonsocial,hase90,1,5,0.0
98,A,A,1,True,nonsocial,hase90,2,5,0.0
92,B,B,1,True,nonsocial,hase90,3,5,0.0
59,A,A,1,True,social,hase90,0,0,1.0
29,A,A,1,True,social,hase90,1,0,1.0
15,A,B,0,False,social,hase90,2,0,1.0
99,A,B,0,False,social,hase90,3,0,1.0
29,A,A,0,True,social,hase90,0,1,1.0
15,B,B,1,True,social,hase90,1,1,1.0
99,A,B,0,False,social,hase90,2,1,1.0
59,A,A,1,True,social,hase90,3,1,1.0
29,B,A,1,False,social,hase90,0,2,1.0
59,B,A,0,False,social,hase90,1,2,1.0
15,A,B,1,False,social,hase90,2,2,1.0
99,B,B,1,True,social,hase90,3,2,1.0
99,A,B,0,False,social,hase90,0,3,1.0
29,B,A,0,False,social,hase90,1,3,1.0
15,B,B,1,True,social,hase90,2,3,1.0
59,A,A,1,True,social,hase90,3,3,1.0
29,B,A,1,False,social,hase90,0,4,1.0
59,B,A,0,False,social,hase90,1,4,1.0
15,B,B,1,True,social,hase90,2,4,1.0
99,A,B,0,False,social,hase90,3,4,1.0
15,B,B,1,True,social,hase90,0,5,1.0
59,A,A,1,True,social,hase90,1,5,1.0
29,B,A,1,False,social,hase90,2,5,1.0
99,A,B,1,False,social,hase90,3,5,1.0
62,B,B,0,True,nonsocial,hase90,0,0,2.0
92,B,B,1,True,nonsocial,hase90,1,0,2.0
98,A,A,0,True,nonsocial,hase90,2,0,2.0
38,A,A,1,True,nonsocial,hase90,3,0,2.0
62,B,B,1,True,nonsocial,hase90,0,1,2.0
38,A,A,1,True,nonsocial,hase90,1,1,2.0
98,B,A,1,False,nonsocial,hase90,2,1,2.0
92,A,B,0,False,nonsocial,hase90,3,1,2.0
92,B,B,1,True,nonsocial,hase90,0,2,2.0
38,A,A,0,True,nonsocial,hase90,1,2,2.0
62,A,B,0,False,nonsocial,hase90,2,2,2.0
98,A,A,1,True,nonsocial,hase90,3,2,2.0
92,B,B,1,True,nonsocial,hase90,0,3,2.0
98,A,A,1,True,nonsocial,hase90,1,3,2.0
62,B,B,1,True,nonsocial,hase90,2,3,2.0
38,B,A,0,False,nonsocial,hase90,3,3,2.0
92,B,B,1,True,nonsocial,hase90,0,4,2.0
62,B,B,1,True,nonsocial,hase90,1,4,2.0
98,A,A,1,True,nonsocial,hase90,2,4,2.0
38,B,A,0,False,nonsocial,hase90,3,4,2.0
92,A,B,1,False,nonsocial,hase90,0,5,2.0
62,B,B,1,True,nonsocial,hase90,1,5,2.0
38,A,A,1,True,nonsocial,hase90,2,5,2.0
98,B,A,0,False,nonsocial,hase90,3,5,2.0
99,B,B,1,True,social,hase90,0,0,3.0
59,A,A,1,True,social,hase90,1,0,3.0
15,B,B,1,True,social,hase90,2,0,3.0
29,A,A,1,True,social,hase90,3,0,3.0
59,B,A,0,False,social,hase90,0,1,3.0
29,A,A,1,True,social,hase90,1,1,3.0
99,B,B,0,True,social,hase90,2,1,3.0
15,A,B,1,False,social,hase90,3,1,3.0
59,A,A,1,True,social,hase90,0,2,3.0
29,B,A,0,False,social,hase90,1,2,3.0
15,A,B,0,False,social,hase90,2,2,3.0
99,A,B,0,False,social,hase90,3,2,3.0
59,A,A,1,True,social,hase90,0,3,3.0
29,B,A,0,False,social,hase90,1,3,3.0
15,B,B,1,True,social,hase90,2,3,3.0
99,B,B,0,True,social,hase90,3,3,3.0
99,A,B,1,False,social,hase90,0,4,3.0
15,A,B,0,False,social,hase90,1,4,3.0
59,B,A,0,False,social,hase90,2,4,3.0
29,A,A,0,True,social,hase90,3,4,3.0
59,B,A,0,False,social,hase90,0,5,3.0
29,B,A,0,False,social,hase90,1,5,3.0
15,A,B,0,False,social,hase90,2,5,3.0
99,B,B,1,True,social,hase90,3,5,3.0
