stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
40,A,B,0,False,nonsocial,hese83,0,0,0.0
60,B,A,0,False,nonsocial,hese83,1,0,0.0
46,A,B,1,False,nonsocial,hese83,2,0,0.0
68,B,A,0,False,nonsocial,hese83,3,0,0.0
60,B,A,0,False,nonsocial,hese83,0,1,0.0
68,A,A,1,True,nonsocial,hese83,1,1,0.0
46,B,B,1,True,nonsocial,hese83,2,1,0.0
40,B,B,1,True,nonsocial,hese83,3,1,0.0
46,,B,0,False,nonsocial,hese83,0,2,0.0
60,B,A,0,False,nonsocial,hese83,1,2,0.0
68,A,A,1,True,nonsocial,hese83,2,2,0.0
40,A,B,0,False,nonsocial,hese83,3,2,0.0
60,A,A,1,True,nonsocial,hese83,0,3,0.0
40,B,B,1,True,nonsocial,hese83,1,3,0.0
46,B,B,1,True,nonsocial,hese83,2,3,0.0
68,A,A,1,True,nonsocial,hese83,3,3,0.0
60,B,A,0,False,nonsocial,hese83,0,4,0.0
68,A,A,1,True,nonsocial,hese83,1,4,0.0
40,A,B,1,False,nonsocial,hese83,2,4,0.0
46,A,B,0,False,nonsocial,hese83,3,4,0.0
40,B,B,1,True,nonsocial,hese83,0,5,0.0
46,A,B,0,False,nonsocial,hese83,1,5,0.0
68,A,A,1,True,nonsocial,hese83,2,5,0.0
60,B,A,0,False,nonsocial,hese83,3,5,0.0
59,B,A,0,False,social,hese83,0,0,1.0
81,A,A,1,True,social,hese83,1,0,1.0
27,B,B,1,True,social,hese83,2,0,1.0
91,B,B,1,True,social,hese83,3,0,1.0
91,A,B,0,False,social,hese83,0,1,1.0
27,A,B,1,False,social,hese83,1,1,1.0
59,A,A,1,True,social,hese83,2,1,1.0
81,A,A,1,True,social,hese83,3,1,1.0
91,A,B,0,False,social,hese83,0,2,1.0
27,B,B,1,True,social,hese83,1,2,1.0
59,A,A,1,True,social,hese83,2,2,1.0
81,A,A,1,True,social,hese83,3,2,1.0
91,A,B,0,False,social,hese83,0,3,1.0
27,A,B,0,False,social,hese83,1,3,1.0
59,A,A,1,True,social,hese83,2,3,1.0
81,A,A,1,True,social,hese83,3,3,1.0
81,B,A,0,False,social,hese83,0,4,1.0
27,A,B,0,False,social,hese83,1,4,1.0
91,A,B,0,False,social,hese83,2,4,1.0
59,A,A,1,True,social,hese83,3,4,1.0
81,A,A,1,True,social,hese83,0,5,1.0
59,A,A,1,True,social,hese83,1,5,1.0
27,A,B,0,False,social,hese83,2,5,1.0
91,A,B,0,False,social,hese83,3,5,1.0
46,B,B,1,True,nonsocial,hese83,0,0,2.0
68,A,A,1,True,nonsocial,hese83,1,0,2.0
60,B,A,0,False,nonsocial,hese83,2,0,2.0
40,B,B,1,True,nonsocial,hese83,3,0,2.0
68,A,A,1,True,nonsocial,hese83,0,1,2.0
46,A,B,0,False,nonsocial,hese83,1,1,2.0
40,B,B,1,True,nonsocial,hese83,2,1,2.0
60,A,A,1,True,nonsocial,hese83,3,1,2.0
60,A,A,1,True,nonsocial,hese83,0,2,2.0
68,A,A,1,True,nonsocial,hese83,1,2,2.0
46,B,B,1,True,nonsocial,hese83,2,2,2.0
40,A,B,0,False,nonsocial,hese83,3,2,2.0
40,B,B,1,True,nonsocial,hese83,0,3,2.0
68,A,A,1,True,nonsocial,hese83,1,3,2.0
46,B,B,0,True,nonsocial,hese83,2,3,2.0
60,A,A,1,True,nonsocial,hese83,3,3,2.0
68,A,A,0,True,nonsocial,hese83,0,4,2.0
60,A,A,1,True,nonsocial,hese83,1,4,2.0
40,B,B,1,True,nonsocial,hese83,2,4,2.0
46,B,B,1,True,nonsocial,hese83,3,4,2.0
40,B,B,1,True,nonsocial,hese83,0,5,2.0
46,B,B,1,True,nonsocial,hese83,1,5,2.0
68,B,A,0,False,nonsocial,hese83,2,5,2.0
60,B,A,1,False,nonsocial,hese83,3,5,2.0
91,B,B,1,True,social,hese83,0,0,3.0
27,B,B,1,True,social,hese83,1,0,3.0
81,B,A,0,False,social,hese83,2,0,3.0
59,B,A,0,False,social,hese83,3,0,3.0
27,B,B,1,True,social,hese83,0,1,3.0
81,B,A,0,False,social,hese83,1,1,3.0
59,B,A,0,False,social,hese83,2,1,3.0
91,B,B,0,True,social,hese83,3,1,3.0
27,B,B,1,True,social,hese83,0,2,3.0
81,B,A,0,False,social,hese83,1,2,3.0
59,B,A,0,False,social,hese83,2,2,3.0
91,B,B,1,True,social,hese83,3,2,3.0
91,A,B,0,False,social,hese83,0,3,3.0
59,A,A,1,True,social,hese83,1,3,3.0
27,B,B,1,True,social,hese83,2,3,3.0
81,A,A,1,True,social,hese83,3,3,3.0
81,B,A,0,False,social,hese83,0,4,3.0
27,A,B,0,False,social,hese83,1,4,3.0
91,A,B,0,False,social,hese83,2,4,3.0
59,A,A,0,True,social,hese83,3,4,3.0
81,A,A,1,True,social,hese83,0,5,3.0
91,B,B,1,True,social,hese83,1,5,3.0
27,B,B,1,True,social,hese83,2,5,3.0
59,A,A,1,True,social,hese83,3,5,3.0
