stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
20,B,A,0,False,social,hezi87,0,0,0.0
24,B,A,0,False,social,hezi87,1,0,0.0
46,B,B,1,True,social,hezi87,2,0,0.0
44,A,B,1,False,social,hezi87,3,0,0.0
46,B,B,1,True,social,hezi87,0,1,0.0
20,A,A,1,True,social,hezi87,1,1,0.0
24,A,A,0,True,social,hezi87,2,1,0.0
44,B,B,1,True,social,hezi87,3,1,0.0
24,B,A,0,False,social,hezi87,0,2,0.0
20,B,A,1,False,social,hezi87,1,2,0.0
46,A,B,0,False,social,hezi87,2,2,0.0
44,A,B,0,False,social,hezi87,3,2,0.0
24,B,A,0,False,social,hezi87,0,3,0.0
46,B,B,0,True,social,hezi87,1,3,0.0
20,A,A,1,True,social,hezi87,2,3,0.0
44,B,B,0,True,social,hezi87,3,3,0.0
44,A,B,0,False,social,hezi87,0,4,0.0
46,A,B,0,False,social,hezi87,1,4,0.0
24,A,A,1,True,social,hezi87,2,4,0.0
20,A,A,0,True,social,hezi87,3,4,0.0
46,B,B,1,True,social,hezi87,0,5,0.0
24,B,A,0,False,social,hezi87,1,5,0.0
20,A,A,1,True,social,hezi87,2,5,0.0
44,B,B,0,True,social,hezi87,3,5,0.0
21,B,A,0,False,nonsocial,hezi87,0,0,1.0
67,A,B,0,False,nonsocial,hezi87,1,0,1.0
85,B,A,0,False,nonsocial,hezi87,2,0,1.0
19,A,B,1,False,nonsocial,hezi87,3,0,1.0
85,A,A,1,True,nonsocial,hezi87,0,1,1.0
21,A,A,1,True,nonsocial,hezi87,1,1,1.0
67,A,B,0,False,nonsocial,hezi87,2,1,1.0
19,A,B,0,False,nonsocial,hezi87,3,1,1.0
85,A,A,1,True,nonsocial,hezi87,0,2,1.0
19,A,B,0,False,nonsocial,hezi87,1,2,1.0
21,A,A,1,True,nonsocial,hezi87,2,2,1.0
67,A,B,0,False,nonsocial,hezi87,3,2,1.0
19,A,B,0,False,nonsocial,hezi87,0,3,1.0
85,B,A,0,False,nonsocial,hezi87,1,3,1.0
67,B,B,1,True,nonsocial,hezi87,2,3,1.0
21,B,A,0,False,nonsocial,hezi87,3,3,1.0
21,A,A,0,True,nonsocial,hezi87,0,4,1.0
85,B,A,0,False,nonsocial,hezi87,1,4,1.0
67,B,B,1,True,nonsocial,hezi87,2,4,1.0
19,B,B,1,True,nonsocial,hezi87,3,4,1.0
19,B,B,1,True,nonsocial,hezi87,0,5,1.0
67,B,B,1,True,nonsocial,hezi87,1,5,1.0
85,B,A,0,False,nonsocial,hezi87,2,5,1.0
21,A,A,1,True,nonsocial,hezi87,3,5,1.0
20,A,A,1,True,social,hezi87,0,0,2.0
24,A,A,1,True,social,hezi87,1,0,2.0
46,B,B,1,True,social,hezi87,2,0,2.0
44,B,B,1,True,social,hezi87,3,0,2.0
44,B,B,1,True,social,hezi87,0,1,2.0
24,A,A,1,True,social,hezi87,1,1,2.0
20,A,A,1,True,social,hezi87,2,1,2.0
46,B,B,1,True,social,hezi87,3,1,2.0
24,A,A,0,True,social,hezi87,0,2,2.0
20,B,A,1,False,social,hezi87,1,2,2.0
46,A,B,0,False,social,hezi87,2,2,2.0
44,B,B,1,True,social,hezi87,3,2,2.0
46,A,B,0,False,social,hezi87,0,3,2.0
24,A,A,1,True,social,hezi87,1,3,2.0
44,B,B,1,True,social,hezi87,2,3,2.0
20,A,A,1,True,social,hezi87,3,3,2.0
46,A,B,0,False,social,hezi87,0,4,2.0
20,B,A,0,False,social,hezi87,1,4,2.0
24,A,A,1,True,social,hezi87,2,4,2.0
44,A,B,0,False,social,hezi87,3,4,2.0
44,A,B,0,False,social,hezi87,0,5,2.0
46,B,B,1,True,social,hezi87,1,5,2.0
24,B,A,1,False,social,hezi87,2,5,2.0
20,A,A,1,True,social,hezi87,3,5,2.0
19,B,B,1,True,nonsocial,hezi87,0,0,3.0
85,B,A,0,False,nonsocial,hezi87,1,0,3.0
67,B,B,1,True,nonsocial,hezi87,2,0,3.0
21,B,A,1,False,nonsocial,hezi87,3,0,3.0
19,B,B,0,True,nonsocial,hezi87,0,1,3.0
85,B,A,0,False,nonsocial,hezi87,1,1,3.0
67,A,B,0,False,nonsocial,hezi87,2,1,3.0
21,B,A,1,False,nonsocial,hezi87,3,1,3.0
67,A,B,1,False,nonsocial,hezi87,0,2,3.0
85,B,A,0,False,nonsocial,hezi87,1,2,3.0
19,A,B,0,False,nonsocial,hezi87,2,2,3.0
21,B,A,0,False,nonsocial,hezi87,3,2,3.0
21,A,A,1,True,nonsocial,hezi87,0,3,3.0
85,A,A,1,True,nonsocial,hezi87,1,3,3.0
19,A,B,0,False,nonsocial,hezi87,2,3,3.0
67,B,B,1,True,nonsocial,hezi87,3,3,3.0
67,A,B,0,False,nonsocial,hezi87,0,4,3.0
21,B,A,0,False,nonsocial,hezi87,1,4,3.0
19,A,B,0,False,nonsocial,hezi87,2,4,3.0
85,B,A,1,False,nonsocial,hezi87,3,4,3.0
67,B,B,1,True,nonsocial,hezi87,0,5,3.0
21,B,A,0,False,nonsocial,hezi87,1,5,3.0
19,B,B,1,True,nonsocial,hezi87,2,5,3.0
85,A,A,1,True,nonsocial,hezi87,3,5,3.0
