stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
50,A,A,1,True,nonsocial,ivmi00,0,0,0.0
40,A,A,1,True,nonsocial,ivmi00,1,0,0.0
84,B,B,1,True,nonsocial,ivmi00,2,0,0.0
30,A,B,0,False,nonsocial,ivmi00,3,0,0.0
30,B,B,1,True,nonsocial,ivmi00,0,1,0.0
84,B,B,0,True,nonsocial,ivmi00,1,1,0.0
40,A,A,0,True,nonsocial,ivmi00,2,1,0.0
50,B,A,0,False,nonsocial,ivmi00,3,1,0.0
84,B,B,0,True,nonsocial,ivmi00,0,2,0.0
30,A,B,0,False,nonsocial,ivmi00,1,2,0.0
40,A,A,1,True,nonsocial,ivmi00,2,2,0.0
50,A,A,1,True,nonsocial,ivmi00,3,2,0.0
40,B,A,0,False,nonsocial,ivmi00,0,3,0.0
30,B,B,0,True,nonsocial,ivmi00,1,3,0.0
50,B,A,1,False,nonsocial,ivmi00,2,3,0.0
84,B,B,1,True,nonsocial,ivmi00,3,3,0.0
40,B,A,0,False,nonsocial,ivmi00,0,4,0.0
84,B,B,1,True,nonsocial,ivmi00,1,4,0.0
50,B,A,0,False,nonsocial,ivmi00,2,4,0.0
30,B,B,1,True,nonsocial,ivmi00,3,4,0.0
30,A,B,0,False,nonsocial,ivmi00,0,5,0.0
50,A,A,1,True,nonsocial,ivmi00,1,5,0.0
84,B,B,1,True,nonsocial,ivmi00,2,5,0.0
40,B,A,1,False,nonsocial,ivmi00,3,5,0.0
95,A,A,1,True,social,ivmi00,0,0,1.0
69,B,B,1,True,social,ivmi00,1,0,1.0
13,A,B,0,False,social,ivmi00,2,0,1.0
81,B,A,0,False,social,ivmi00,3,0,1.0
95,A,A,0,True,social,ivmi00,0,1,1.0
13,B,B,1,True,social,ivmi00,1,1,1.0
81,B,A,0,False,social,ivmi00,2,1,1.0
69,B,B,0,True,social,ivmi00,3,1,1.0
69,B,B,1,True,social,ivmi00,0,2,1.0
13,A,B,0,False,social,ivmi00,1,2,1.0
95,A,A,0,True,social,ivmi00,2,2,1.0
81,A,A,1,True,social,ivmi00,3,2,1.0
81,B,A,0,False,social,ivmi00,0,3,1.0
13,A,B,0,False,social,ivmi00,1,3,1.0
69,B,B,0,True,social,ivmi00,2,3,1.0
95,A,A,1,True,social,ivmi00,3,3,1.0
81,A,A,1,True,social,ivmi00,0,4,1.0
13,A,B,0,False,social,ivmi00,1,4,1.0
95,B,A,0,False,social,ivmi00,2,4,1.0
69,A,B,0,False,social,ivmi00,3,4,1.0
13,A,B,0,False,social,ivmi00,0,5,1.0
95,B,A,0,False,social,ivmi00,1,5,1.0
69,B,B,1,True,social,ivmi00,2,5,1.0
81,B,A,0,False,social,ivmi00,3,5,1.0
84,B,B,1,True,nonsocial,ivmi00,0,0,2.0
50,B,A,0,False,nonsocial,ivmi00,1,0,2.0
30,A,B,0,False,nonsocial,ivmi00,2,0,2.0
40,B,A,0,False,nonsocial,ivmi00,3,0,2.0
84,B,B,1,True,nonsocial,ivmi00,0,1,2.0
50,A,A,1,True,nonsocial,ivmi00,1,1,2.0
40,B,A,0,False,nonsocial,ivmi00,2,1,2.0
30,A,B,0,False,nonsocial,ivmi00,3,1,2.0
84,B,B,1,True,nonsocial,ivmi00,0,2,2.0
50,A,A,1,True,nonsocial,ivmi00,1,2,2.0
30,A,B,0,False,nonsocial,ivmi00,2,2,2.0
40,A,A,0,True,nonsocial,ivmi00,3,2,2.0
50,B,A,0,False,nonsocial,ivmi00,0,3,2.0
30,A,B,0,False,nonsocial,ivmi00,1,3,2.0
84,B,B,1,True,nonsocial,ivmi00,2,3,2.0
40,A,A,1,True,nonsocial,ivmi00,3,3,2.0
40,A,A,1,True,nonsocial,ivmi00,0,4,2.0
84,B,B,1,True,nonsocial,ivmi00,1,4,2.0
50,B,A,0,False,nonsocial,ivmi00,2,4,2.0
30,B,B,1,True,nonsocial,ivmi00,3,4,2.0
40,A,A,1,True,nonsocial,ivmi00,0,5,2.0
30,B,B,1,True,nonsocial,ivmi00,1,5,2.0
84,B,B,1,True,nonsocial,ivmi00,2,5,2.0
50,A,A,0,True,nonsocial,ivmi00,3,5,2.0
69,A,B,0,False,social,ivmi00,0,0,3.0
95,B,A,0,False,social,ivmi00,1,0,3.0
81,A,A,1,True,social,ivmi00,2,0,3.0
13,B,B,0,True,social,ivmi00,3,0,3.0
13,B,B,1,True,social,ivmi00,0,1,3.0
81,B,A,0,False,social,ivmi00,1,1,3.0
95,A,A,1,True,social,ivmi00,2,1,3.0
69,A,B,0,False,social,ivmi00,3,1,3.0
81,B,A,0,False,social,ivmi00,0,2,3.0
13,A,B,0,False,social,ivmi00,1,2,3.0
69,B,B,1,True,social,ivmi00,2,2,3.0
95,B,A,0,False,social,ivmi00,3,2,3.0
81,B,A,0,False,social,ivmi00,0,3,3.0
13,A,B,0,False,social,ivmi00,1,3,3.0
69,B,B,1,True,social,ivmi00,2,3,3.0
95,A,A,1,True,social,ivmi00,3,3,3.0
81,A,A,1,True,social,ivmi00,0,4,3.0
13,A,B,0,False,social,ivmi00,1,4,3.0
95,B,A,0,False,social,ivmi00,2,4,3.0
69,B,B,1,True,social,ivmi00,3,4,3.0
69,B,B,1,True,social,ivmi00,0,5,3.0
13,B,B,1,True,social,ivmi00,1,5,3.0
95,B,A,0,False,social,ivmi00,2,5,3.0
81,A,A,1,True,social,ivmi00,3,5,3.0
