stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
42,A,A,0,True,nonsocial,kasi98,0,0,0.0
28,B,B,1,True,nonsocial,kasi98,1,0,0.0
74,A,B,,False,nonsocial,kasi98,2,0,0.0
48,A,A,0,True,nonsocial,kasi98,3,0,0.0
48,B,A,,False,nonsocial,kasi98,0,1,0.0
42,A,A,1,True,nonsocial,kasi98,1,1,0.0
28,A,B,,False,nonsocial,kasi98,2,1,0.0
74,B,B,0,True,nonsocial,kasi98,3,1,0.0
28,B,B,0,True,nonsocial,kasi98,0,2,0.0
74,,B,,False,nonsocial,kasi98,1,2,0.0
48,A,A,1,True,nonsocial,kasi98,2,2,0.0
42,B,A,,False,nonsocial,kasi98,3,2,0.0
42,B,A,,False,nonsocial,kasi98,0,3,0.0
74,B,B,1,True,nonsocial,kasi98,1,3,0.0
28,A,B,,False,nonsocial,kasi98,2,3,0.0
48,A,A,1,True,nonsocial,kasi98,3,3,0.0
42,A,A,1,True,nonsocial,kasi98,0,4,0.0
28,A,B,,False,nonsocial,kasi98,1,4,0.0
74,B,B,1,True,nonsocial,kasi98,2,4,0.0
48,A,A,1,True,nonsocial,kasi98,3,4,0.0
28,A,B,,False,nonsocial,kasi98,0,5,0.0
48,A,A,1,True,nonsocial,kasi98,1,5,0.0
42,A,A,1,True,nonsocial,kasi98,2,5,0.0
74,B,B,1,True,nonsocial,kasi98,3,5,0.0
71,B,B,1,True,social,kasi98,0,0,1.0
53,A,A,1,True,social,kasi98,1,0,1.0
23,A,B,,False,social,kasi98,2,0,1.0
21,B,A,,False,social,kasi98,3,0,1.0
53,B,A,,False,social,kasi98,0,1,1.0
71,B,B,0,True,social,kasi98,1,1,1.0
23,B,B,1,True,social,kasi98,2,1,1.0
21,B,A,,False,social,kasi98,3,1,1.0
71,A,B,,False,social,kasi98,0,2,1.0
21,B,A,,False,social,kasi98,1,2,1.0
23,A,B,,False,social,kasi98,2,2,1.0
53,B,A,,False,social,kasi98,3,2,1.0
71,B,B,1,True,social,kasi98,0,3,1.0
23,A,B,,False,social,kasi98,1,3,1.0
21,B,A,,False,social,kasi98,2,3,1.0
53,A,A,1,True,social,kasi98,3,3,1.0
71,B,B,0,True,social,kasi98,0,4,1.0
21,B,A,,False,social,kasi98,1,4,1.0
53,A,A,1,True,social,kasi98,2,4,1.0
23,A,B,,False,social,kasi98,3,4,1.0
53,B,A,,False,social,kasi98,0,5,1.0
21,B,A,,False,social,kasi98,1,5,1.0
23,A,B,,False,social,kasi98,2,5,1.0
71,B,B,1,True,social,kasi98,3,5,1.0
48,B,A,,False,nonsocial,kasi98,0,0,2.0
74,B,B,1,True,nonsocial,kasi98,1,0,2.0
28,B,B,1,True,nonsocial,kasi98,2,0,2.0
42,B,A,,False,nonsocial,kasi98,3,0,2.0
74,B,B,1,True,nonsocial,kasi98,0,1,2.0
48,B,A,,False,nonsocial,kasi98,1,1,2.0
28,A,B,,False,nonsocial,kasi98,2,1,2.0
42,A,A,0,True,nonsocial,kasi98,3,1,2.0
48,B,A,,False,nonsocial,kasi98,0,2,2.0
42,A,A,1,True,nonsocial,kasi98,1,2,2.0
74,B,B,1,True,nonsocial,kasi98,2,2,2.0
28,A,B,,False,nonsocial,kasi98,3,2,2.0
74,B,B,1,True,nonsocial,kasi98,0,3,2.0
42,A,A,0,True,nonsocial,kasi98,1,3,2.0
28,B,B,1,True,nonsocial,kasi98,2,3,2.0
48,B,A,,False,nonsocial,kasi98,3,3,2.0
48,B,A,,False,nonsocial,kasi98,0,4,2.0
42,B,A,,False,nonsocial,kasi98,1,4,2.0
28,A,B,,False,nonsocial,kasi98,2,4,2.0
74,B,B,1,True,nonsocial,kasi98,3,4,2.0
48,B,A,,False,nonsocial,kasi98,0,5,2.0
74,B,B,0,True,nonsocial,kasi98,1,5,2.0
42,A,A,1,True,nonsocial,kasi98,2,5,2.0
28,B,B,1,True,nonsocial,kasi98,3,5,2.0
71,B,B,1,True,social,kasi98,0,0,3.0
23,B,B,1,True,social,kasi98,1,0,3.0
21,B,A,,False,social,kasi98,2,0,3.0
53,B,A,,False,social,kasi98,3,0,3.0
21,A,A,0,True,social,kasi98,0,1,3.0
71,B,B,1,True,social,kasi98,1,1,3.0
23,B,B,1,True,social,kasi98,2,1,3.0
53,A,A,1,True,social,kasi98,3,1,3.0
21,B,A,,False,social,kasi98,0,2,3.0
53,A,A,1,True,social,kasi98,1,2,3.0
71,B,B,1,True,social,kasi98,2,2,3.0
23,B,B,1,True,social,kasi98,3,2,3.0
53,A,A,1,True,social,kasi98,0,3,3.0
71,B,B,1,True,social,kasi98,1,3,3.0
23,B,B,0,True,social,kasi98,2,3,3.0
21,A,A,1,True,social,kasi98,3,3,3.0
71,B,B,1,True,social,kasi98,0,4,3.0
23,B,B,1,True,social,kasi98,1,4,3.0
53,A,A,1,True,social,kasi98,2,4,3.0
21,B,A,,False,social,kasi98,3,4,3.0
23,B,B,1,True,social,kasi98,0,5,3.0
53,A,A,1,True,social,kasi98,1,5,3.0
71,B,B,1,True,social,kasi98,2,5,3.0
21,B,A,,False,social,kasi98,3,5,3.0
