stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
30,A,B,0,False,nonsocial,lira02,0,0,0.0
56,A,B,0,False,nonsocial,lira02,1,0,0.0
74,A,A,1,True,nonsocial,lira02,2,0,0.0
78,B,A,0,False,nonsocial,lira02,3,0,0.0
30,B,B,1,True,nonsocial,lira02,0,1,0.0
78,A,A,1,True,nonsocial,lira02,1,1,0.0
56,A,B,1,False,nonsocial,lira02,2,1,0.0
74,B,A,0,False,nonsocial,lira02,3,1,0.0
56,A,B,0,False,nonsocial,lira02,0,2,0.0
74,A,A,1,True,nonsocial,lira02,1,2,0.0
30,A,B,0,False,nonsocial,lira02,2,2,0.0
78,A,A,1,True,nonsocial,lira02,3,2,0.0
56,B,B,1,True,nonsocial,lira02,0,3,0.0
30,A,B,0,False,nonsocial,lira02,1,3,0.0
74,B,A,1,False,nonsocial,lira02,2,3,0.0
78,A,A,1,True,nonsocial,lira02,3,3,0.0
30,B,B,1,True,nonsocial,lira02,0,4,0.0
74,B,A,0,False,nonsocial,lira02,1,4,0.0
56,A,B,0,False,nonsocial,lira02,2,4,0.0
78,A,A,1,True,nonsocial,lira02,3,4,0.0
74,B,A,0,False,nonsocial,lira02,0,5,0.0
56,B,B,1,True,nonsocial,lira02,1,5,0.0
78,A,A,1,True,nonsocial,lira02,2,5,0.0
30,A,B,0,False,nonsocial,lira02,3,5,0.0
59,B,A,0,False,social,lira02,0,0,1.0
71,A,B,0,False,social,lira02,1,0,1.0
53,A,A,1,True,social,lira02,2,0,1.0
19,B,B,1,True,social,lira02,3,0,1.0
53,B,A,1,False,social,lira02,0,1,1.0
19,A,B,0,False,social,lira02,1,1,1.0
71,B,B,0,True,social,lira02,2,1,1.0
59,A,A,1,True,social,lira02,3,1,1.0
59,A,A,1,True,social,lira02,0,2,1.0
53,B,A,0,False,social,lira02,1,2,1.0
19,B,B,1,True,social,lira02,2,2,1.0
71,A,B,1,False,social,lira02,3,2,1.0
59,A,A,1,True,social,lira02,0,3,1.0
19,B,B,1,True,social,lira02,1,3,1.0
53,A,A,1,True,social,lira02,2,3,1.0
71,A,B,1,False,social,lira02,3,3,1.0
19,B,B,1,True,social,lira02,0,4,1.0
59,A,A,0,True,social,lira02,1,4,1.0
71,A,B,0,False,social,lira02,2,4,1.0
53,A,A,1,True,social,lira02,3,4,1.0
53,A,A,1,True,social,lira02,0,5,1.0
19,B,B,1,True,social,lira02,1,5,1.0
59,A,A,0,True,social,lira02,2,5,1.0
71,A,B,0,False,social,lira02,3,5,1.0
78,A,A,1,True,nonsocial,lira02,0,0,2.0
74,A,A,1,True,nonsocial,lira02,1,0,2.0
56,B,B,1,True,nonsocial,lira02,2,0,2.0
30,A,B,0,False,nonsocial,lira02,3,0,2.0
56,A,B,1,False,nonsocial,lira02,0,1,2.0
74,A,A,0,True,nonsocial,lira02,1,1,2.0
78,A,A,1,True,nonsocial,lira02,2,1,2.0
30,A,B,0,False,nonsocial,lira02,3,1,2.0
74,A,A,1,True,nonsocial,lira02,0,2,2.0
30,B,B,1,True,nonsocial,lira02,1,2,2.0
78,A,A,1,True,nonsocial,lira02,2,2,2.0
56,B,B,1,True,nonsocial,lira02,3,2,2.0
56,B,B,1,True,nonsocial,lira02,0,3,2.0
78,A,A,1,True,nonsocial,lira02,1,3,2.0
74,A,A,1,True,nonsocial,lira02,2,3,2.0
30,B,B,1,True,nonsocial,lira02,3,3,2.0
78,A,A,1,True,nonsocial,lira02,0,4,2.0
56,B,B,1,True,nonsocial,lira02,1,4,2.0
74,A,A,1,True,nonsocial,lira02,2,4,2.0
30,B,B,1,True,nonsocial,lira02,3,4,2.0
78,A,A,1,True,nonsocial,lira02,0,5,2.0
56,B,B,1,True,nonsocial,lira02,1,5,2.0
30,B,B,1,True,nonsocial,lira02,2,5,2.0
74,A,A,1,True,nonsocial,lira02,3,5,2.0
71,B,B,1,True,social,lira02,0,0,3.0
53,B,A,0,False,social,lira02,1,0,3.0
19,A,B,0,False,social,lira02,2,0,3.0
59,B,A,0,False,social,lira02,3,0,3.0
59,B,A,0,False,social,lira02,0,1,3.0
71,B,B,1,True,social,lira02,1,1,3.0
53,B,A,0,False,social,lira02,2,1,3.0
19,B,B,0,True,social,lira02,3,1,3.0
53,B,A,0,False,social,lira02,0,2,3.0
59,B,A,0,False,social,lira02,1,2,3.0
71,B,B,1,True,social,lira02,2,2,3.0
19,A,B,1,False,social,lira02,3,2,3.0
71,B,B,1,True,social,lira02,0,3,3.0
19,A,B,0,False,social,lira02,1,3,3.0
59,B,A,0,False,social,lira02,2,3,3.0
53,B,A,1,False,social,lira02,3,3,3.0
53,B,A,0,False,social,lira02,0,4,3.0
19,B,B,1,True,social,lira02,1,4,3.0
59,A,A,1,True,social,lira02,2,4,3.0
71,B,B,1,True,social,lira02,3,4,3.0
59,A,A,1,True,social,lira02,0,5,3.0
19,B,B,1,True,social,lira02,1,5,3.0
71,B,B,1,True,social,lira02,2,5,3.0
53,A,A,1,True,social,lira02,3,5,3.0
