stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
66,B,A,,False,nonsocial,maar97,0,0,0.0
84,A,B,,False,nonsocial,maar97,1,0,0.0
52,B,B,1,True,nonsocial,maar97,2,0,0.0
64,B,A,,False,nonsocial,maar97,3,0,0.0
64,A,A,1,True,nonsocial,maar97,0,1,0.0
84,B,B,1,True,nonsocial,maar97,1,1,0.0
66,A,A,0,True,nonsocial,maar97,2,1,0.0
52,A,B,,False,nonsocial,maar97,3,1,0.0
64,B,A,,False,nonsocial,maar97,0,2,0.0
66,A,A,0,True,nonsocial,maar97,1,2,0.0
52,A,B,,False,nonsocial,maar97,2,2,0.0
84,B,B,1,True,nonsocial,maar97,3,2,0.0
64,A,A,1,True,nonsocial,maar97,0,3,0.0
66,A,A,1,True,nonsocial,maar97,1,3,0.0
52,B,B,1,True,nonsocial,maar97,2,3,0.0
84,A,B,,False,nonsocial,maar97,3,3,0.0
84,B,B,1,True,nonsocial,maar97,0,4,0.0
52,A,B,,False,nonsocial,maar97,1,4,0.0
66,A,A,1,True,nonsocial,maar97,2,4,0.0
64,A,A,1,True,nonsocial,maar97,3,4,0.0
66,A,A,1,True,nonsocial,maar97,0,5,0.0
84,B,B,1,True,nonsocial,maar97,1,5,0.0
52,B,B,1,True,nonsocial,maar97,2,5,0.0
64,A,A,1,True,nonsocial,maar97,3,5,0.0
39,A,B,,False,social,maar97,0,0,1.0
65,B,A,,False,social,maar97,1,0,1.0
59,B,B,0,True,social,maar97,2,0,1.0
25,A,A,0,True,social,maar97,3,0,1.0
25,B,A,,False,social,maar97,0,1,1.0
65,A,A,1,True,social,maar97,1,1,1.0
39,B,B,0,True,social,maar97,2,1,1.0
59,B,B,1,True,social,maar97,3,1,1.0
25,B,A,,False,social,maar97,0,2,1.0
39,B,B,1,True,social,maar97,1,2,1.0
59,B,B,1,True,social,maar97,2,2,1.0
65,A,A,1,True,social,maar97,3,2,1.0
59,B,B,1,True,social,maar97,0,3,1.0
25,B,A,,False,social,maar97,1,3,1.0
39,B,B,1,True,social,maar97,2,3,1.0
65,A,A,1,True,social,maar97,3,3,1.0
65,A,A,1,True,social,maar97,0,4,1.0
59,B,B,1,True,social,maar97,1,4,1.0
39,B,B,1,True,social,maar97,2,4,1.0
25,A,A,1,True,social,maar97,3,4,1.0
39,B,B,1,True,social,maar97,0,5,1.0
25,A,A,1,True,social,maar97,1,5,1.0
59,B,B,1,True,social,maar97,2,5,1.0
65,A,A,0,True,social,maar97,3,5,1.0
84,B,B,1,True,nonsocial,maar97,0,0,2.0
64,B,A,,False,nonsocial,maar97,1,0,2.0
52,A,B,,False,nonsocial,maar97,2,0,2.0
66,A,A,1,True,nonsocial,maar97,3,0,2.0
84,A,B,,False,nonsocial,maar97,0,1,2.0
66,A,A,1,True,nonsocial,maar97,1,1,2.0
64,A,A,1,True,nonsocial,maar97,2,1,2.0
52,B,B,1,True,nonsocial,maar97,3,1,2.0
52,B,B,0,True,nonsocial,maar97,0,2,2.0
64,B,A,,False,nonsocial,maar97,1,2,2.0
66,A,A,1,True,nonsocial,maar97,2,2,2.0
84,A,B,,False,nonsocial,maar97,3,2,2.0
52,A,B,,False,nonsocial,maar97,0,3,2.0
84,B,B,1,True,nonsocial,maar97,1,3,2.0
66,A,A,1,True,nonsocial,maar97,2,3,2.0
64,B,A,,False,nonsocial,maar97,3,3,2.0
84,B,B,0,True,nonsocial,maar97,0,4,2.0
66,B,A,,False,nonsocial,maar97,1,4,2.0
64,A,A,1,True,nonsocial,maar97,2,4,2.0
52,B,B,1,True,nonsocial,maar97,3,4,2.0
52,B,B,1,True,nonsocial,maar97,0,5,2.0
66,A,A,1,True,nonsocial,maar97,1,5,2.0
64,A,A,1,True,nonsocial,maar97,2,5,2.0
84,A,B,,False,nonsocial,maar97,3,5,2.0
59,A,B,,False,social,maar97,0,0,3.0
39,A,B,,False,social,maar97,1,0,3.0
65,B,A,,False,social,maar97,2,0,3.0
25,A,A,0,True,social,maar97,3,0,3.0
65,A,A,1,True,social,maar97,0,1,3.0
25,B,A,,False,social,maar97,1,1,3.0
39,A,B,,False,social,maar97,2,1,3.0
59,B,B,1,True,social,maar97,3,1,3.0
39,A,B,,False,social,maar97,0,2,3.0
25,B,A,,False,social,maar97,1,2,3.0
65,A,A,1,True,social,maar97,2,2,3.0
59,B,B,1,True,social,maar97,3,2,3.0
65,B,A,,False,social,maar97,0,3,3.0
59,A,B,,False,social,maar97,1,3,3.0
39,A,B,,False,social,maar97,2,3,3.0
25,B,A,,False,social,maar97,3,3,3.0
59,A,B,,False,social,maar97,0,4,3.0
39,A,B,,False,social,maar97,1,4,3.0
25,B,A,,False,social,maar97,2,4,3.0
65,A,A,1,True,social,maar97,3,4,3.0
65,A,A,1,True,social,maar97,0,5,3.0
59,B,B,1,True,social,maar97,1,5,3.0
25,A,A,0,True,social,maar97,2,5,3.0
39,B,B,1,True,social,maar97,3,5,3.0
