stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
10,A,B,0,False,nonsocial,mabe00,0,0,0.0
52,A,B,0,False,nonsocial,mabe00,1,0,0.0
84,A,A,1,True,nonsocial,mabe00,2,0,0.0
22,A,A,1,True,nonsocial,mabe00,3,0,0.0
84,A,A,1,True,nonsocial,mabe00,0,1,0.0
10,B,B,1,True,nonsocial,mabe00,1,1,0.0
52,B,B,1,True,nonsocial,mabe00,2,1,0.0
22,A,A,1,True,nonsocial,mabe00,3,1,0.0
84,B,A,0,False,nonsocial,mabe00,0,2,0.0
52,B,B,1,True,nonsocial,mabe00,1,2,0.0
10,A,B,0,False,nonsocial,mabe00,2,2,0.0
22,A,A,1,True,nonsocial,mabe00,3,2,0.0
84,A,A,0,True,nonsocial,mabe00,0,3,0.0
10,B,B,1,True,nonsocial,mabe00,1,3,0.0
22,A,A,1,True,nonsocial,mabe00,2,3,0.0
52,B,B,1,True,nonsocial,mabe00,3,3,0.0
52,B,B,0,True,nonsocial,mabe00,0,4,0.0
22,A,A,0,True,nonsocial,mabe00,1,4,0.0
84,A,A,1,True,nonsocial,mabe00,2,4,0.0
10,B,B,1,True,nonsocial,mabe00,3,4,0.0
84,A,A,1,True,nonsocial,mabe00,0,5,0.0
22,B,A,1,False,nonsocial,mabe00,1,5,0.0
52,A,B,0,False,nonsocial,mabe00,2,5,0.0
10,B,B,1,True,nonsocial,mabe00,3,5,0.0
43,B,A,0,False,social,mabe00,0,0,1.0
61,A,A,1,True,social,mabe00,1,0,1.0
85,B,B,1,True,social,mabe00,2,0,1.0
71,B,B,1,True,social,mabe00,3,0,1.0
61,A,A,1,True,social,mabe00,0,1,1.0
85,B,B,1,True,social,mabe00,1,1,1.0
71,B,B,0,True,social,mabe00,2,1,1.0
43,A,A,1,True,social,mabe00,3,1,1.0
43,A,A,1,True,social,mabe00,0,2,1.0
85,B,B,1,True,social,mabe00,1,2,1.0
71,A,B,0,False,social,mabe00,2,2,1.0
61,A,A,0,True,social,mabe00,3,2,1.0
61,B,A,0,False,social,mabe00,0,3,1.0
43,A,A,1,True,social,mabe00,1,3,1.0
71,B,B,1,True,social,mabe00,2,3,1.0
85,B,B,1,True,social,mabe00,3,3,1.0
43,A,A,1,True,social,mabe00,0,4,1.0
85,B,B,1,True,social,mabe00,1,4,1.0
61,B,A,0,False,social,mabe00,2,4,1.0
71,A,B,0,False,social,mabe00,3,4,1.0
85,B,B,1,True,social,mabe00,0,5,1.0
61,A,A,0,True,social,mabe00,1,5,1.0
71,B,B,1,True,social,mabe00,2,5,1.0
43,A,A,1,True,social,mabe00,3,5,1.0
22,A,A,1,True,nonsocial,mabe00,0,0,2.0
10,A,B,1,False,nonsocial,mabe00,1,0,2.0
52,B,B,1,True,nonsocial,mabe00,2,0,2.0
84,B,A,1,False,nonsocial,mabe00,3,0,2.0
10,A,B,0,False,nonsocial,mabe00,0,1,2.0
22,B,A,0,False,nonsocial,mabe00,1,1,2.0
84,B,A,0,False,nonsocial,mabe00,2,1,2.0
52,,B,0,False,nonsocial,mabe00,3,1,2.0
10,A,B,0,False,nonsocial,mabe00,0,2,2.0
52,B,B,1,True,nonsocial,mabe00,1,2,2.0
84,A,A,1,True,nonsocial,mabe00,2,2,2.0
22,A,A,0,True,nonsocial,mabe00,3,2,2.0
52,B,B,1,True,nonsocial,mabe00,0,3,2.0
22,B,A,0,False,nonsocial,mabe00,1,3,2.0
84,A,A,1,True,nonsocial,mabe00,2,3,2.0
10,B,B,1,True,nonsocial,mabe00,3,3,2.0
84,B,A,0,False,nonsocial,mabe00,0,4,2.0
22,A,A,1,True,nonsocial,mabe00,1,4,2.0
10,A,B,1,False,nonsocial,mabe00,2,4,2.0
52,A,B,0,False,nonsocial,mabe00,3,4,2.0
52,B,B,1,True,nonsocial,mabe00,0,5,2.0
10,B,B,0,True,nonsocial,mabe00,1,5,2.0
22,B,A,0,False,nonsocial,mabe00,2,5,2.0
84,A,A,1,True,nonsocial,mabe00,3,5,2.0
43,A,A,0,True,social,mabe00,0,0,3.0
85,B,B,1,True,social,mabe00,1,0,3.0
71,A,B,0,False,social,mabe00,2,0,3.0
61,A,A,1,True,social,mabe00,3,0,3.0
71,B,B,1,True,social,mabe00,0,1,3.0
43,B,A,0,False,social,mabe00,1,1,3.0
85,B,B,0,True,social,mabe00,2,1,3.0
61,A,A,1,True,social,mabe00,3,1,3.0
61,A,A,0,True,social,mabe00,0,2,3.0
71,B,B,1,True,social,mabe00,1,2,3.0
43,B,A,0,False,social,mabe00,2,2,3.0
85,B,B,1,True,social,mabe00,3,2,3.0
85,A,B,0,False,social,mabe00,0,3,3.0
61,B,A,0,False,social,mabe00,1,3,3.0
43,A,A,1,True,social,mabe00,2,3,3.0
71,A,B,0,False,social,mabe00,3,3,3.0
43,A,A,1,True,social,mabe00,0,4,3.0
61,B,A,0,False,social,mabe00,1,4,3.0
71,A,B,1,False,social,mabe00,2,4,3.0
85,,B,0,False,social,mabe00,3,4,3.0
43,B,A,1,False,social,mabe00,0,5,3.0
71,B,B,1,True,social,mabe00,1,5,3.0
61,A,A,1,True,social,mabe00,2,5,3.0
85,B,B,1,True,social,mabe00,3,5,3.0
