stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
20,A,0,social,mada01,0,0
14,B,1,social,mada01,1,0
52,A,1,social,mada01,2,0
38,B,1,social,mada01,3,0
14,A,0,social,mada01,0,1
52,B,0,social,mada01,1,1
38,B,1,social,mada01,2,1
20,A,1,social,mada01,3,1
38,B,1,social,mada01,0,2
52,B,0,social,mada01,1,2
14,A,0,social,mada01,2,2
20,A,1,social,mada01,3,2
52,B,0,social,mada01,0,3
38,B,1,social,mada01,1,3
20,A,1,social,mada01,2,3
14,A,1,social,mada01,3,3
38,B,1,social,mada01,0,4
14,A,0,social,mada01,1,4
20,A,1,social,mada01,2,4
52,A,1,social,mada01,3,4
14,B,1,social,mada01,0,5
38,B,1,social,mada01,1,5
52,A,1,social,mada01,2,5
20,A,0,social,mada01,3,5
27,A,1,nonsocial,mada01,0,0
53,B,0,nonsocial,mada01,1,0
95,B,1,nonsocial,mada01,2,0
99,A,1,nonsocial,mada01,3,0
95,B,1,nonsocial,mada01,0,1
27,A,0,nonsocial,mada01,1,1
53,A,0,nonsocial,mada01,2,1
99,A,1,nonsocial,mada01,3,1
27,B,0,nonsocial,mada01,0,2
53,A,0,nonsocial,mada01,1,2
99,A,1,nonsocial,mada01,2,2
95,B,1,nonsocial,mada01,3,2
99,A,1,nonsocial,mada01,0,3
27,A,1,nonsocial,mada01,1,3
95,B,1,nonsocial,mada01,2,3
53,B,0,nonsocial,mada01,3,3
53,B,0,nonsocial,mada01,0,4
99,A,0,nonsocial,mada01,1,4
27,A,1,nonsocial,mada01,2,4
95,B,1,nonsocial,mada01,3,4
53,B,1,nonsocial,mada01,0,5
99,A,1,nonsocial,mada01,1,5
27,A,1,nonsocial,mada01,2,5
95,B,1,nonsocial,mada01,3,5
14,A,0,social,mada01,0,0
52,A,1,social,mada01,1,0
38,B,1,social,mada01,2,0
20,A,1,social,mada01,3,0
38,B,1,social,mada01,0,1
14,A,0,social,mada01,1,1
52,B,0,social,mada01,2,1
20,A,1,social,mada01,3,1
38,B,1,social,mada01,0,2
52,A,1,social,mada01,1,2
20,A,1,social,mada01,2,2
14,B,1,social,mada01,3,2
14,B,1,social,mada01,0,3
52,A,1,social,mada01,1,3
38,B,1,social,mada01,2,3
20,A,1,social,mada01,3,3
38,B,1,social,mada01,0,4
14,B,1,social,mada01,1,4
52,A,0,social,mada01,2,4
20,A,1,social,mada01,3,4
52,A,1,social,mada01,0,5
38,B,0,social,mada01,1,5
14,B,1,social,mada01,2,5
20,A,1,social,mada01,3,5
99,A,1,nonsocial,mada01,0,0
27,B,0,nonsocial,mada01,1,0
53,B,1,nonsocial,mada01,2,0
95,B,1,nonsocial,mada01,3,0
53,B,1,nonsocial,mada01,0,1
27,A,0,nonsocial,mada01,1,1
99,A,1,nonsocial,mada01,2,1
95,B,1,nonsocial,mada01,3,1
27,A,0,nonsocial,mada01,0,2
53,B,1,nonsocial,mada01,1,2
99,A,1,nonsocial,mada01,2,2
95,B,1,nonsocial,mada01,3,2
53,A,0,nonsocial,mada01,0,3
27,B,0,nonsocial,mada01,1,3
95,B,1,nonsocial,mada01,2,3
99,A,0,nonsocial,mada01,3,3
27,A,1,nonsocial,mada01,0,4
99,A,0,nonsocial,mada01,1,4
95,B,1,nonsocial,mada01,2,4
53,B,1,nonsocial,mada01,3,4
53,B,1,nonsocial,mada01,0,5
95,B,1,nonsocial,mada01,1,5
99,A,1,nonsocial,mada01,2,5
27,A,1,nonsocial,mada01,3,5
