stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
48,A,A,1,True,nonsocial,male99,0,0,0.0
44,A,B,0,False,nonsocial,male99,1,0,0.0
70,A,B,0,False,nonsocial,male99,2,0,0.0
50,B,A,1,False,nonsocial,male99,3,0,0.0
70,B,B,0,True,nonsocial,male99,0,1,0.0
48,A,A,1,True,nonsocial,male99,1,1,0.0
50,A,A,1,True,nonsocial,male99,2,1,0.0
44,B,B,0,True,nonsocial,male99,3,1,0.0
44,A,B,1,False,nonsocial,male99,0,2,0.0
70,B,B,1,True,nonsocial,male99,1,2,0.0
48,A,A,1,True,nonsocial,male99,2,2,0.0
50,A,A,1,True,nonsocial,male99,3,2,0.0
50,B,A,0,False,nonsocial,male99,0,3,0.0
48,A,A,0,True,nonsocial,male99,1,3,0.0
44,B,B,1,True,nonsocial,male99,2,3,0.0
70,B,B,0,True,nonsocial,male99,3,3,0.0
44,B,B,1,True,nonsocial,male99,0,4,0.0
50,B,A,0,False,nonsocial,male99,1,4,0.0
48,B,A,0,False,nonsocial,male99,2,4,0.0
70,B,B,1,True,nonsocial,male99,3,4,0.0
48,A,A,1,True,nonsocial,male99,0,5,0.0
70,A,B,0,False,nonsocial,male99,1,5,0.0
44,B,B,1,True,nonsocial,male99,2,5,0.0
50,A,A,1,True,nonsocial,male99,3,5,0.0
89,B,B,1,True,social,male99,0,0,1.0
97,A,A,1,True,social,male99,1,0,1.0
45,B,B,1,True,social,male99,2,0,1.0
73,A,A,0,True,social,male99,3,0,1.0
89,B,B,1,True,social,male99,0,1,1.0
45,A,B,1,False,social,male99,1,1,1.0
73,A,A,1,True,social,male99,2,1,1.0
97,A,A,1,True,social,male99,3,1,1.0
89,B,B,1,True,social,male99,0,2,1.0
97,A,A,1,True,social,male99,1,2,1.0
73,B,A,0,False,social,male99,2,2,1.0
45,A,B,0,False,social,male99,3,2,1.0
45,A,B,0,False,social,male99,0,3,1.0
89,B,B,1,True,social,male99,1,3,1.0
97,A,A,1,True,social,male99,2,3,1.0
73,B,A,1,False,social,male99,3,3,1.0
89,A,B,1,False,social,male99,0,4,1.0
73,A,A,1,True,social,male99,1,4,1.0
45,A,B,0,False,social,male99,2,4,1.0
97,A,A,1,True,social,male99,3,4,1.0
89,A,B,0,False,social,male99,0,5,1.0
45,B,B,1,True,social,male99,1,5,1.0
73,B,A,1,False,social,male99,2,5,1.0
97,B,A,1,False,social,male99,3,5,1.0
44,B,B,1,True,nonsocial,male99,0,0,2.0
48,A,A,1,True,nonsocial,male99,1,0,2.0
70,B,B,1,True,nonsocial,male99,2,0,2.0
50,A,A,1,True,nonsocial,male99,3,0,2.0
48,A,A,1,True,nonsocial,male99,0,1,2.0
44,A,B,0,False,nonsocial,male99,1,1,2.0
70,B,B,1,True,nonsocial,male99,2,1,2.0
50,B,A,0,False,nonsocial,male99,3,1,2.0
70,A,B,0,False,nonsocial,male99,0,2,2.0
48,B,A,0,False,nonsocial,male99,1,2,2.0
44,B,B,1,True,nonsocial,male99,2,2,2.0
50,B,A,0,False,nonsocial,male99,3,2,2.0
50,A,A,0,True,nonsocial,male99,0,3,2.0
70,A,B,1,False,nonsocial,male99,1,3,2.0
44,A,B,0,False,nonsocial,male99,2,3,2.0
48,A,A,1,True,nonsocial,male99,3,3,2.0
44,B,B,1,True,nonsocial,male99,0,4,2.0
48,B,A,0,False,nonsocial,male99,1,4,2.0
70,A,B,0,False,nonsocial,male99,2,4,2.0
50,B,A,0,False,nonsocial,male99,3,4,2.0
70,B,B,1,True,nonsocial,male99,0,5,2.0
48,A,A,1,True,nonsocial,male99,1,5,2.0
50,A,A,1,True,nonsocial,male99,2,5,2.0
44,A,B,0,False,nonsocial,male99,3,5,2.0
97,A,A,1,True,social,male99,0,0,3.0
45,B,B,1,True,social,male99,1,0,3.0
73,B,A,0,False,social,male99,2,0,3.0
89,A,B,0,False,social,male99,3,0,3.0
73,B,A,0,False,social,male99,0,1,3.0
97,B,A,0,False,social,male99,1,1,3.0
89,A,B,0,False,social,male99,2,1,3.0
45,B,B,1,True,social,male99,3,1,3.0
97,A,A,1,True,social,male99,0,2,3.0
89,B,B,1,True,social,male99,1,2,3.0
45,A,B,0,False,social,male99,2,2,3.0
73,A,A,1,True,social,male99,3,2,3.0
73,A,A,1,True,social,male99,0,3,3.0
89,B,B,1,True,social,male99,1,3,3.0
97,A,A,1,True,social,male99,2,3,3.0
45,A,B,0,False,social,male99,3,3,3.0
45,A,B,0,False,social,male99,0,4,3.0
97,A,A,1,True,social,male99,1,4,3.0
73,A,A,1,True,social,male99,2,4,3.0
89,A,B,0,False,social,male99,3,4,3.0
97,B,A,1,False,social,male99,0,5,3.0
73,B,A,1,False,social,male99,1,5,3.0
89,A,B,0,False,social,male99,2,5,3.0
45,A,B,0,False,social,male99,3,5,3.0
