stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
40,A,B,0,False,nonsocial,matr95,0,0,0.0
46,B,B,1,True,nonsocial,matr95,1,0,0.0
60,B,A,0,False,nonsocial,matr95,2,0,0.0
96,A,A,1,True,nonsocial,matr95,3,0,0.0
40,A,B,0,False,nonsocial,matr95,0,1,0.0
46,B,B,0,True,nonsocial,matr95,1,1,0.0
96,A,A,1,True,nonsocial,matr95,2,1,0.0
60,A,A,1,True,nonsocial,matr95,3,1,0.0
96,A,A,1,True,nonsocial,matr95,0,2,0.0
46,A,B,0,False,nonsocial,matr95,1,2,0.0
60,A,A,1,True,nonsocial,matr95,2,2,0.0
40,A,B,1,False,nonsocial,matr95,3,2,0.0
46,A,B,0,False,nonsocial,matr95,0,3,0.0
40,A,B,0,False,nonsocial,matr95,1,3,0.0
60,A,A,1,True,nonsocial,matr95,2,3,0.0
96,A,A,1,True,nonsocial,matr95,3,3,0.0
60,A,A,1,True,nonsocial,matr95,0,4,0.0
96,A,A,1,True,nonsocial,matr95,1,4,0.0
40,A,B,0,False,nonsocial,matr95,2,4,0.0
46,A,B,0,False,nonsocial,matr95,3,4,0.0
46,B,B,1,True,nonsocial,matr95,0,5,0.0
40,B,B,1,True,nonsocial,matr95,1,5,0.0
60,B,A,0,False,nonsocial,matr95,2,5,0.0
96,B,A,0,False,nonsocial,matr95,3,5,0.0
43,A,A,0,True,social,matr95,0,0,1.0
73,A,B,1,False,social,matr95,1,0,1.0
91,A,A,1,True,social,matr95,2,0,1.0
75,B,B,1,True,social,matr95,3,0,1.0
43,A,A,1,True,social,matr95,0,1,1.0
91,A,A,1,True,social,matr95,1,1,1.0
75,A,B,0,False,social,matr95,2,1,1.0
73,A,B,0,False,social,matr95,3,1,1.0
75,A,B,0,False,social,matr95,0,2,1.0
91,A,A,1,True,social,matr95,1,2,1.0
73,B,B,1,True,social,matr95,2,2,1.0
43,B,A,1,False,social,matr95,3,2,1.0
73,B,B,1,True,social,matr95,0,3,1.0
43,B,A,0,False,social,matr95,1,3,1.0
75,B,B,1,True,social,matr95,2,3,1.0
91,B,A,0,False,social,matr95,3,3,1.0
91,B,A,1,False,social,matr95,0,4,1.0
43,A,A,1,True,social,matr95,1,4,1.0
75,A,B,0,False,social,matr95,2,4,1.0
73,B,B,1,True,social,matr95,3,4,1.0
43,A,A,0,True,social,matr95,0,5,1.0
75,A,B,0,False,social,matr95,1,5,1.0
73,B,B,0,True,social,matr95,2,5,1.0
91,A,A,1,True,social,matr95,3,5,1.0
46,B,B,1,True,nonsocial,matr95,0,0,2.0
60,B,A,0,False,nonsocial,matr95,1,0,2.0
96,A,A,1,True,nonsocial,matr95,2,0,2.0
40,A,B,0,False,nonsocial,matr95,3,0,2.0
46,B,B,1,True,nonsocial,matr95,0,1,2.0
40,B,B,1,True,nonsocial,matr95,1,1,2.0
96,A,A,0,True,nonsocial,matr95,2,1,2.0
60,B,A,1,False,nonsocial,matr95,3,1,2.0
46,A,B,0,False,nonsocial,matr95,0,2,2.0
96,A,A,1,True,nonsocial,matr95,1,2,2.0
60,A,A,0,True,nonsocial,matr95,2,2,2.0
40,A,B,0,False,nonsocial,matr95,3,2,2.0
40,B,B,1,True,nonsocial,matr95,0,3,2.0
96,B,A,0,False,nonsocial,matr95,1,3,2.0
60,A,A,1,True,nonsocial,matr95,2,3,2.0
46,B,B,1,True,nonsocial,matr95,3,3,2.0
46,B,B,0,True,nonsocial,matr95,0,4,2.0
40,B,B,1,True,nonsocial,matr95,1,4,2.0
96,B,A,1,False,nonsocial,matr95,2,4,2.0
60,B,A,0,False,nonsocial,matr95,3,4,2.0
40,B,B,1,True,nonsocial,matr95,0,5,2.0
60,B,A,0,False,nonsocial,matr95,1,5,2.0
96,A,A,1,True,nonsocial,matr95,2,5,2.0
46,B,B,1,True,nonsocial,matr95,3,5,2.0
75,B,B,0,True,social,matr95,0,0,3.0
43,B,A,0,False,social,matr95,1,0,3.0
73,B,B,0,True,social,matr95,2,0,3.0
91,B,A,1,False,social,matr95,3,0,3.0
73,A,B,0,False,social,matr95,0,1,3.0
75,A,B,0,False,social,matr95,1,1,3.0
91,A,A,1,True,social,matr95,2,1,3.0
43,A,A,1,True,social,matr95,3,1,3.0
91,A,A,1,True,social,matr95,0,2,3.0
75,B,B,0,True,social,matr95,1,2,3.0
43,B,A,0,False,social,matr95,2,2,3.0
73,B,B,1,True,social,matr95,3,2,3.0
73,A,B,1,False,social,matr95,0,3,3.0
75,B,B,1,True,social,matr95,1,3,3.0
43,A,A,0,True,social,matr95,2,3,3.0
91,B,A,1,False,social,matr95,3,3,3.0
73,B,B,1,True,social,matr95,0,4,3.0
43,B,A,0,False,social,matr95,1,4,3.0
75,A,B,0,False,social,matr95,2,4,3.0
91,B,A,0,False,social,matr95,3,4,3.0
43,B,A,0,False,social,matr95,0,5,3.0
75,A,B,0,False,social,matr95,1,5,3.0
91,B,A,0,False,social,matr95,2,5,3.0
73,A,B,0,False,social,matr95,3,5,3.0
