stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
96,B,1,social,mida99,0,0
80,A,0,social,mida99,1,0
46,A,1,social,mida99,2,0
72,B,0,social,mida99,3,0
80,,0,social,mida99,0,1
96,B,1,social,mida99,1,1
72,A,1,social,mida99,2,1
46,B,1,social,mida99,3,1
46,B,0,social,mida99,0,2
72,A,1,social,mida99,1,2
80,B,1,social,mida99,2,2
96,A,0,social,mida99,3,2
80,B,1,social,mida99,0,3
96,B,1,social,mida99,1,3
72,A,1,social,mida99,2,3
46,A,1,social,mida99,3,3
72,B,0,social,mida99,0,4
96,A,0,social,mida99,1,4
80,A,0,social,mida99,2,4
46,A,1,social,mida99,3,4
72,B,0,social,mida99,0,5
96,A,1,social,mida99,1,5
46,B,0,social,mida99,2,5
80,B,1,social,mida99,3,5
53,B,1,nonsocial,mida99,0,0
51,B,0,nonsocial,mida99,1,0
93,B,1,nonsocial,mida99,2,0
97,A,1,nonsocial,mida99,3,0
93,B,1,nonsocial,mida99,0,1
51,A,1,nonsocial,mida99,1,1
53,B,1,nonsocial,mida99,2,1
97,A,0,nonsocial,mida99,3,1
97,B,1,nonsocial,mida99,0,2
53,B,1,nonsocial,mida99,1,2
93,B,1,nonsocial,mida99,2,2
51,A,1,nonsocial,mida99,3,2
51,A,1,nonsocial,mida99,0,3
97,B,0,nonsocial,mida99,1,3
53,B,1,nonsocial,mida99,2,3
93,B,1,nonsocial,mida99,3,3
51,A,1,nonsocial,mida99,0,4
93,B,1,nonsocial,mida99,1,4
97,A,1,nonsocial,mida99,2,4
53,B,0,nonsocial,mida99,3,4
53,B,1,nonsocial,mida99,0,5
97,A,1,nonsocial,mida99,1,5
93,B,1,nonsocial,mida99,2,5
51,A,1,nonsocial,mida99,3,5
72,B,1,social,mida99,0,0
46,A,1,social,mida99,1,0
80,A,0,social,mida99,2,0
96,B,1,social,mida99,3,0
80,A,0,social,mida99,0,1
46,B,0,social,mida99,1,1
72,B,0,social,mida99,2,1
96,A,1,social,mida99,3,1
80,B,1,social,mida99,0,2
72,A,1,social,mida99,1,2
96,B,1,social,mida99,2,2
46,A,1,social,mida99,3,2
96,B,1,social,mida99,0,3
80,A,1,social,mida99,1,3
72,B,0,social,mida99,2,3
46,A,1,social,mida99,3,3
46,A,1,social,mida99,0,4
72,B,0,social,mida99,1,4
80,A,0,social,mida99,2,4
96,B,0,social,mida99,3,4
96,B,1,social,mida99,0,5
72,B,0,social,mida99,1,5
46,B,0,social,mida99,2,5
80,B,1,social,mida99,3,5
53,B,1,nonsocial,mida99,0,0
93,B,1,nonsocial,mida99,1,0
97,B,0,nonsocial,mida99,2,0
51,A,1,nonsocial,mida99,3,0
51,A,0,nonsocial,mida99,0,1
53,B,1,nonsocial,mida99,1,1
97,B,0,nonsocial,mida99,2,1
93,B,1,nonsocial,mida99,3,1
53,B,1,nonsocial,mida99,0,2
51,A,1,nonsocial,mida99,1,2
97,B,0,nonsocial,mida99,2,2
93,B,1,nonsocial,mida99,3,2
97,B,0,nonsocial,mida99,0,3
51,A,1,nonsocial,mida99,1,3
93,B,0,nonsocial,mida99,2,3
53,B,1,nonsocial,mida99,3,3
93,B,1,nonsocial,mida99,0,4
53,B,1,nonsocial,mida99,1,4
97,B,1,nonsocial,mida99,2,4
51,A,1,nonsocial,mida99,3,4
97,B,0,nonsocial,mida99,0,5
51,A,0,nonsocial,mida99,1,5
53,B,1,nonsocial,mida99,2,5
93,B,1,nonsocial,mida99,3,5
