stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
82,A,A,1,True,nonsocial,mike91,0,0,0.0
92,B,A,0,False,nonsocial,mike91,1,0,0.0
66,A,B,0,False,nonsocial,mike91,2,0,0.0
12,B,B,1,True,nonsocial,mike91,3,0,0.0
82,B,A,0,False,nonsocial,mike91,0,1,0.0
66,B,B,1,True,nonsocial,mike91,1,1,0.0
12,B,B,1,True,nonsocial,mike91,2,1,0.0
92,A,A,1,True,nonsocial,mike91,3,1,0.0
12,B,B,1,True,nonsocial,mike91,0,2,0.0
82,B,A,0,False,nonsocial,mike91,1,2,0.0
66,B,B,1,True,nonsocial,mike91,2,2,0.0
92,,A,0,False,nonsocial,mike91,3,2,0.0
66,B,B,0,True,nonsocial,mike91,0,3,0.0
92,A,A,1,True,nonsocial,mike91,1,3,0.0
12,B,B,1,True,nonsocial,mike91,2,3,0.0
82,B,A,1,False,nonsocial,mike91,3,3,0.0
82,B,A,1,False,nonsocial,mike91,0,4,0.0
66,B,B,1,True,nonsocial,mike91,1,4,0.0
12,B,B,1,True,nonsocial,mike91,2,4,0.0
92,A,A,1,True,nonsocial,mike91,3,4,0.0
92,A,A,1,True,nonsocial,mike91,0,5,0.0
12,B,B,0,True,nonsocial,mike91,1,5,0.0
82,A,A,1,True,nonsocial,mike91,2,5,0.0
66,B,B,1,True,nonsocial,mike91,3,5,0.0
59,B,B,1,True,social,mike91,0,0,1.0
17,B,B,1,True,social,mike91,1,0,1.0
11,B,A,1,False,social,mike91,2,0,1.0
65,A,A,1,True,social,mike91,3,0,1.0
59,B,B,1,True,social,mike91,0,1,1.0
11,B,A,0,False,social,mike91,1,1,1.0
17,B,B,1,True,social,mike91,2,1,1.0
65,A,A,1,True,social,mike91,3,1,1.0
11,B,A,0,False,social,mike91,0,2,1.0
59,B,B,1,True,social,mike91,1,2,1.0
65,B,A,0,False,social,mike91,2,2,1.0
17,B,B,1,True,social,mike91,3,2,1.0
17,B,B,1,True,social,mike91,0,3,1.0
65,B,A,0,False,social,mike91,1,3,1.0
11,B,A,0,False,social,mike91,2,3,1.0
59,A,B,0,False,social,mike91,3,3,1.0
65,B,A,0,False,social,mike91,0,4,1.0
11,B,A,0,False,social,mike91,1,4,1.0
59,A,B,0,False,social,mike91,2,4,1.0
17,B,B,1,True,social,mike91,3,4,1.0
17,B,B,0,True,social,mike91,0,5,1.0
59,A,B,0,False,social,mike91,1,5,1.0
11,B,A,0,False,social,mike91,2,5,1.0
65,A,A,1,True,social,mike91,3,5,1.0
12,A,B,1,False,nonsocial,mike91,0,0,2.0
92,A,A,1,True,nonsocial,mike91,1,0,2.0
82,A,A,1,True,nonsocial,mike91,2,0,2.0
66,A,B,0,False,nonsocial,mike91,3,0,2.0
66,B,B,1,True,nonsocial,mike91,0,1,2.0
92,A,A,1,True,nonsocial,mike91,1,1,2.0
12,A,B,0,False,nonsocial,mike91,2,1,2.0
82,B,A,1,False,nonsocial,mike91,3,1,2.0
12,B,B,0,True,nonsocial,mike91,0,2,2.0
66,B,B,1,True,nonsocial,mike91,1,2,2.0
82,A,A,1,True,nonsocial,mike91,2,2,2.0
92,B,A,0,False,nonsocial,mike91,3,2,2.0
66,B,B,0,True,nonsocial,mike91,0,3,2.0
12,B,B,1,True,nonsocial,mike91,1,3,2.0
82,A,A,1,True,nonsocial,mike91,2,3,2.0
92,B,A,0,False,nonsocial,mike91,3,3,2.0
66,B,B,1,True,nonsocial,mike91,0,4,2.0
92,A,A,0,True,nonsocial,mike91,1,4,2.0
12,B,B,1,True,nonsocial,mike91,2,4,2.0
82,A,A,1,True,nonsocial,mike91,3,4,2.0
66,B,B,1,True,nonsocial,mike91,0,5,2.0
82,A,A,1,True,nonsocial,mike91,1,5,2.0
92,B,A,0,False,nonsocial,mike91,2,5,2.0
12,B,B,0,True,nonsocial,mike91,3,5,2.0
17,A,B,0,False,social,mike91,0,0,3.0
59,A,B,0,False,social,mike91,1,0,3.0
11,A,A,1,True,social,mike91,2,0,3.0
65,A,A,1,True,social,mike91,3,0,3.0
59,B,B,1,True,social,mike91,0,1,3.0
11,A,A,1,True,social,mike91,1,1,3.0
17,B,B,1,True,social,mike91,2,1,3.0
65,A,A,1,True,social,mike91,3,1,3.0
17,B,B,1,True,social,mike91,0,2,3.0
59,B,B,1,True,social,mike91,1,2,3.0
65,A,A,1,True,social,mike91,2,2,3.0
11,A,A,1,True,social,mike91,3,2,3.0
65,A,A,1,True,social,mike91,0,3,3.0
59,B,B,0,True,social,mike91,1,3,3.0
11,A,A,1,True,social,mike91,2,3,3.0
17,B,B,1,True,social,mike91,3,3,3.0
65,A,A,1,True,social,mike91,0,4,3.0
17,B,B,1,True,social,mike91,1,4,3.0
11,A,A,1,True,social,mike91,2,4,3.0
59,B,B,0,True,social,mike91,3,4,3.0
59,A,B,0,False,social,mike91,0,5,3.0
65,B,A,0,False,social,mike91,1,5,3.0
11,A,A,1,True,social,mike91,2,5,3.0
17,B,B,0,True,social,mike91,3,5,3.0
