stim,ParticipantAnswer,Reward,BlockType,ParticipantID,TrialNumber,RunNumber
10,B,0,social,mipe92,0,0
74,B,0,social,mipe92,1,0
70,A,0,social,mipe92,2,0
86,B,1,social,mipe92,3,0
86,A,1,social,mipe92,0,1
10,B,0,social,mipe92,1,1
70,A,0,social,mipe92,2,1
74,A,1,social,mipe92,3,1
10,A,0,social,mipe92,0,2
70,A,0,social,mipe92,1,2
74,A,1,social,mipe92,2,2
86,A,0,social,mipe92,3,2
74,B,0,social,mipe92,0,3
86,A,0,social,mipe92,1,3
70,B,1,social,mipe92,2,3
10,B,1,social,mipe92,3,3
86,A,0,social,mipe92,0,4
74,A,1,social,mipe92,1,4
10,B,1,social,mipe92,2,4
70,B,1,social,mipe92,3,4
10,B,0,social,mipe92,0,5
70,B,1,social,mipe92,1,5
74,B,1,social,mipe92,2,5
86,B,1,social,mipe92,3,5
79,A,0,nonsocial,mipe92,0,0
31,A,0,nonsocial,mipe92,1,0
73,A,1,nonsocial,mipe92,2,0
19,A,1,nonsocial,mipe92,3,0
79,A,0,nonsocial,mipe92,0,1
73,A,1,nonsocial,mipe92,1,1
19,A,1,nonsocial,mipe92,2,1
31,B,1,nonsocial,mipe92,3,1
79,B,1,nonsocial,mipe92,0,2
31,B,1,nonsocial,mipe92,1,2
73,B,0,nonsocial,mipe92,2,2
19,B,0,nonsocial,mipe92,3,2
31,B,1,nonsocial,mipe92,0,3
79,A,0,nonsocial,mipe92,1,3
73,A,1,nonsocial,mipe92,2,3
19,B,1,nonsocial,mipe92,3,3
79,B,1,nonsocial,mipe92,0,4
19,A,1,nonsocial,mipe92,1,4
73,A,1,nonsocial,mipe92,2,4
31,B,1,nonsocial,mipe92,3,4
79,B,1,nonsocial,mipe92,0,5
73,A,1,nonsocial,mipe92,1,5
19,A,1,nonsocial,mipe92,2,5
31,B,1,nonsocial,mipe92,3,5
74,B,0,social,mipe92,0,0
70,B,1,social,mipe92,1,0
10,B,0,social,mipe92,2,0
86,B,0,social,mipe92,3,0
10,,0,social,mipe92,0,1
70,B,0,social,mipe92,1,1
74,B,0,social,mipe92,2,1
86,B,0,social,mipe92,3,1
70,A,1,social,mipe92,0,2
74,A,1,social,mipe92,1,2
10,A,1,social,mipe92,2,2
86,A,0,social,mipe92,3,2
86,A,0,social,mipe92,0,3
10,B,0,social,mipe92,1,3
70,B,1,social,mipe92,2,3
74,B,0,social,mipe92,3,3
10,A,1,social,mipe92,0,4
74,A,1,social,mipe92,1,4
86,A,0,social,mipe92,2,4
70,B,1,social,mipe92,3,4
10,A,0,social,mipe92,0,5
74,A,1,social,mipe92,1,5
86,B,1,social,mipe92,2,5
70,B,0,social,mipe92,3,5
31,B,0,nonsocial,mipe92,0,0
73,B,0,nonsocial,mipe92,1,0
79,B,1,nonsocial,mipe92,2,0
19,B,0,nonsocial,mipe92,3,0
31,A,0,nonsocial,mipe92,0,1
19,A,1,nonsocial,mipe92,1,1
73,A,1,nonsocial,mipe92,2,1
79,B,1,nonsocial,mipe92,3,1
73,A,1,nonsocial,mipe92,0,2
31,B,1,nonsocial,mipe92,1,2
19,A,1,nonsocial,mipe92,2,2
79,B,0,nonsocial,mipe92,3,2
79,B,1,nonsocial,mipe92,0,3
19,A,1,nonsocial,mipe92,1,3
31,B,1,nonsocial,mipe92,2,3
73,A,1,nonsocial,mipe92,3,3
73,A,1,nonsocial,mipe92,0,4
19,A,1,nonsocial,mipe92,1,4
79,B,1,nonsocial,mipe92,2,4
31,B,1,nonsocial,mipe92,3,4
31,B,1,nonsocial,mipe92,0,5
73,A,0,nonsocial,mipe92,1,5
79,B,0,nonsocial,mipe92,2,5
19,A,1,nonsocial,mipe92,3,5
