stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
90,B,B,1,True,nonsocial,mira97,0,0,0.0
60,B,B,1,True,nonsocial,mira97,1,0,0.0
36,B,A,0,False,nonsocial,mira97,2,0,0.0
10,B,A,1,False,nonsocial,mira97,3,0,0.0
36,B,A,1,False,nonsocial,mira97,0,1,0.0
60,B,B,1,True,nonsocial,mira97,1,1,0.0
10,B,A,0,False,nonsocial,mira97,2,1,0.0
90,A,B,0,False,nonsocial,mira97,3,1,0.0
10,A,A,1,True,nonsocial,mira97,0,2,0.0
60,B,B,1,True,nonsocial,mira97,1,2,0.0
90,B,B,1,True,nonsocial,mira97,2,2,0.0
36,A,A,0,True,nonsocial,mira97,3,2,0.0
60,B,B,1,True,nonsocial,mira97,0,3,0.0
10,B,A,1,False,nonsocial,mira97,1,3,0.0
90,B,B,1,True,nonsocial,mira97,2,3,0.0
36,B,A,0,False,nonsocial,mira97,3,3,0.0
36,A,A,1,True,nonsocial,mira97,0,4,0.0
60,B,B,1,True,nonsocial,mira97,1,4,0.0
10,B,A,0,False,nonsocial,mira97,2,4,0.0
90,B,B,1,True,nonsocial,mira97,3,4,0.0
60,B,B,1,True,nonsocial,mira97,0,5,0.0
90,B,B,1,True,nonsocial,mira97,1,5,0.0
36,A,A,1,True,nonsocial,mira97,2,5,0.0
10,A,A,1,True,nonsocial,mira97,3,5,0.0
73,A,A,1,True,social,mira97,0,0,1.0
87,A,B,0,False,social,mira97,1,0,1.0
37,A,B,0,False,social,mira97,2,0,1.0
21,A,A,1,True,social,mira97,3,0,1.0
87,B,B,1,True,social,mira97,0,1,1.0
73,A,A,1,True,social,mira97,1,1,1.0
21,A,A,1,True,social,mira97,2,1,1.0
37,B,B,1,True,social,mira97,3,1,1.0
73,A,A,1,True,social,mira97,0,2,1.0
37,B,B,1,True,social,mira97,1,2,1.0
21,A,A,1,True,social,mira97,2,2,1.0
87,B,B,1,True,social,mira97,3,2,1.0
73,A,A,1,True,social,mira97,0,3,1.0
87,B,B,1,True,social,mira97,1,3,1.0
37,B,B,1,True,social,mira97,2,3,1.0
21,A,A,1,True,social,mira97,3,3,1.0
37,B,B,0,True,social,mira97,0,4,1.0
73,A,A,1,True,social,mira97,1,4,1.0
21,A,A,1,True,social,mira97,2,4,1.0
87,B,B,1,True,social,mira97,3,4,1.0
37,B,B,1,True,social,mira97,0,5,1.0
73,A,A,1,True,social,mira97,1,5,1.0
87,B,B,1,True,social,mira97,2,5,1.0
21,A,A,1,True,social,mira97,3,5,1.0
10,B,A,0,False,nonsocial,mira97,0,0,2.0
60,B,B,1,True,nonsocial,mira97,1,0,2.0
36,B,A,0,False,nonsocial,mira97,2,0,2.0
90,B,B,1,True,nonsocial,mira97,3,0,2.0
90,B,B,1,True,nonsocial,mira97,0,1,2.0
60,B,B,1,True,nonsocial,mira97,1,1,2.0
10,A,A,1,True,nonsocial,mira97,2,1,2.0
36,A,A,1,True,nonsocial,mira97,3,1,2.0
90,B,B,1,True,nonsocial,mira97,0,2,2.0
60,B,B,0,True,nonsocial,mira97,1,2,2.0
36,A,A,1,True,nonsocial,mira97,2,2,2.0
10,A,A,1,True,nonsocial,mira97,3,2,2.0
90,B,B,1,True,nonsocial,mira97,0,3,2.0
60,B,B,1,True,nonsocial,mira97,1,3,2.0
36,A,A,1,True,nonsocial,mira97,2,3,2.0
10,A,A,1,True,nonsocial,mira97,3,3,2.0
10,A,A,1,True,nonsocial,mira97,0,4,2.0
36,A,A,1,True,nonsocial,mira97,1,4,2.0
60,B,B,1,True,nonsocial,mira97,2,4,2.0
90,B,B,0,True,nonsocial,mira97,3,4,2.0
60,B,B,1,True,nonsocial,mira97,0,5,2.0
10,A,A,1,True,nonsocial,mira97,1,5,2.0
90,B,B,0,True,nonsocial,mira97,2,5,2.0
36,A,A,0,True,nonsocial,mira97,3,5,2.0
87,B,B,1,True,social,mira97,0,0,3.0
21,A,A,1,True,social,mira97,1,0,3.0
73,B,A,0,False,social,mira97,2,0,3.0
37,A,B,1,False,social,mira97,3,0,3.0
37,A,B,0,False,social,mira97,0,1,3.0
87,B,B,0,True,social,mira97,1,1,3.0
21,A,A,0,True,social,mira97,2,1,3.0
73,A,A,0,True,social,mira97,3,1,3.0
21,A,A,1,True,social,mira97,0,2,3.0
87,B,B,1,True,social,mira97,1,2,3.0
37,B,B,1,True,social,mira97,2,2,3.0
73,A,A,1,True,social,mira97,3,2,3.0
73,A,A,1,True,social,mira97,0,3,3.0
21,A,A,1,True,social,mira97,1,3,3.0
87,B,B,1,True,social,mira97,2,3,3.0
37,B,B,1,True,social,mira97,3,3,3.0
87,B,B,0,True,social,mira97,0,4,3.0
37,B,B,1,True,social,mira97,1,4,3.0
73,A,A,0,True,social,mira97,2,4,3.0
21,A,A,0,True,social,mira97,3,4,3.0
73,A,A,0,True,social,mira97,0,5,3.0
21,A,A,1,True,social,mira97,1,5,3.0
37,B,B,1,True,social,mira97,2,5,3.0
87,B,B,0,True,social,mira97,3,5,3.0
