stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
82,A,B,0,False,nonsocial,niuz81,0,0,0.0
42,B,A,0,False,nonsocial,niuz81,1,0,0.0
58,B,B,1,True,nonsocial,niuz81,2,0,0.0
86,B,A,0,False,nonsocial,niuz81,3,0,0.0
58,B,B,1,True,nonsocial,niuz81,0,1,0.0
86,A,A,1,True,nonsocial,niuz81,1,1,0.0
42,A,A,1,True,nonsocial,niuz81,2,1,0.0
82,A,B,0,False,nonsocial,niuz81,3,1,0.0
82,B,B,1,True,nonsocial,niuz81,0,2,0.0
58,A,B,0,False,nonsocial,niuz81,1,2,0.0
86,A,A,1,True,nonsocial,niuz81,2,2,0.0
42,A,A,1,True,nonsocial,niuz81,3,2,0.0
86,A,A,1,True,nonsocial,niuz81,0,3,0.0
42,A,A,1,True,nonsocial,niuz81,1,3,0.0
82,A,B,0,False,nonsocial,niuz81,2,3,0.0
58,B,B,1,True,nonsocial,niuz81,3,3,0.0
58,B,B,1,True,nonsocial,niuz81,0,4,0.0
86,A,A,1,True,nonsocial,niuz81,1,4,0.0
42,A,A,1,True,nonsocial,niuz81,2,4,0.0
82,A,B,1,False,nonsocial,niuz81,3,4,0.0
86,B,A,1,False,nonsocial,niuz81,0,5,0.0
58,B,B,1,True,nonsocial,niuz81,1,5,0.0
42,A,A,1,True,nonsocial,niuz81,2,5,0.0
82,A,B,0,False,nonsocial,niuz81,3,5,0.0
89,A,B,0,False,social,niuz81,0,0,1.0
83,A,A,0,True,social,niuz81,1,0,1.0
71,B,A,0,False,social,niuz81,2,0,1.0
13,A,B,0,False,social,niuz81,3,0,1.0
89,B,B,1,True,social,niuz81,0,1,1.0
71,B,A,0,False,social,niuz81,1,1,1.0
13,A,B,0,False,social,niuz81,2,1,1.0
83,A,A,1,True,social,niuz81,3,1,1.0
89,A,B,0,False,social,niuz81,0,2,1.0
13,B,B,1,True,social,niuz81,1,2,1.0
71,A,A,1,True,social,niuz81,2,2,1.0
83,A,A,1,True,social,niuz81,3,2,1.0
13,A,B,1,False,social,niuz81,0,3,1.0
83,A,A,0,True,social,niuz81,1,3,1.0
89,A,B,0,False,social,niuz81,2,3,1.0
71,A,A,0,True,social,niuz81,3,3,1.0
89,A,B,0,False,social,niuz81,0,4,1.0
71,A,A,1,True,social,niuz81,1,4,1.0
83,A,A,1,True,social,niuz81,2,4,1.0
13,B,B,0,True,social,niuz81,3,4,1.0
71,B,A,0,False,social,niuz81,0,5,1.0
83,B,A,0,False,social,niuz81,1,5,1.0
89,A,B,0,False,social,niuz81,2,5,1.0
13,A,B,0,False,social,niuz81,3,5,1.0
42,A,A,1,True,nonsocial,niuz81,0,0,2.0
82,A,B,0,False,nonsocial,niuz81,1,0,2.0
58,A,B,1,False,nonsocial,niuz81,2,0,2.0
86,A,A,1,True,nonsocial,niuz81,3,0,2.0
58,B,B,1,True,nonsocial,niuz81,0,1,2.0
86,B,A,0,False,nonsocial,niuz81,1,1,2.0
82,A,B,0,False,nonsocial,niuz81,2,1,2.0
42,A,A,1,True,nonsocial,niuz81,3,1,2.0
86,B,A,0,False,nonsocial,niuz81,0,2,2.0
42,A,A,1,True,nonsocial,niuz81,1,2,2.0
82,A,B,0,False,nonsocial,niuz81,2,2,2.0
58,B,B,1,True,nonsocial,niuz81,3,2,2.0
42,B,A,1,False,nonsocial,niuz81,0,3,2.0
82,B,B,1,True,nonsocial,niuz81,1,3,2.0
86,B,A,0,False,nonsocial,niuz81,2,3,2.0
58,A,B,0,False,nonsocial,niuz81,3,3,2.0
58,A,B,0,False,nonsocial,niuz81,0,4,2.0
42,A,A,0,True,nonsocial,niuz81,1,4,2.0
82,A,B,0,False,nonsocial,niuz81,2,4,2.0
86,A,A,0,True,nonsocial,niuz81,3,4,2.0
82,A,B,0,False,nonsocial,niuz81,0,5,2.0
42,A,A,1,True,nonsocial,niuz81,1,5,2.0
86,A,A,1,True,nonsocial,niuz81,2,5,2.0
58,B,B,0,True,nonsocial,niuz81,3,5,2.0
13,B,B,1,True,social,niuz81,0,0,3.0
71,A,A,0,True,social,niuz81,1,0,3.0
89,B,B,1,True,social,niuz81,2,0,3.0
83,B,A,0,False,social,niuz81,3,0,3.0
13,B,B,1,True,social,niuz81,0,1,3.0
83,A,A,0,True,social,niuz81,1,1,3.0
71,A,A,1,True,social,niuz81,2,1,3.0
89,A,B,0,False,social,niuz81,3,1,3.0
71,A,A,1,True,social,niuz81,0,2,3.0
83,B,A,1,False,social,niuz81,1,2,3.0
13,A,B,0,False,social,niuz81,2,2,3.0
89,B,B,0,True,social,niuz81,3,2,3.0
89,A,B,0,False,social,niuz81,0,3,3.0
83,A,A,1,True,social,niuz81,1,3,3.0
71,A,A,1,True,social,niuz81,2,3,3.0
13,A,B,0,False,social,niuz81,3,3,3.0
71,A,A,0,True,social,niuz81,0,4,3.0
13,A,B,0,False,social,niuz81,1,4,3.0
83,A,A,1,True,social,niuz81,2,4,3.0
89,A,B,0,False,social,niuz81,3,4,3.0
13,A,B,0,False,social,niuz81,0,5,3.0
89,B,B,0,True,social,niuz81,1,5,3.0
83,B,A,1,False,social,niuz81,2,5,3.0
71,B,A,0,False,social,niuz81,3,5,3.0
