stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
14,B,A,0,False,nonsocial,nona99,0,0,0.0
36,A,B,0,False,nonsocial,nona99,1,0,0.0
64,A,A,0,True,nonsocial,nona99,2,0,0.0
90,A,B,0,False,nonsocial,nona99,3,0,0.0
64,A,A,1,True,nonsocial,nona99,0,1,0.0
36,B,B,1,True,nonsocial,nona99,1,1,0.0
14,A,A,1,True,nonsocial,nona99,2,1,0.0
90,B,B,1,True,nonsocial,nona99,3,1,0.0
36,B,B,1,True,nonsocial,nona99,0,2,0.0
90,A,B,0,False,nonsocial,nona99,1,2,0.0
14,A,A,0,True,nonsocial,nona99,2,2,0.0
64,A,A,0,True,nonsocial,nona99,3,2,0.0
64,B,A,1,False,nonsocial,nona99,0,3,0.0
90,A,B,0,False,nonsocial,nona99,1,3,0.0
36,B,B,1,True,nonsocial,nona99,2,3,0.0
14,B,A,0,False,nonsocial,nona99,3,3,0.0
14,B,A,0,False,nonsocial,nona99,0,4,0.0
90,B,B,1,True,nonsocial,nona99,1,4,0.0
64,A,A,1,True,nonsocial,nona99,2,4,0.0
36,A,B,0,False,nonsocial,nona99,3,4,0.0
90,A,B,0,False,nonsocial,nona99,0,5,0.0
64,A,A,1,True,nonsocial,nona99,1,5,0.0
14,A,A,1,True,nonsocial,nona99,2,5,0.0
36,A,B,0,False,nonsocial,nona99,3,5,0.0
87,A,B,0,False,social,nona99,0,0,1.0
17,A,B,0,False,social,nona99,1,0,1.0
53,A,A,1,True,social,nona99,2,0,1.0
73,A,A,1,True,social,nona99,3,0,1.0
17,A,B,0,False,social,nona99,0,1,1.0
73,A,A,1,True,social,nona99,1,1,1.0
53,A,A,1,True,social,nona99,2,1,1.0
87,B,B,1,True,social,nona99,3,1,1.0
17,B,B,1,True,social,nona99,0,2,1.0
53,A,A,1,True,social,nona99,1,2,1.0
73,B,A,0,False,social,nona99,2,2,1.0
87,A,B,0,False,social,nona99,3,2,1.0
53,B,A,0,False,social,nona99,0,3,1.0
73,A,A,1,True,social,nona99,1,3,1.0
87,B,B,1,True,social,nona99,2,3,1.0
17,B,B,1,True,social,nona99,3,3,1.0
53,B,A,0,False,social,nona99,0,4,1.0
73,A,A,1,True,social,nona99,1,4,1.0
87,B,B,0,True,social,nona99,2,4,1.0
17,B,B,1,True,social,nona99,3,4,1.0
87,B,B,1,True,social,nona99,0,5,1.0
17,B,B,1,True,social,nona99,1,5,1.0
73,A,A,1,True,social,nona99,2,5,1.0
53,A,A,0,True,social,nona99,3,5,1.0
64,B,A,0,False,nonsocial,nona99,0,0,2.0
14,A,A,0,True,nonsocial,nona99,1,0,2.0
90,A,B,0,False,nonsocial,nona99,2,0,2.0
36,A,B,0,False,nonsocial,nona99,3,0,2.0
36,B,B,1,True,nonsocial,nona99,0,1,2.0
14,B,A,0,False,nonsocial,nona99,1,1,2.0
64,A,A,0,True,nonsocial,nona99,2,1,2.0
90,B,B,1,True,nonsocial,nona99,3,1,2.0
90,B,B,0,True,nonsocial,nona99,0,2,2.0
36,A,B,0,False,nonsocial,nona99,1,2,2.0
14,A,A,1,True,nonsocial,nona99,2,2,2.0
64,A,A,1,True,nonsocial,nona99,3,2,2.0
90,B,B,1,True,nonsocial,nona99,0,3,2.0
14,A,A,1,True,nonsocial,nona99,1,3,2.0
64,A,A,0,True,nonsocial,nona99,2,3,2.0
36,B,B,1,True,nonsocial,nona99,3,3,2.0
36,B,B,1,True,nonsocial,nona99,0,4,2.0
64,A,A,1,True,nonsocial,nona99,1,4,2.0
90,B,B,1,True,nonsocial,nona99,2,4,2.0
14,A,A,1,True,nonsocial,nona99,3,4,2.0
64,A,A,1,True,nonsocial,nona99,0,5,2.0
14,A,A,1,True,nonsocial,nona99,1,5,2.0
36,B,B,1,True,nonsocial,nona99,2,5,2.0
90,B,B,1,True,nonsocial,nona99,3,5,2.0
73,B,A,0,False,social,nona99,0,0,3.0
87,B,B,1,True,social,nona99,1,0,3.0
53,A,A,1,True,social,nona99,2,0,3.0
17,A,B,0,False,social,nona99,3,0,3.0
17,B,B,0,True,social,nona99,0,1,3.0
53,A,A,1,True,social,nona99,1,1,3.0
87,B,B,1,True,social,nona99,2,1,3.0
73,B,A,0,False,social,nona99,3,1,3.0
53,A,A,1,True,social,nona99,0,2,3.0
87,B,B,1,True,social,nona99,1,2,3.0
17,B,B,1,True,social,nona99,2,2,3.0
73,A,A,1,True,social,nona99,3,2,3.0
87,B,B,1,True,social,nona99,0,3,3.0
73,A,A,1,True,social,nona99,1,3,3.0
17,A,B,1,False,social,nona99,2,3,3.0
53,B,A,0,False,social,nona99,3,3,3.0
53,A,A,1,True,social,nona99,0,4,3.0
73,A,A,1,True,social,nona99,1,4,3.0
17,B,B,1,True,social,nona99,2,4,3.0
87,B,B,0,True,social,nona99,3,4,3.0
73,A,A,1,True,social,nona99,0,5,3.0
53,A,A,1,True,social,nona99,1,5,3.0
87,B,B,1,True,social,nona99,2,5,3.0
17,A,B,0,False,social,nona99,3,5,3.0
