stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
78,A,B,0,False,nonsocial,olka98,0,0,0.0
18,A,A,1,True,nonsocial,olka98,1,0,0.0
38,B,B,1,True,nonsocial,olka98,2,0,0.0
86,A,A,1,True,nonsocial,olka98,3,0,0.0
38,B,B,1,True,nonsocial,olka98,0,1,0.0
18,B,A,1,False,nonsocial,olka98,1,1,0.0
78,A,B,0,False,nonsocial,olka98,2,1,0.0
86,A,A,0,True,nonsocial,olka98,3,1,0.0
18,B,A,0,False,nonsocial,olka98,0,2,0.0
78,A,B,0,False,nonsocial,olka98,1,2,0.0
38,B,B,1,True,nonsocial,olka98,2,2,0.0
86,B,A,1,False,nonsocial,olka98,3,2,0.0
18,B,A,1,False,nonsocial,olka98,0,3,0.0
38,B,B,1,True,nonsocial,olka98,1,3,0.0
78,B,B,1,True,nonsocial,olka98,2,3,0.0
86,B,A,1,False,nonsocial,olka98,3,3,0.0
38,B,B,1,True,nonsocial,olka98,0,4,0.0
78,B,B,1,True,nonsocial,olka98,1,4,0.0
18,B,A,0,False,nonsocial,olka98,2,4,0.0
86,B,A,0,False,nonsocial,olka98,3,4,0.0
38,B,B,1,True,nonsocial,olka98,0,5,0.0
86,B,A,0,False,nonsocial,olka98,1,5,0.0
18,A,A,1,True,nonsocial,olka98,2,5,0.0
78,B,B,1,True,nonsocial,olka98,3,5,0.0
51,A,A,1,True,social,olka98,0,0,1.0
39,B,B,1,True,social,olka98,1,0,1.0
41,A,B,0,False,social,olka98,2,0,1.0
87,A,A,1,True,social,olka98,3,0,1.0
41,A,B,0,False,social,olka98,0,1,1.0
39,A,B,0,False,social,olka98,1,1,1.0
87,A,A,1,True,social,olka98,2,1,1.0
51,B,A,0,False,social,olka98,3,1,1.0
39,A,B,0,False,social,olka98,0,2,1.0
87,A,A,1,True,social,olka98,1,2,1.0
41,B,B,1,True,social,olka98,2,2,1.0
51,A,A,1,True,social,olka98,3,2,1.0
51,A,A,1,True,social,olka98,0,3,1.0
87,B,A,0,False,social,olka98,1,3,1.0
39,B,B,1,True,social,olka98,2,3,1.0
41,A,B,0,False,social,olka98,3,3,1.0
87,A,A,0,True,social,olka98,0,4,1.0
51,A,A,0,True,social,olka98,1,4,1.0
39,B,B,1,True,social,olka98,2,4,1.0
41,A,B,0,False,social,olka98,3,4,1.0
87,A,A,1,True,social,olka98,0,5,1.0
41,B,B,1,True,social,olka98,1,5,1.0
39,A,B,0,False,social,olka98,2,5,1.0
51,A,A,1,True,social,olka98,3,5,1.0
78,A,B,0,False,nonsocial,olka98,0,0,2.0
86,A,A,1,True,nonsocial,olka98,1,0,2.0
18,B,A,0,False,nonsocial,olka98,2,0,2.0
38,B,B,1,True,nonsocial,olka98,3,0,2.0
38,B,B,1,True,nonsocial,olka98,0,1,2.0
78,A,B,0,False,nonsocial,olka98,1,1,2.0
18,B,A,1,False,nonsocial,olka98,2,1,2.0
86,A,A,1,True,nonsocial,olka98,3,1,2.0
18,B,A,0,False,nonsocial,olka98,0,2,2.0
78,A,B,0,False,nonsocial,olka98,1,2,2.0
86,A,A,1,True,nonsocial,olka98,2,2,2.0
38,B,B,1,True,nonsocial,olka98,3,2,2.0
18,A,A,0,True,nonsocial,olka98,0,3,2.0
78,B,B,0,True,nonsocial,olka98,1,3,2.0
38,A,B,0,False,nonsocial,olka98,2,3,2.0
86,B,A,0,False,nonsocial,olka98,3,3,2.0
18,A,A,1,True,nonsocial,olka98,0,4,2.0
86,B,A,1,False,nonsocial,olka98,1,4,2.0
78,A,B,0,False,nonsocial,olka98,2,4,2.0
38,B,B,1,True,nonsocial,olka98,3,4,2.0
86,B,A,0,False,nonsocial,olka98,0,5,2.0
78,A,B,1,False,nonsocial,olka98,1,5,2.0
18,B,A,0,False,nonsocial,olka98,2,5,2.0
38,B,B,0,True,nonsocial,olka98,3,5,2.0
41,A,B,0,False,social,olka98,0,0,3.0
51,B,A,0,False,social,olka98,1,0,3.0
39,B,B,1,True,social,olka98,2,0,3.0
87,A,A,1,True,social,olka98,3,0,3.0
51,A,A,1,True,social,olka98,0,1,3.0
39,B,B,1,True,social,olka98,1,1,3.0
41,B,B,1,True,social,olka98,2,1,3.0
87,A,A,0,True,social,olka98,3,1,3.0
51,A,A,1,True,social,olka98,0,2,3.0
39,B,B,1,True,social,olka98,1,2,3.0
87,A,A,1,True,social,olka98,2,2,3.0
41,B,B,1,True,social,olka98,3,2,3.0
39,A,B,0,False,social,olka98,0,3,3.0
41,A,B,0,False,social,olka98,1,3,3.0
87,A,A,1,True,social,olka98,2,3,3.0
51,A,A,1,True,social,olka98,3,3,3.0
39,A,B,0,False,social,olka98,0,4,3.0
87,A,A,1,True,social,olka98,1,4,3.0
51,A,A,1,True,social,olka98,2,4,3.0
41,A,B,0,False,social,olka98,3,4,3.0
41,B,B,1,True,social,olka98,0,5,3.0
39,B,B,0,True,social,olka98,1,5,3.0
51,A,A,0,True,social,olka98,2,5,3.0
87,A,A,1,True,social,olka98,3,5,3.0
