stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
56,B,B,1,True,nonsocial,pada94,0,0,0.0
76,A,A,1,True,nonsocial,pada94,1,0,0.0
46,A,A,0,True,nonsocial,pada94,2,0,0.0
16,B,B,0,True,nonsocial,pada94,3,0,0.0
16,A,B,0,False,nonsocial,pada94,0,1,0.0
56,A,B,1,False,nonsocial,pada94,1,1,0.0
76,A,A,1,True,nonsocial,pada94,2,1,0.0
46,B,A,0,False,nonsocial,pada94,3,1,0.0
16,B,B,1,True,nonsocial,pada94,0,2,0.0
76,A,A,1,True,nonsocial,pada94,1,2,0.0
46,B,A,1,False,nonsocial,pada94,2,2,0.0
56,A,B,0,False,nonsocial,pada94,3,2,0.0
76,A,A,1,True,nonsocial,pada94,0,3,0.0
16,B,B,0,True,nonsocial,pada94,1,3,0.0
56,A,B,1,False,nonsocial,pada94,2,3,0.0
46,B,A,0,False,nonsocial,pada94,3,3,0.0
46,,A,0,False,nonsocial,pada94,0,4,0.0
56,B,B,1,True,nonsocial,pada94,1,4,0.0
76,B,A,0,False,nonsocial,pada94,2,4,0.0
16,A,B,0,False,nonsocial,pada94,3,4,0.0
76,A,A,1,True,nonsocial,pada94,0,5,0.0
16,B,B,1,True,nonsocial,pada94,1,5,0.0
46,A,A,0,True,nonsocial,pada94,2,5,0.0
56,B,B,1,True,nonsocial,pada94,3,5,0.0
23,A,A,1,True,social,pada94,0,0,1.0
93,B,B,1,True,social,pada94,1,0,1.0
13,A,A,0,True,social,pada94,2,0,1.0
71,B,B,1,True,social,pada94,3,0,1.0
13,B,A,0,False,social,pada94,0,1,1.0
71,B,B,1,True,social,pada94,1,1,1.0
93,B,B,0,True,social,pada94,2,1,1.0
23,A,A,1,True,social,pada94,3,1,1.0
23,A,A,0,True,social,pada94,0,2,1.0
13,B,A,0,False,social,pada94,1,2,1.0
93,B,B,1,True,social,pada94,2,2,1.0
71,A,B,0,False,social,pada94,3,2,1.0
71,B,B,0,True,social,pada94,0,3,1.0
93,B,B,1,True,social,pada94,1,3,1.0
13,A,A,0,True,social,pada94,2,3,1.0
23,A,A,1,True,social,pada94,3,3,1.0
71,B,B,1,True,social,pada94,0,4,1.0
93,B,B,0,True,social,pada94,1,4,1.0
23,A,A,1,True,social,pada94,2,4,1.0
13,B,A,0,False,social,pada94,3,4,1.0
23,A,A,1,True,social,pada94,0,5,1.0
71,B,B,0,True,social,pada94,1,5,1.0
93,B,B,1,True,social,pada94,2,5,1.0
13,A,A,1,True,social,pada94,3,5,1.0
46,A,A,1,True,nonsocial,pada94,0,0,2.0
76,B,A,0,False,nonsocial,pada94,1,0,2.0
56,A,B,0,False,nonsocial,pada94,2,0,2.0
16,A,B,0,False,nonsocial,pada94,3,0,2.0
46,A,A,1,True,nonsocial,pada94,0,1,2.0
16,B,B,1,True,nonsocial,pada94,1,1,2.0
76,A,A,0,True,nonsocial,pada94,2,1,2.0
56,B,B,1,True,nonsocial,pada94,3,1,2.0
16,B,B,1,True,nonsocial,pada94,0,2,2.0
76,A,A,1,True,nonsocial,pada94,1,2,2.0
56,B,B,1,True,nonsocial,pada94,2,2,2.0
46,A,A,1,True,nonsocial,pada94,3,2,2.0
46,A,A,1,True,nonsocial,pada94,0,3,2.0
56,B,B,0,True,nonsocial,pada94,1,3,2.0
76,A,A,1,True,nonsocial,pada94,2,3,2.0
16,B,B,1,True,nonsocial,pada94,3,3,2.0
56,A,B,0,False,nonsocial,pada94,0,4,2.0
76,A,A,1,True,nonsocial,pada94,1,4,2.0
46,A,A,1,True,nonsocial,pada94,2,4,2.0
16,B,B,1,True,nonsocial,pada94,3,4,2.0
76,A,A,1,True,nonsocial,pada94,0,5,2.0
46,A,A,1,True,nonsocial,pada94,1,5,2.0
56,A,B,0,False,nonsocial,pada94,2,5,2.0
16,B,B,1,True,nonsocial,pada94,3,5,2.0
23,A,A,1,True,social,pada94,0,0,3.0
93,B,B,1,True,social,pada94,1,0,3.0
71,B,B,0,True,social,pada94,2,0,3.0
13,B,A,0,False,social,pada94,3,0,3.0
93,B,B,1,True,social,pada94,0,1,3.0
13,A,A,1,True,social,pada94,1,1,3.0
23,A,A,1,True,social,pada94,2,1,3.0
71,A,B,0,False,social,pada94,3,1,3.0
93,B,B,1,True,social,pada94,0,2,3.0
71,A,B,0,False,social,pada94,1,2,3.0
13,A,A,1,True,social,pada94,2,2,3.0
23,A,A,1,True,social,pada94,3,2,3.0
13,A,A,1,True,social,pada94,0,3,3.0
93,B,B,1,True,social,pada94,1,3,3.0
23,A,A,1,True,social,pada94,2,3,3.0
71,A,B,0,False,social,pada94,3,3,3.0
23,A,A,0,True,social,pada94,0,4,3.0
93,B,B,1,True,social,pada94,1,4,3.0
71,B,B,1,True,social,pada94,2,4,3.0
13,A,A,1,True,social,pada94,3,4,3.0
13,A,A,1,True,social,pada94,0,5,3.0
23,A,A,1,True,social,pada94,1,5,3.0
71,B,B,1,True,social,pada94,2,5,3.0
93,B,B,1,True,social,pada94,3,5,3.0
