stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
70,B,A,0,False,social,sasu98,0,0,0.0
50,A,A,1,True,social,sasu98,1,0,0.0
24,B,B,1,True,social,sasu98,2,0,0.0
98,B,B,1,True,social,sasu98,3,0,0.0
98,A,B,0,False,social,sasu98,0,1,0.0
70,A,A,0,True,social,sasu98,1,1,0.0
50,B,A,0,False,social,sasu98,2,1,0.0
24,B,B,1,True,social,sasu98,3,1,0.0
24,B,B,1,True,social,sasu98,0,2,0.0
70,A,A,1,True,social,sasu98,1,2,0.0
50,B,A,0,False,social,sasu98,2,2,0.0
98,A,B,0,False,social,sasu98,3,2,0.0
24,B,B,1,True,social,sasu98,0,3,0.0
70,A,A,1,True,social,sasu98,1,3,0.0
50,B,A,1,False,social,sasu98,2,3,0.0
98,A,B,0,False,social,sasu98,3,3,0.0
70,B,A,0,False,social,sasu98,0,4,0.0
98,A,B,0,False,social,sasu98,1,4,0.0
50,B,A,0,False,social,sasu98,2,4,0.0
24,,B,0,False,social,sasu98,3,4,0.0
98,A,B,0,False,social,sasu98,0,5,0.0
50,A,A,1,True,social,sasu98,1,5,0.0
24,B,B,1,True,social,sasu98,2,5,0.0
70,A,A,1,True,social,sasu98,3,5,0.0
61,B,A,1,False,nonsocial,sasu98,0,0,1.0
19,B,A,0,False,nonsocial,sasu98,1,0,1.0
51,A,B,0,False,nonsocial,sasu98,2,0,1.0
27,B,B,1,True,nonsocial,sasu98,3,0,1.0
27,B,B,1,True,nonsocial,sasu98,0,1,1.0
19,B,A,0,False,nonsocial,sasu98,1,1,1.0
61,A,A,0,True,nonsocial,sasu98,2,1,1.0
51,B,B,1,True,nonsocial,sasu98,3,1,1.0
19,A,A,1,True,nonsocial,sasu98,0,2,1.0
61,B,A,0,False,nonsocial,sasu98,1,2,1.0
27,A,B,0,False,nonsocial,sasu98,2,2,1.0
51,B,B,1,True,nonsocial,sasu98,3,2,1.0
51,A,B,0,False,nonsocial,sasu98,0,3,1.0
61,A,A,1,True,nonsocial,sasu98,1,3,1.0
27,B,B,1,True,nonsocial,sasu98,2,3,1.0
19,A,A,1,True,nonsocial,sasu98,3,3,1.0
19,A,A,1,True,nonsocial,sasu98,0,4,1.0
27,B,B,1,True,nonsocial,sasu98,1,4,1.0
51,B,B,1,True,nonsocial,sasu98,2,4,1.0
61,A,A,0,True,nonsocial,sasu98,3,4,1.0
61,B,A,0,False,nonsocial,sasu98,0,5,1.0
51,B,B,1,True,nonsocial,sasu98,1,5,1.0
19,A,A,1,True,nonsocial,sasu98,2,5,1.0
27,B,B,1,True,nonsocial,sasu98,3,5,1.0
24,B,B,1,True,social,sasu98,0,0,2.0
50,A,A,1,True,social,sasu98,1,0,2.0
98,B,B,1,True,social,sasu98,2,0,2.0
70,B,A,0,False,social,sasu98,3,0,2.0
24,A,B,0,False,social,sasu98,0,1,2.0
98,B,B,0,True,social,sasu98,1,1,2.0
50,A,A,1,True,social,sasu98,2,1,2.0
70,B,A,0,False,social,sasu98,3,1,2.0
70,A,A,1,True,social,sasu98,0,2,2.0
24,A,B,0,False,social,sasu98,1,2,2.0
98,B,B,1,True,social,sasu98,2,2,2.0
50,A,A,1,True,social,sasu98,3,2,2.0
98,A,B,0,False,social,sasu98,0,3,2.0
24,A,B,0,False,social,sasu98,1,3,2.0
70,B,A,0,False,social,sasu98,2,3,2.0
50,A,A,1,True,social,sasu98,3,3,2.0
98,B,B,1,True,social,sasu98,0,4,2.0
70,A,A,1,True,social,sasu98,1,4,2.0
24,B,B,1,True,social,sasu98,2,4,2.0
50,A,A,1,True,social,sasu98,3,4,2.0
50,A,A,1,True,social,sasu98,0,5,2.0
98,B,B,1,True,social,sasu98,1,5,2.0
24,A,B,0,False,social,sasu98,2,5,2.0
70,B,A,0,False,social,sasu98,3,5,2.0
61,A,A,1,True,nonsocial,sasu98,0,0,3.0
27,B,B,0,True,nonsocial,sasu98,1,0,3.0
19,A,A,1,True,nonsocial,sasu98,2,0,3.0
51,B,B,0,True,nonsocial,sasu98,3,0,3.0
61,A,A,1,True,nonsocial,sasu98,0,1,3.0
51,A,B,0,False,nonsocial,sasu98,1,1,3.0
27,B,B,1,True,nonsocial,sasu98,2,1,3.0
19,B,A,1,False,nonsocial,sasu98,3,1,3.0
61,A,A,1,True,nonsocial,sasu98,0,2,3.0
27,B,B,1,True,nonsocial,sasu98,1,2,3.0
51,A,B,0,False,nonsocial,sasu98,2,2,3.0
19,B,A,0,False,nonsocial,sasu98,3,2,3.0
51,B,B,1,True,nonsocial,sasu98,0,3,3.0
19,B,A,0,False,nonsocial,sasu98,1,3,3.0
61,A,A,1,True,nonsocial,sasu98,2,3,3.0
27,B,B,0,True,nonsocial,sasu98,3,3,3.0
51,B,B,0,True,nonsocial,sasu98,0,4,3.0
27,B,B,1,True,nonsocial,sasu98,1,4,3.0
19,A,A,1,True,nonsocial,sasu98,2,4,3.0
61,A,A,1,True,nonsocial,sasu98,3,4,3.0
27,A,B,0,False,nonsocial,sasu98,0,5,3.0
51,A,B,0,False,nonsocial,sasu98,1,5,3.0
19,A,A,1,True,nonsocial,sasu98,2,5,3.0
61,A,A,1,True,nonsocial,sasu98,3,5,3.0
