stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
64,B,A,0,False,nonsocial,supu93,0,0,0.0
50,B,A,0,False,nonsocial,supu93,1,0,0.0
86,A,B,0,False,nonsocial,supu93,2,0,0.0
98,B,B,1,True,nonsocial,supu93,3,0,0.0
86,B,B,1,True,nonsocial,supu93,0,1,0.0
64,A,A,1,True,nonsocial,supu93,1,1,0.0
50,A,A,1,True,nonsocial,supu93,2,1,0.0
98,B,B,1,True,nonsocial,supu93,3,1,0.0
64,B,A,0,False,nonsocial,supu93,0,2,0.0
86,B,B,1,True,nonsocial,supu93,1,2,0.0
98,B,B,1,True,nonsocial,supu93,2,2,0.0
50,A,A,1,True,nonsocial,supu93,3,2,0.0
98,B,B,1,True,nonsocial,supu93,0,3,0.0
50,A,A,1,True,nonsocial,supu93,1,3,0.0
86,B,B,0,True,nonsocial,supu93,2,3,0.0
64,A,A,1,True,nonsocial,supu93,3,3,0.0
86,A,B,0,False,nonsocial,supu93,0,4,0.0
50,A,A,1,True,nonsocial,supu93,1,4,0.0
98,B,B,1,True,nonsocial,supu93,2,4,0.0
64,A,A,1,True,nonsocial,supu93,3,4,0.0
64,A,A,0,True,nonsocial,supu93,0,5,0.0
86,B,B,1,True,nonsocial,supu93,1,5,0.0
50,A,A,1,True,nonsocial,supu93,2,5,0.0
98,B,B,1,True,nonsocial,supu93,3,5,0.0
47,A,B,1,False,social,supu93,0,0,1.0
61,B,B,1,True,social,supu93,1,0,1.0
57,B,A,0,False,social,supu93,2,0,1.0
43,A,A,1,True,social,supu93,3,0,1.0
47,A,B,0,False,social,supu93,0,1,1.0
57,A,A,1,True,social,supu93,1,1,1.0
61,B,B,1,True,social,supu93,2,1,1.0
43,A,A,1,True,social,supu93,3,1,1.0
57,B,A,0,False,social,supu93,0,2,1.0
61,B,B,1,True,social,supu93,1,2,1.0
43,A,A,1,True,social,supu93,2,2,1.0
47,A,B,0,False,social,supu93,3,2,1.0
43,B,A,0,False,social,supu93,0,3,1.0
47,A,B,0,False,social,supu93,1,3,1.0
61,A,B,0,False,social,supu93,2,3,1.0
57,B,A,0,False,social,supu93,3,3,1.0
43,A,A,1,True,social,supu93,0,4,1.0
61,B,B,1,True,social,supu93,1,4,1.0
57,B,A,0,False,social,supu93,2,4,1.0
47,A,B,0,False,social,supu93,3,4,1.0
61,B,B,1,True,social,supu93,0,5,1.0
43,B,A,0,False,social,supu93,1,5,1.0
57,B,A,0,False,social,supu93,2,5,1.0
47,A,B,0,False,social,supu93,3,5,1.0
64,B,A,0,False,nonsocial,supu93,0,0,2.0
50,A,A,1,True,nonsocial,supu93,1,0,2.0
98,B,B,1,True,nonsocial,supu93,2,0,2.0
86,B,B,1,True,nonsocial,supu93,3,0,2.0
64,A,A,1,True,nonsocial,supu93,0,1,2.0
50,A,A,1,True,nonsocial,supu93,1,1,2.0
86,B,B,1,True,nonsocial,supu93,2,1,2.0
98,B,B,0,True,nonsocial,supu93,3,1,2.0
64,A,A,1,True,nonsocial,supu93,0,2,2.0
86,B,B,1,True,nonsocial,supu93,1,2,2.0
50,A,A,1,True,nonsocial,supu93,2,2,2.0
98,B,B,1,True,nonsocial,supu93,3,2,2.0
50,A,A,1,True,nonsocial,supu93,0,3,2.0
64,B,A,0,False,nonsocial,supu93,1,3,2.0
86,B,B,1,True,nonsocial,supu93,2,3,2.0
98,B,B,1,True,nonsocial,supu93,3,3,2.0
64,A,A,0,True,nonsocial,supu93,0,4,2.0
86,B,B,1,True,nonsocial,supu93,1,4,2.0
98,B,B,1,True,nonsocial,supu93,2,4,2.0
50,A,A,1,True,nonsocial,supu93,3,4,2.0
50,A,A,0,True,nonsocial,supu93,0,5,2.0
98,B,B,0,True,nonsocial,supu93,1,5,2.0
86,B,B,1,True,nonsocial,supu93,2,5,2.0
64,A,A,1,True,nonsocial,supu93,3,5,2.0
43,B,A,1,False,social,supu93,0,0,3.0
61,A,B,0,False,social,supu93,1,0,3.0
47,A,B,0,False,social,supu93,2,0,3.0
57,B,A,0,False,social,supu93,3,0,3.0
43,B,A,0,False,social,supu93,0,1,3.0
47,B,B,1,True,social,supu93,1,1,3.0
61,B,B,1,True,social,supu93,2,1,3.0
57,A,A,1,True,social,supu93,3,1,3.0
57,A,A,1,True,social,supu93,0,2,3.0
61,B,B,1,True,social,supu93,1,2,3.0
47,B,B,1,True,social,supu93,2,2,3.0
43,B,A,0,False,social,supu93,3,2,3.0
43,A,A,1,True,social,supu93,0,3,3.0
57,A,A,1,True,social,supu93,1,3,3.0
47,B,B,1,True,social,supu93,2,3,3.0
61,B,B,1,True,social,supu93,3,3,3.0
43,A,A,1,True,social,supu93,0,4,3.0
61,B,B,0,True,social,supu93,1,4,3.0
47,B,B,1,True,social,supu93,2,4,3.0
57,A,A,1,True,social,supu93,3,4,3.0
43,A,A,1,True,social,supu93,0,5,3.0
61,B,B,1,True,social,supu93,1,5,3.0
47,B,B,1,True,social,supu93,2,5,3.0
57,A,A,1,True,social,supu93,3,5,3.0
