stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
68,A,B,0,False,social,thha00,0,0,0.0
66,A,B,1,False,social,thha00,1,0,0.0
28,B,A,0,False,social,thha00,2,0,0.0
82,A,A,1,True,social,thha00,3,0,0.0
68,B,B,1,True,social,thha00,0,1,0.0
66,A,B,0,False,social,thha00,1,1,0.0
28,B,A,0,False,social,thha00,2,1,0.0
82,B,A,0,False,social,thha00,3,1,0.0
28,A,A,1,True,social,thha00,0,2,0.0
66,B,B,1,True,social,thha00,1,2,0.0
82,B,A,0,False,social,thha00,2,2,0.0
68,B,B,1,True,social,thha00,3,2,0.0
82,,A,0,False,social,thha00,0,3,0.0
28,B,A,0,False,social,thha00,1,3,0.0
66,A,B,0,False,social,thha00,2,3,0.0
68,A,B,1,False,social,thha00,3,3,0.0
82,A,A,1,True,social,thha00,0,4,0.0
68,B,B,1,True,social,thha00,1,4,0.0
66,A,B,0,False,social,thha00,2,4,0.0
28,B,A,0,False,social,thha00,3,4,0.0
66,A,B,0,False,social,thha00,0,5,0.0
28,A,A,1,True,social,thha00,1,5,0.0
82,A,A,0,True,social,thha00,2,5,0.0
68,B,B,1,True,social,thha00,3,5,0.0
51,A,A,1,True,nonsocial,thha00,0,0,1.0
89,A,B,0,False,nonsocial,thha00,1,0,1.0
27,A,A,1,True,nonsocial,thha00,2,0,1.0
21,A,B,1,False,nonsocial,thha00,3,0,1.0
89,B,B,0,True,nonsocial,thha00,0,1,1.0
51,A,A,1,True,nonsocial,thha00,1,1,1.0
27,A,A,1,True,nonsocial,thha00,2,1,1.0
21,A,B,0,False,nonsocial,thha00,3,1,1.0
27,A,A,1,True,nonsocial,thha00,0,2,1.0
51,A,A,1,True,nonsocial,thha00,1,2,1.0
89,B,B,1,True,nonsocial,thha00,2,2,1.0
21,A,B,1,False,nonsocial,thha00,3,2,1.0
27,A,A,1,True,nonsocial,thha00,0,3,1.0
21,A,B,0,False,nonsocial,thha00,1,3,1.0
51,A,A,0,True,nonsocial,thha00,2,3,1.0
89,B,B,1,True,nonsocial,thha00,3,3,1.0
27,A,A,1,True,nonsocial,thha00,0,4,1.0
21,A,B,0,False,nonsocial,thha00,1,4,1.0
51,A,A,1,True,nonsocial,thha00,2,4,1.0
89,B,B,0,True,nonsocial,thha00,3,4,1.0
89,B,B,1,True,nonsocial,thha00,0,5,1.0
21,B,B,1,True,nonsocial,thha00,1,5,1.0
51,A,A,1,True,nonsocial,thha00,2,5,1.0
27,A,A,1,True,nonsocial,thha00,3,5,1.0
66,A,B,0,False,social,thha00,0,0,2.0
68,A,B,0,False,social,thha00,1,0,2.0
28,A,A,1,True,social,thha00,2,0,2.0
82,A,A,0,True,social,thha00,3,0,2.0
66,B,B,0,True,social,thha00,0,1,2.0
28,A,A,1,True,social,thha00,1,1,2.0
82,B,A,0,False,social,thha00,2,1,2.0
68,B,B,1,True,social,thha00,3,1,2.0
68,B,B,1,True,social,thha00,0,2,2.0
82,B,A,0,False,social,thha00,1,2,2.0
28,A,A,1,True,social,thha00,2,2,2.0
66,A,B,0,False,social,thha00,3,2,2.0
66,B,B,1,True,social,thha00,0,3,2.0
82,A,A,1,True,social,thha00,1,3,2.0
68,B,B,1,True,social,thha00,2,3,2.0
28,A,A,1,True,social,thha00,3,3,2.0
66,B,B,0,True,social,thha00,0,4,2.0
68,B,B,1,True,social,thha00,1,4,2.0
82,A,A,1,True,social,thha00,2,4,2.0
28,A,A,1,True,social,thha00,3,4,2.0
28,A,A,1,True,social,thha00,0,5,2.0
68,B,B,1,True,social,thha00,1,5,2.0
82,A,A,1,True,social,thha00,2,5,2.0
66,B,B,1,True,social,thha00,3,5,2.0
89,B,B,1,True,nonsocial,thha00,0,0,3.0
51,A,A,0,True,nonsocial,thha00,1,0,3.0
21,A,B,0,False,nonsocial,thha00,2,0,3.0
27,A,A,1,True,nonsocial,thha00,3,0,3.0
27,A,A,1,True,nonsocial,thha00,0,1,3.0
21,A,B,1,False,nonsocial,thha00,1,1,3.0
89,B,B,1,True,nonsocial,thha00,2,1,3.0
51,A,A,1,True,nonsocial,thha00,3,1,3.0
27,A,A,0,True,nonsocial,thha00,0,2,3.0
21,A,B,0,False,nonsocial,thha00,1,2,3.0
89,B,B,1,True,nonsocial,thha00,2,2,3.0
51,A,A,1,True,nonsocial,thha00,3,2,3.0
89,B,B,1,True,nonsocial,thha00,0,3,3.0
21,A,B,0,False,nonsocial,thha00,1,3,3.0
27,A,A,1,True,nonsocial,thha00,2,3,3.0
51,A,A,1,True,nonsocial,thha00,3,3,3.0
51,A,A,1,True,nonsocial,thha00,0,4,3.0
89,B,B,1,True,nonsocial,thha00,1,4,3.0
27,A,A,1,True,nonsocial,thha00,2,4,3.0
21,A,B,1,False,nonsocial,thha00,3,4,3.0
89,B,B,1,True,nonsocial,thha00,0,5,3.0
27,B,A,0,False,nonsocial,thha00,1,5,3.0
21,A,B,0,False,nonsocial,thha00,2,5,3.0
51,A,A,1,True,nonsocial,thha00,3,5,3.0
