stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
58,B,B,1,True,social,tost94,0,0,0.0
94,B,A,0,False,social,tost94,1,0,0.0
30,A,A,1,True,social,tost94,2,0,0.0
14,A,B,0,False,social,tost94,3,0,0.0
58,B,B,1,True,social,tost94,0,1,0.0
14,A,B,0,False,social,tost94,1,1,0.0
94,B,A,1,False,social,tost94,2,1,0.0
30,B,A,0,False,social,tost94,3,1,0.0
94,B,A,0,False,social,tost94,0,2,0.0
14,A,B,0,False,social,tost94,1,2,0.0
58,B,B,1,True,social,tost94,2,2,0.0
30,A,A,1,True,social,tost94,3,2,0.0
14,,B,0,False,social,tost94,0,3,0.0
94,A,A,1,True,social,tost94,1,3,0.0
58,B,B,1,True,social,tost94,2,3,0.0
30,A,A,1,True,social,tost94,3,3,0.0
30,A,A,1,True,social,tost94,0,4,0.0
94,A,A,1,True,social,tost94,1,4,0.0
14,A,B,1,False,social,tost94,2,4,0.0
58,B,B,1,True,social,tost94,3,4,0.0
94,A,A,1,True,social,tost94,0,5,0.0
14,A,B,0,False,social,tost94,1,5,0.0
58,A,B,0,False,social,tost94,2,5,0.0
30,A,A,1,True,social,tost94,3,5,0.0
95,A,A,1,True,nonsocial,tost94,0,0,1.0
51,A,A,1,True,nonsocial,tost94,1,0,1.0
45,,B,0,False,nonsocial,tost94,2,0,1.0
19,A,B,0,False,nonsocial,tost94,3,0,1.0
45,B,B,1,True,nonsocial,tost94,0,1,1.0
19,B,B,1,True,nonsocial,tost94,1,1,1.0
51,A,A,0,True,nonsocial,tost94,2,1,1.0
95,A,A,1,True,nonsocial,tost94,3,1,1.0
95,A,A,1,True,nonsocial,tost94,0,2,1.0
19,B,B,1,True,nonsocial,tost94,1,2,1.0
51,B,A,1,False,nonsocial,tost94,2,2,1.0
45,B,B,1,True,nonsocial,tost94,3,2,1.0
95,A,A,1,True,nonsocial,tost94,0,3,1.0
45,B,B,1,True,nonsocial,tost94,1,3,1.0
51,B,A,0,False,nonsocial,tost94,2,3,1.0
19,B,B,1,True,nonsocial,tost94,3,3,1.0
95,A,A,1,True,nonsocial,tost94,0,4,1.0
19,B,B,1,True,nonsocial,tost94,1,4,1.0
51,B,A,0,False,nonsocial,tost94,2,4,1.0
45,B,B,1,True,nonsocial,tost94,3,4,1.0
95,A,A,1,True,nonsocial,tost94,0,5,1.0
51,A,A,1,True,nonsocial,tost94,1,5,1.0
19,B,B,1,True,nonsocial,tost94,2,5,1.0
45,B,B,0,True,nonsocial,tost94,3,5,1.0
30,B,A,0,False,social,tost94,0,0,2.0
14,A,B,0,False,social,tost94,1,0,2.0
94,A,A,1,True,social,tost94,2,0,2.0
58,B,B,1,True,social,tost94,3,0,2.0
30,A,A,1,True,social,tost94,0,1,2.0
58,B,B,1,True,social,tost94,1,1,2.0
14,A,B,0,False,social,tost94,2,1,2.0
94,A,A,0,True,social,tost94,3,1,2.0
30,A,A,1,True,social,tost94,0,2,2.0
58,B,B,1,True,social,tost94,1,2,2.0
94,A,A,1,True,social,tost94,2,2,2.0
14,B,B,0,True,social,tost94,3,2,2.0
94,A,A,1,True,social,tost94,0,3,2.0
58,B,B,0,True,social,tost94,1,3,2.0
14,A,B,0,False,social,tost94,2,3,2.0
30,A,A,1,True,social,tost94,3,3,2.0
58,B,B,1,True,social,tost94,0,4,2.0
30,A,A,0,True,social,tost94,1,4,2.0
94,A,A,1,True,social,tost94,2,4,2.0
14,B,B,1,True,social,tost94,3,4,2.0
14,B,B,1,True,social,tost94,0,5,2.0
58,A,B,0,False,social,tost94,1,5,2.0
30,A,A,1,True,social,tost94,2,5,2.0
94,B,A,0,False,social,tost94,3,5,2.0
45,A,B,0,False,nonsocial,tost94,0,0,3.0
51,B,A,0,False,nonsocial,tost94,1,0,3.0
95,A,A,1,True,nonsocial,tost94,2,0,3.0
19,A,B,0,False,nonsocial,tost94,3,0,3.0
51,A,A,1,True,nonsocial,tost94,0,1,3.0
45,B,B,1,True,nonsocial,tost94,1,1,3.0
19,A,B,0,False,nonsocial,tost94,2,1,3.0
95,A,A,1,True,nonsocial,tost94,3,1,3.0
95,A,A,0,True,nonsocial,tost94,0,2,3.0
19,B,B,1,True,nonsocial,tost94,1,2,3.0
51,A,A,1,True,nonsocial,tost94,2,2,3.0
45,B,B,1,True,nonsocial,tost94,3,2,3.0
19,A,B,0,False,nonsocial,tost94,0,3,3.0
45,B,B,1,True,nonsocial,tost94,1,3,3.0
51,B,A,0,False,nonsocial,tost94,2,3,3.0
95,A,A,1,True,nonsocial,tost94,3,3,3.0
45,A,B,0,False,nonsocial,tost94,0,4,3.0
19,B,B,1,True,nonsocial,tost94,1,4,3.0
95,A,A,0,True,nonsocial,tost94,2,4,3.0
51,B,A,0,False,nonsocial,tost94,3,4,3.0
51,A,A,1,True,nonsocial,tost94,0,5,3.0
95,A,A,1,True,nonsocial,tost94,1,5,3.0
45,B,B,1,True,nonsocial,tost94,2,5,3.0
19,A,B,0,False,nonsocial,tost94,3,5,3.0
