stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
48,A,A,1,True,nonsocial,tred59,0,0,0.0
12,A,A,1,True,nonsocial,tred59,1,0,0.0
76,B,B,0,True,nonsocial,tred59,2,0,0.0
96,A,B,1,False,nonsocial,tred59,3,0,0.0
96,A,B,0,False,nonsocial,tred59,0,1,0.0
76,B,B,1,True,nonsocial,tred59,1,1,0.0
12,A,A,1,True,nonsocial,tred59,2,1,0.0
48,A,A,1,True,nonsocial,tred59,3,1,0.0
12,A,A,1,True,nonsocial,tred59,0,2,0.0
96,A,B,0,False,nonsocial,tred59,1,2,0.0
48,A,A,1,True,nonsocial,tred59,2,2,0.0
76,B,B,1,True,nonsocial,tred59,3,2,0.0
48,A,A,1,True,nonsocial,tred59,0,3,0.0
12,A,A,1,True,nonsocial,tred59,1,3,0.0
96,B,B,1,True,nonsocial,tred59,2,3,0.0
76,B,B,1,True,nonsocial,tred59,3,3,0.0
12,A,A,0,True,nonsocial,tred59,0,4,0.0
96,A,B,0,False,nonsocial,tred59,1,4,0.0
76,B,B,0,True,nonsocial,tred59,2,4,0.0
48,A,A,0,True,nonsocial,tred59,3,4,0.0
76,B,B,1,True,nonsocial,tred59,0,5,0.0
48,A,A,1,True,nonsocial,tred59,1,5,0.0
12,A,A,1,True,nonsocial,tred59,2,5,0.0
96,B,B,0,True,nonsocial,tred59,3,5,0.0
85,B,A,0,False,social,tred59,0,0,1.0
77,B,B,0,True,social,tred59,1,0,1.0
17,A,A,1,True,social,tred59,2,0,1.0
73,B,B,1,True,social,tred59,3,0,1.0
73,A,B,0,False,social,tred59,0,1,1.0
77,A,B,1,False,social,tred59,1,1,1.0
17,A,A,1,True,social,tred59,2,1,1.0
85,B,A,0,False,social,tred59,3,1,1.0
77,A,B,0,False,social,tred59,0,2,1.0
17,A,A,1,True,social,tred59,1,2,1.0
85,B,A,0,False,social,tred59,2,2,1.0
73,B,B,1,True,social,tred59,3,2,1.0
85,B,A,0,False,social,tred59,0,3,1.0
73,B,B,1,True,social,tred59,1,3,1.0
77,A,B,0,False,social,tred59,2,3,1.0
17,A,A,1,True,social,tred59,3,3,1.0
85,B,A,0,False,social,tred59,0,4,1.0
73,B,B,0,True,social,tred59,1,4,1.0
77,A,B,1,False,social,tred59,2,4,1.0
17,A,A,1,True,social,tred59,3,4,1.0
17,A,A,1,True,social,tred59,0,5,1.0
77,A,B,0,False,social,tred59,1,5,1.0
73,B,B,1,True,social,tred59,2,5,1.0
85,A,A,1,True,social,tred59,3,5,1.0
12,A,A,1,True,nonsocial,tred59,0,0,2.0
76,B,B,1,True,nonsocial,tred59,1,0,2.0
48,A,A,1,True,nonsocial,tred59,2,0,2.0
96,A,B,0,False,nonsocial,tred59,3,0,2.0
96,B,B,1,True,nonsocial,tred59,0,1,2.0
76,B,B,1,True,nonsocial,tred59,1,1,2.0
12,A,A,1,True,nonsocial,tred59,2,1,2.0
48,A,A,1,True,nonsocial,tred59,3,1,2.0
48,A,A,1,True,nonsocial,tred59,0,2,2.0
76,B,B,1,True,nonsocial,tred59,1,2,2.0
12,A,A,1,True,nonsocial,tred59,2,2,2.0
96,B,B,1,True,nonsocial,tred59,3,2,2.0
96,B,B,1,True,nonsocial,tred59,0,3,2.0
12,A,A,1,True,nonsocial,tred59,1,3,2.0
48,A,A,1,True,nonsocial,tred59,2,3,2.0
76,B,B,1,True,nonsocial,tred59,3,3,2.0
96,B,B,0,True,nonsocial,tred59,0,4,2.0
48,A,A,1,True,nonsocial,tred59,1,4,2.0
12,A,A,1,True,nonsocial,tred59,2,4,2.0
76,B,B,1,True,nonsocial,tred59,3,4,2.0
76,B,B,1,True,nonsocial,tred59,0,5,2.0
12,A,A,1,True,nonsocial,tred59,1,5,2.0
48,A,A,1,True,nonsocial,tred59,2,5,2.0
96,B,B,0,True,nonsocial,tred59,3,5,2.0
17,B,A,0,False,social,tred59,0,0,3.0
85,A,A,1,True,social,tred59,1,0,3.0
73,B,B,1,True,social,tred59,2,0,3.0
77,A,B,0,False,social,tred59,3,0,3.0
85,A,A,1,True,social,tred59,0,1,3.0
73,B,B,1,True,social,tred59,1,1,3.0
77,A,B,0,False,social,tred59,2,1,3.0
17,A,A,1,True,social,tred59,3,1,3.0
77,A,B,0,False,social,tred59,0,2,3.0
85,A,A,0,True,social,tred59,1,2,3.0
17,A,A,1,True,social,tred59,2,2,3.0
73,B,B,0,True,social,tred59,3,2,3.0
85,A,A,0,True,social,tred59,0,3,3.0
17,A,A,1,True,social,tred59,1,3,3.0
77,A,B,1,False,social,tred59,2,3,3.0
73,B,B,0,True,social,tred59,3,3,3.0
85,B,A,1,False,social,tred59,0,4,3.0
77,A,B,0,False,social,tred59,1,4,3.0
17,A,A,1,True,social,tred59,2,4,3.0
73,B,B,1,True,social,tred59,3,4,3.0
85,A,A,1,True,social,tred59,0,5,3.0
77,B,B,1,True,social,tred59,1,5,3.0
73,B,B,0,True,social,tred59,2,5,3.0
17,A,A,1,True,social,tred59,3,5,3.0
