stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
12,B,A,,False,social,udsc88,0,0,0.0
60,B,A,,False,social,udsc88,1,0,0.0
10,A,B,,False,social,udsc88,2,0,0.0
30,B,B,1,True,social,udsc88,3,0,0.0
60,,A,,False,social,udsc88,0,1,0.0
10,A,B,,False,social,udsc88,1,1,0.0
12,A,A,1,True,social,udsc88,2,1,0.0
30,A,B,,False,social,udsc88,3,1,0.0
10,B,B,1,True,social,udsc88,0,2,0.0
12,A,A,1,True,social,udsc88,1,2,0.0
30,A,B,,False,social,udsc88,2,2,0.0
60,A,A,1,True,social,udsc88,3,2,0.0
12,A,A,1,True,social,udsc88,0,3,0.0
30,A,B,,False,social,udsc88,1,3,0.0
60,A,A,1,True,social,udsc88,2,3,0.0
10,B,B,1,True,social,udsc88,3,3,0.0
60,B,A,,False,social,udsc88,0,4,0.0
12,A,A,1,True,social,udsc88,1,4,0.0
30,A,B,,False,social,udsc88,2,4,0.0
10,B,B,0,True,social,udsc88,3,4,0.0
12,B,A,,False,social,udsc88,0,5,0.0
30,B,B,1,True,social,udsc88,1,5,0.0
60,B,A,,False,social,udsc88,2,5,0.0
10,A,B,,False,social,udsc88,3,5,0.0
63,A,A,1,True,nonsocial,udsc88,0,0,1.0
35,B,B,0,True,nonsocial,udsc88,1,0,1.0
19,B,A,,False,nonsocial,udsc88,2,0,1.0
65,B,B,1,True,nonsocial,udsc88,3,0,1.0
19,B,A,,False,nonsocial,udsc88,0,1,1.0
65,A,B,,False,nonsocial,udsc88,1,1,1.0
35,B,B,1,True,nonsocial,udsc88,2,1,1.0
63,A,A,0,True,nonsocial,udsc88,3,1,1.0
65,A,B,,False,nonsocial,udsc88,0,2,1.0
19,A,A,1,True,nonsocial,udsc88,1,2,1.0
35,B,B,1,True,nonsocial,udsc88,2,2,1.0
63,A,A,1,True,nonsocial,udsc88,3,2,1.0
63,B,A,,False,nonsocial,udsc88,0,3,1.0
35,B,B,1,True,nonsocial,udsc88,1,3,1.0
65,B,B,1,True,nonsocial,udsc88,2,3,1.0
19,A,A,1,True,nonsocial,udsc88,3,3,1.0
65,A,B,,False,nonsocial,udsc88,0,4,1.0
19,A,A,1,True,nonsocial,udsc88,1,4,1.0
35,B,B,1,True,nonsocial,udsc88,2,4,1.0
63,A,A,1,True,nonsocial,udsc88,3,4,1.0
19,A,A,0,True,nonsocial,udsc88,0,5,1.0
65,A,B,,False,nonsocial,udsc88,1,5,1.0
35,A,B,,False,nonsocial,udsc88,2,5,1.0
63,B,A,,False,nonsocial,udsc88,3,5,1.0
30,A,B,,False,social,udsc88,0,0,2.0
60,A,A,1,True,social,udsc88,1,0,2.0
10,A,B,,False,social,udsc88,2,0,2.0
12,B,A,,False,social,udsc88,3,0,2.0
12,B,A,,False,social,udsc88,0,1,2.0
30,B,B,0,True,social,udsc88,1,1,2.0
10,A,B,,False,social,udsc88,2,1,2.0
60,A,A,1,True,social,udsc88,3,1,2.0
30,B,B,1,True,social,udsc88,0,2,2.0
60,B,A,,False,social,udsc88,1,2,2.0
10,B,B,1,True,social,udsc88,2,2,2.0
12,A,A,1,True,social,udsc88,3,2,2.0
60,A,A,0,True,social,udsc88,0,3,2.0
30,B,B,0,True,social,udsc88,1,3,2.0
12,B,A,,False,social,udsc88,2,3,2.0
10,A,B,,False,social,udsc88,3,3,2.0
30,B,B,1,True,social,udsc88,0,4,2.0
12,B,A,,False,social,udsc88,1,4,2.0
60,B,A,,False,social,udsc88,2,4,2.0
10,B,B,1,True,social,udsc88,3,4,2.0
60,,A,,False,social,udsc88,0,5,2.0
10,B,B,1,True,social,udsc88,1,5,2.0
30,B,B,0,True,social,udsc88,2,5,2.0
12,A,A,0,True,social,udsc88,3,5,2.0
19,B,A,,False,nonsocial,udsc88,0,0,3.0
63,A,A,1,True,nonsocial,udsc88,1,0,3.0
35,B,B,1,True,nonsocial,udsc88,2,0,3.0
65,B,B,1,True,nonsocial,udsc88,3,0,3.0
19,A,A,0,True,nonsocial,udsc88,0,1,3.0
63,B,A,,False,nonsocial,udsc88,1,1,3.0
35,A,B,,False,nonsocial,udsc88,2,1,3.0
65,A,B,,False,nonsocial,udsc88,3,1,3.0
19,B,A,,False,nonsocial,udsc88,0,2,3.0
65,A,B,,False,nonsocial,udsc88,1,2,3.0
63,A,A,1,True,nonsocial,udsc88,2,2,3.0
35,B,B,1,True,nonsocial,udsc88,3,2,3.0
65,B,B,1,True,nonsocial,udsc88,0,3,3.0
19,A,A,1,True,nonsocial,udsc88,1,3,3.0
35,B,B,1,True,nonsocial,udsc88,2,3,3.0
63,A,A,1,True,nonsocial,udsc88,3,3,3.0
19,A,A,1,True,nonsocial,udsc88,0,4,3.0
35,B,B,1,True,nonsocial,udsc88,1,4,3.0
65,B,B,1,True,nonsocial,udsc88,2,4,3.0
63,A,A,1,True,nonsocial,udsc88,3,4,3.0
35,B,B,1,True,nonsocial,udsc88,0,5,3.0
63,A,A,1,True,nonsocial,udsc88,1,5,3.0
65,B,B,1,True,nonsocial,udsc88,2,5,3.0
19,A,A,1,True,nonsocial,udsc88,3,5,3.0
