stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
78,A,B,1,False,social,veri93,0,0,0.0
20,A,A,1,True,social,veri93,1,0,0.0
24,A,B,1,False,social,veri93,2,0,0.0
84,A,A,1,True,social,veri93,3,0,0.0
84,A,A,0,True,social,veri93,0,1,0.0
24,B,B,1,True,social,veri93,1,1,0.0
78,B,B,0,True,social,veri93,2,1,0.0
20,B,A,0,False,social,veri93,3,1,0.0
20,A,A,0,True,social,veri93,0,2,0.0
78,B,B,1,True,social,veri93,1,2,0.0
84,B,A,0,False,social,veri93,2,2,0.0
24,B,B,0,True,social,veri93,3,2,0.0
78,B,B,1,True,social,veri93,0,3,0.0
20,A,A,1,True,social,veri93,1,3,0.0
24,A,B,0,False,social,veri93,2,3,0.0
84,B,A,0,False,social,veri93,3,3,0.0
78,A,B,0,False,social,veri93,0,4,0.0
84,A,A,0,True,social,veri93,1,4,0.0
20,A,A,1,True,social,veri93,2,4,0.0
24,B,B,1,True,social,veri93,3,4,0.0
20,A,A,1,True,social,veri93,0,5,0.0
78,B,B,0,True,social,veri93,1,5,0.0
84,B,A,0,False,social,veri93,2,5,0.0
24,B,B,1,True,social,veri93,3,5,0.0
41,A,B,0,False,nonsocial,veri93,0,0,1.0
89,B,A,0,False,nonsocial,veri93,1,0,1.0
99,A,A,1,True,nonsocial,veri93,2,0,1.0
65,B,B,1,True,nonsocial,veri93,3,0,1.0
89,A,A,1,True,nonsocial,veri93,0,1,1.0
99,A,A,1,True,nonsocial,veri93,1,1,1.0
65,B,B,1,True,nonsocial,veri93,2,1,1.0
41,A,B,0,False,nonsocial,veri93,3,1,1.0
65,B,B,1,True,nonsocial,veri93,0,2,1.0
89,A,A,1,True,nonsocial,veri93,1,2,1.0
41,B,B,1,True,nonsocial,veri93,2,2,1.0
99,A,A,0,True,nonsocial,veri93,3,2,1.0
65,B,B,1,True,nonsocial,veri93,0,3,1.0
41,A,B,1,False,nonsocial,veri93,1,3,1.0
89,A,A,1,True,nonsocial,veri93,2,3,1.0
99,B,A,0,False,nonsocial,veri93,3,3,1.0
89,A,A,1,True,nonsocial,veri93,0,4,1.0
65,B,B,1,True,nonsocial,veri93,1,4,1.0
41,A,B,0,False,nonsocial,veri93,2,4,1.0
99,B,A,1,False,nonsocial,veri93,3,4,1.0
89,B,A,0,False,nonsocial,veri93,0,5,1.0
99,B,A,0,False,nonsocial,veri93,1,5,1.0
65,B,B,1,True,nonsocial,veri93,2,5,1.0
41,A,B,0,False,nonsocial,veri93,3,5,1.0
78,A,B,0,False,social,veri93,0,0,2.0
84,B,A,0,False,social,veri93,1,0,2.0
24,A,B,0,False,social,veri93,2,0,2.0
20,A,A,0,True,social,veri93,3,0,2.0
24,A,B,0,False,social,veri93,0,1,2.0
84,B,A,0,False,social,veri93,1,1,2.0
20,A,A,0,True,social,veri93,2,1,2.0
78,A,B,0,False,social,veri93,3,1,2.0
78,A,B,1,False,social,veri93,0,2,2.0
84,A,A,1,True,social,veri93,1,2,2.0
24,B,B,1,True,social,veri93,2,2,2.0
20,B,A,0,False,social,veri93,3,2,2.0
20,A,A,1,True,social,veri93,0,3,2.0
78,A,B,0,False,social,veri93,1,3,2.0
84,A,A,1,True,social,veri93,2,3,2.0
24,A,B,1,False,social,veri93,3,3,2.0
20,B,A,0,False,social,veri93,0,4,2.0
78,A,B,0,False,social,veri93,1,4,2.0
24,A,B,1,False,social,veri93,2,4,2.0
84,A,A,0,True,social,veri93,3,4,2.0
78,B,B,0,True,social,veri93,0,5,2.0
24,A,B,0,False,social,veri93,1,5,2.0
84,B,A,0,False,social,veri93,2,5,2.0
20,A,A,1,True,social,veri93,3,5,2.0
41,B,B,1,True,nonsocial,veri93,0,0,3.0
99,B,A,1,False,nonsocial,veri93,1,0,3.0
89,A,A,0,True,nonsocial,veri93,2,0,3.0
65,A,B,1,False,nonsocial,veri93,3,0,3.0
89,B,A,0,False,nonsocial,veri93,0,1,3.0
99,B,A,0,False,nonsocial,veri93,1,1,3.0
41,A,B,0,False,nonsocial,veri93,2,1,3.0
65,B,B,1,True,nonsocial,veri93,3,1,3.0
65,A,B,0,False,nonsocial,veri93,0,2,3.0
41,B,B,1,True,nonsocial,veri93,1,2,3.0
89,B,A,0,False,nonsocial,veri93,2,2,3.0
99,B,A,0,False,nonsocial,veri93,3,2,3.0
89,B,A,0,False,nonsocial,veri93,0,3,3.0
99,A,A,1,True,nonsocial,veri93,1,3,3.0
41,A,B,0,False,nonsocial,veri93,2,3,3.0
65,A,B,0,False,nonsocial,veri93,3,3,3.0
99,B,A,0,False,nonsocial,veri93,0,4,3.0
65,B,B,1,True,nonsocial,veri93,1,4,3.0
41,A,B,0,False,nonsocial,veri93,2,4,3.0
89,B,A,0,False,nonsocial,veri93,3,4,3.0
41,A,B,0,False,nonsocial,veri93,0,5,3.0
89,B,A,0,False,nonsocial,veri93,1,5,3.0
99,A,A,1,True,nonsocial,veri93,2,5,3.0
65,B,B,1,True,nonsocial,veri93,3,5,3.0
