stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
10,B,B,1,True,social,vima01,0,0,0.0
94,A,A,1,True,social,vima01,1,0,0.0
50,A,B,0,False,social,vima01,2,0,0.0
92,B,A,0,False,social,vima01,3,0,0.0
94,B,A,0,False,social,vima01,0,1,0.0
10,A,B,0,False,social,vima01,1,1,0.0
50,B,B,1,True,social,vima01,2,1,0.0
92,B,A,0,False,social,vima01,3,1,0.0
50,B,B,1,True,social,vima01,0,2,0.0
92,A,A,0,True,social,vima01,1,2,0.0
94,A,A,0,True,social,vima01,2,2,0.0
10,B,B,1,True,social,vima01,3,2,0.0
94,B,A,0,False,social,vima01,0,3,0.0
50,B,B,1,True,social,vima01,1,3,0.0
10,B,B,1,True,social,vima01,2,3,0.0
92,B,A,0,False,social,vima01,3,3,0.0
92,A,A,1,True,social,vima01,0,4,0.0
10,B,B,1,True,social,vima01,1,4,0.0
50,B,B,1,True,social,vima01,2,4,0.0
94,A,A,1,True,social,vima01,3,4,0.0
10,B,B,1,True,social,vima01,0,5,0.0
50,B,B,1,True,social,vima01,1,5,0.0
92,A,A,1,True,social,vima01,2,5,0.0
94,B,A,0,False,social,vima01,3,5,0.0
41,A,A,1,True,nonsocial,vima01,0,0,1.0
47,B,B,1,True,nonsocial,vima01,1,0,1.0
55,B,B,1,True,nonsocial,vima01,2,0,1.0
13,A,A,1,True,nonsocial,vima01,3,0,1.0
55,B,B,1,True,nonsocial,vima01,0,1,1.0
41,B,A,1,False,nonsocial,vima01,1,1,1.0
47,A,B,0,False,nonsocial,vima01,2,1,1.0
13,A,A,1,True,nonsocial,vima01,3,1,1.0
41,B,A,0,False,nonsocial,vima01,0,2,1.0
55,B,B,0,True,nonsocial,vima01,1,2,1.0
13,A,A,1,True,nonsocial,vima01,2,2,1.0
47,B,B,0,True,nonsocial,vima01,3,2,1.0
13,A,A,1,True,nonsocial,vima01,0,3,1.0
55,B,B,1,True,nonsocial,vima01,1,3,1.0
47,A,B,0,False,nonsocial,vima01,2,3,1.0
41,A,A,1,True,nonsocial,vima01,3,3,1.0
41,A,A,1,True,nonsocial,vima01,0,4,1.0
13,A,A,1,True,nonsocial,vima01,1,4,1.0
47,B,B,1,True,nonsocial,vima01,2,4,1.0
55,B,B,1,True,nonsocial,vima01,3,4,1.0
55,B,B,1,True,nonsocial,vima01,0,5,1.0
13,A,A,1,True,nonsocial,vima01,1,5,1.0
47,B,B,1,True,nonsocial,vima01,2,5,1.0
41,A,A,1,True,nonsocial,vima01,3,5,1.0
92,A,A,1,True,social,vima01,0,0,2.0
94,A,A,1,True,social,vima01,1,0,2.0
50,B,B,1,True,social,vima01,2,0,2.0
10,A,B,0,False,social,vima01,3,0,2.0
94,A,A,1,True,social,vima01,0,1,2.0
10,B,B,1,True,social,vima01,1,1,2.0
50,A,B,0,False,social,vima01,2,1,2.0
92,A,A,1,True,social,vima01,3,1,2.0
94,A,A,1,True,social,vima01,0,2,2.0
92,A,A,1,True,social,vima01,1,2,2.0
10,B,B,1,True,social,vima01,2,2,2.0
50,B,B,1,True,social,vima01,3,2,2.0
50,B,B,1,True,social,vima01,0,3,2.0
92,A,A,1,True,social,vima01,1,3,2.0
94,A,A,0,True,social,vima01,2,3,2.0
10,B,B,1,True,social,vima01,3,3,2.0
50,B,B,0,True,social,vima01,0,4,2.0
92,A,A,1,True,social,vima01,1,4,2.0
94,A,A,0,True,social,vima01,2,4,2.0
10,B,B,1,True,social,vima01,3,4,2.0
10,B,B,0,True,social,vima01,0,5,2.0
50,B,B,1,True,social,vima01,1,5,2.0
94,A,A,1,True,social,vima01,2,5,2.0
92,A,A,1,True,social,vima01,3,5,2.0
41,A,A,1,True,nonsocial,vima01,0,0,3.0
55,B,B,1,True,nonsocial,vima01,1,0,3.0
13,A,A,1,True,nonsocial,vima01,2,0,3.0
47,B,B,1,True,nonsocial,vima01,3,0,3.0
13,A,A,0,True,nonsocial,vima01,0,1,3.0
41,A,A,1,True,nonsocial,vima01,1,1,3.0
47,B,B,1,True,nonsocial,vima01,2,1,3.0
55,B,B,1,True,nonsocial,vima01,3,1,3.0
47,B,B,1,True,nonsocial,vima01,0,2,3.0
13,A,A,1,True,nonsocial,vima01,1,2,3.0
41,A,A,1,True,nonsocial,vima01,2,2,3.0
55,B,B,1,True,nonsocial,vima01,3,2,3.0
47,B,B,1,True,nonsocial,vima01,0,3,3.0
13,A,A,1,True,nonsocial,vima01,1,3,3.0
41,A,A,1,True,nonsocial,vima01,2,3,3.0
55,B,B,1,True,nonsocial,vima01,3,3,3.0
41,A,A,0,True,nonsocial,vima01,0,4,3.0
13,A,A,1,True,nonsocial,vima01,1,4,3.0
47,B,B,0,True,nonsocial,vima01,2,4,3.0
55,B,B,1,True,nonsocial,vima01,3,4,3.0
13,A,A,0,True,nonsocial,vima01,0,5,3.0
41,A,A,1,True,nonsocial,vima01,1,5,3.0
47,B,B,1,True,nonsocial,vima01,2,5,3.0
55,B,B,1,True,nonsocial,vima01,3,5,3.0
