stim,ParticipantAnswer,Reward
52,A,1
52,A,0
52,A,1
52,A,1
52,B,0
52,A,1
52,B,1
52,B,0
52,A,1
52,B,1
52,B,0
52,A,0
12,A,0
12,B,1
12,A,0
12,A,0
12,B,1
12,B,1
12,A,0
12,B,0
12,B,1
12,B,1
12,B,1
12,B,1
38,B,1
38,B,1
38,B,1
38,B,1
38,B,1
38,B,1
38,B,1
38,A,0
38,B,1
38,B,0
38,B,1
38,A,0
66,B,1
66,B,0
66,B,0
66,A,0
66,B,0
66,A,1
66,B,0
66,A,1
66,A,1
66,A,1
66,A,0
66,A,0
93,A,0
93,B,1
93,B,1
93,B,1
93,B,1
93,B,1
93,B,0
93,A,0
93,A,0
93,A,0
93,B,1
93,B,0
21,B,0
21,A,1
21,A,1
21,A,1
21,A,1
21,A,1
21,A,1
21,B,0
21,A,0
21,A,1
21,A,0
21,B,0
43,B,0
43,B,0
43,A,0
43,A,1
43,A,0
43,B,0
43,B,0
43,A,1
43,A,1
43,A,1
43,A,1
43,A,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,1
59,B,0
59,B,1
59,B,1
