stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber,PredictedChoice,CorrectPrediction,AQ_score,AQ_group,Med_Split
56,1,1,1,TRUE,nonsocial,pada94,1,0,0,0,0,14,High,High
56,0,1,1,FALSE,nonsocial,pada94,2,1,0,1,1,14,High,High
56,0,1,0,FALSE,nonsocial,pada94,3,2,0,0,0,14,High,High
56,0,1,1,FALSE,nonsocial,pada94,4,3,0,1,1,14,High,High
56,1,1,1,TRUE,nonsocial,pada94,5,4,0,1,1,14,High,High
56,1,1,1,TRUE,nonsocial,pada94,6,5,0,1,1,14,High,High
56,0,1,0,FALSE,nonsocial,pada94,7,0,2,1,1,14,High,High
56,1,1,1,TRUE,nonsocial,pada94,8,1,2,1,1,14,High,High
56,1,1,1,TRUE,nonsocial,pada94,9,2,2,1,1,14,High,High
56,1,1,0,TRUE,nonsocial,pada94,10,3,2,1,1,14,High,High
56,0,1,0,FALSE,nonsocial,pada94,11,4,2,1,1,14,High,High
56,0,1,0,FALSE,nonsocial,pada94,12,5,2,1,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,1,0,0,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,2,1,0,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,3,2,0,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,4,3,0,0,1,14,High,High
76,1,0,0,FALSE,nonsocial,pada94,5,4,0,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,6,5,0,0,1,14,High,High
76,1,0,0,FALSE,nonsocial,pada94,7,0,2,0,1,14,High,High
76,0,0,0,TRUE,nonsocial,pada94,8,1,2,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,9,2,2,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,10,3,2,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,11,4,2,0,1,14,High,High
76,0,0,1,TRUE,nonsocial,pada94,12,5,2,0,1,14,High,High
46,0,0,0,TRUE,nonsocial,pada94,1,0,0,0,1,14,High,High
46,1,0,0,FALSE,nonsocial,pada94,2,1,0,1,0,14,High,High
46,1,0,1,FALSE,nonsocial,pada94,3,2,0,0,1,14,High,High
46,1,0,0,FALSE,nonsocial,pada94,4,3,0,1,0,14,High,High
46,1,0,0,FALSE,nonsocial,pada94,5,4,0,1,0,14,High,High
46,0,0,0,TRUE,nonsocial,pada94,6,5,0,0,1,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,7,0,2,1,0,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,8,1,2,0,1,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,9,2,2,0,1,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,10,3,2,0,1,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,11,4,2,0,1,14,High,High
46,0,0,1,TRUE,nonsocial,pada94,12,5,2,0,1,14,High,High
16,1,1,0,TRUE,nonsocial,pada94,1,0,0,0,0,14,High,High
16,0,1,0,FALSE,nonsocial,pada94,2,1,0,0,0,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,3,2,0,0,0,14,High,High
16,1,1,0,TRUE,nonsocial,pada94,4,3,0,1,1,14,High,High
16,0,1,0,FALSE,nonsocial,pada94,5,4,0,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,6,5,0,1,1,14,High,High
16,0,1,0,FALSE,nonsocial,pada94,7,0,2,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,8,1,2,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,9,2,2,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,10,3,2,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,11,4,2,1,1,14,High,High
16,1,1,1,TRUE,nonsocial,pada94,12,5,2,1,1,14,High,High
23,0,0,1,TRUE,social,pada94,1,0,1,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,2,1,1,0,1,14,High,High
23,0,0,0,TRUE,social,pada94,3,2,1,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,4,3,1,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,5,4,1,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,6,5,1,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,7,0,3,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,8,1,3,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,9,2,3,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,10,3,3,0,1,14,High,High
23,0,0,0,TRUE,social,pada94,11,4,3,0,1,14,High,High
23,0,0,1,TRUE,social,pada94,12,5,3,0,1,14,High,High
93,1,1,1,TRUE,social,pada94,1,0,1,0,0,14,High,High
93,1,1,0,TRUE,social,pada94,2,1,1,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,3,2,1,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,4,3,1,1,1,14,High,High
93,1,1,0,TRUE,social,pada94,5,4,1,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,6,5,1,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,7,0,3,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,8,1,3,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,9,2,3,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,10,3,3,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,11,4,3,1,1,14,High,High
93,1,1,1,TRUE,social,pada94,12,5,3,1,1,14,High,High
13,0,0,0,TRUE,social,pada94,1,0,1,0,1,14,High,High
13,1,0,0,FALSE,social,pada94,2,1,1,1,0,14,High,High
13,1,0,0,FALSE,social,pada94,3,2,1,0,1,14,High,High
13,0,0,0,TRUE,social,pada94,4,3,1,0,1,14,High,High
13,1,0,0,FALSE,social,pada94,5,4,1,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,6,5,1,0,1,14,High,High
13,1,0,0,FALSE,social,pada94,7,0,3,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,8,1,3,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,9,2,3,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,10,3,3,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,11,4,3,0,1,14,High,High
13,0,0,1,TRUE,social,pada94,12,5,3,0,1,14,High,High
71,1,1,1,TRUE,social,pada94,1,0,1,0,0,14,High,High
71,1,1,1,TRUE,social,pada94,2,1,1,1,1,14,High,High
71,0,1,0,FALSE,social,pada94,3,2,1,1,1,14,High,High
71,1,1,0,TRUE,social,pada94,4,3,1,1,1,14,High,High
71,1,1,1,TRUE,social,pada94,5,4,1,1,1,14,High,High
71,1,1,0,TRUE,social,pada94,6,5,1,1,1,14,High,High
71,1,1,0,TRUE,social,pada94,7,0,3,1,1,14,High,High
71,0,1,0,FALSE,social,pada94,8,1,3,1,1,14,High,High
71,0,1,0,FALSE,social,pada94,9,2,3,1,1,14,High,High
71,0,1,0,FALSE,social,pada94,10,3,3,1,1,14,High,High
71,1,1,1,TRUE,social,pada94,11,4,3,1,1,14,High,High
71,1,1,1,TRUE,social,pada94,12,5,3,1,1,14,High,High
30,0,1,0,FALSE,nonsocial,lira02,1,0,0,0,0,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,2,1,0,1,1,16,High,High
30,0,1,0,FALSE,nonsocial,lira02,3,2,0,1,1,16,High,High
30,0,1,0,FALSE,nonsocial,lira02,4,3,0,1,1,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,5,4,0,1,1,16,High,High
30,0,1,0,FALSE,nonsocial,lira02,6,5,0,1,1,16,High,High
30,0,1,0,FALSE,nonsocial,lira02,7,0,2,1,1,16,High,High
30,0,1,0,FALSE,nonsocial,lira02,8,1,2,1,1,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,9,2,2,1,1,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,10,3,2,1,1,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,11,4,2,1,1,16,High,High
30,1,1,1,TRUE,nonsocial,lira02,12,5,2,1,1,16,High,High
56,0,1,0,FALSE,nonsocial,lira02,1,0,0,0,0,16,High,High
56,0,1,1,FALSE,nonsocial,lira02,2,1,0,1,1,16,High,High
56,0,1,0,FALSE,nonsocial,lira02,3,2,0,1,1,16,High,High
56,1,1,1,TRUE,nonsocial,lira02,4,3,0,1,1,16,High,High
