participant,BlockType,AQ_score,avg_alpha,avg_theta
alka88,nonsocial,13,0.5855524422083248,32.92587692202232
alka88,social,13,0.1328228769305055,25.970834931006603
alsp92,nonsocial,1,0.9291945548762366,7.319031124144721
alsp92,social,1,0.02483841009876319,13.61940094037002
anfi01,nonsocial,9,0.012996867107381613,50
anfi01,social,9,0.4694308089153346,43.75576724418946
ango96,nonsocial,3,0.25600785864058334,25.5
ango96,social,3,0.34885510071255976,26.86104992756582
anpe97,nonsocial,15,0.4481198599836239,13.540914322835697
anpe97,social,15,0.2532473232060699,26.571474860128948
beka93,nonsocial,9,0.37297067979774123,38.20035210481916
beka93,social,9,0.1278534098519369,29.90846020988053
beka95,nonsocial,12,0.335630624297236,26.389545377841795
beka95,social,12,0,1
brte95,nonsocial,19,7.144719344345324e-4,13.25
brte95,social,19,0.23254352695257044,13.574595125437801
chpo96,nonsocial,8,0.75,1.6531535818067362
chpo96,social,8,0.8444564447870337,3.182665616877784
clwe99,nonsocial,13,0.5140600491771135,43.75
clwe99,social,13,0.38613422460403873,37.85442199570634
copr92,nonsocial,9,0.0015677306114468773,13.25
copr92,social,9,0.2789295166486875,7.269205251981327
djlu96,nonsocial,11,0.25,1.3341349973286585
djlu96,social,11,0.07164111774150843,25.583067262973145
dmal96,nonsocial,3,0.3398115531273827,30.991787384812476
dmal96,social,3,0.48406828134296215,25.865158560020063
elgr00,nonsocial,4,NA,NA
elgr00,social,4,NA,NA
elmi00,nonsocial,1,0.007037331361164354,37.75
elmi00,social,1,0.49587029433929697,19.45647957440783
fake01,nonsocial,17,0.18047523148044894,35.012698680197516
fake01,social,17,0.5683778278791857,8.496120095099922
fegr98,nonsocial,9,NA,NA
fegr98,social,9,NA,NA
flcs96,nonsocial,9,NA,NA
flcs96,social,9,NA,NA
flre91,nonsocial,11,0.42487584661382327,36.04854447234322
flre91,social,11,0.4553354481830538,21.218333978786063
flsc98,nonsocial,11,NA,NA
flsc98,social,11,NA,NA
flto91,nonsocial,7,0.1200064179187308,26.95204821846303
flto91,social,7,0.5165118491623979,25.721561166906508
gava97,nonsocial,7,0.8202082575762992,26.50773195525601
gava97,social,7,0.2534168490191977,38.44975781946692
gefr88,nonsocial,12,0.5920313409344653,34.89838342759509
gefr88,social,12,0.3684272341128814,28.692739039741518
giba96,nonsocial,10,NA,NA
giba96,social,10,NA,NA
guek86,nonsocial,9,0.014093713721475828,37.75
guek86,social,9,0.40093025119612014,3.8133817163047574
hese83,nonsocial,5,0.25577881308941686,43.75
hese83,social,5,0.2557018782873278,2.254106452504824
ivmi00,nonsocial,5,0.012612326097409275,25.5
ivmi00,social,5,0.0038427454472092586,13.25
jame99,nonsocial,7,0.26314535079196116,26.199757819466914
jame99,social,7,0.5263410190153455,26.075817770317798
joab01,nonsocial,8,NA,NA
joab01,social,8,NA,NA
juzi87,nonsocial,12,0.25344354067044794,25.717158119014208
juzi87,social,12,0.25174092093479283,13.37252782989217
kaba96,nonsocial,9,NA,NA
kaba96,social,9,NA,NA
kaho97,nonsocial,8,0.655647698673844,32.35465155556731
kaho97,social,8,0.3947270482033491,25.92166914443174
kasi98,nonsocial,8,NA,NA
kasi98,social,8,NA,NA
leas96,nonsocial,4,0.2390865891361431,13.720648606901518
leas96,social,4,0.19088144197065676,37.77796032112788
lira02,nonsocial,16,0.25669033976706895,43.75577267830102
lira02,social,16,0.6565829625823061,25.649758027653704
maar97,nonsocial,13,NA,NA
maar97,social,13,NA,NA
mabe00,nonsocial,4,0.5522068670462196,1.8506201221521241
mabe00,social,4,0.5965826266372459,24.684913460036892
mada01,nonsocial,6,0.6742923174200854,20.62984468566014
mada01,social,6,0.26576262568554604,44.452727000387675
maro96,nonsocial,9,0.8423809383551526,15.716541270917052
maro96,social,9,0.8042643534025464,2.75189625828225
matr95,nonsocial,9,0.3461704495865369,13.61393916876161
matr95,social,9,0.0997361857513295,1.7852966149143659
mida99,nonsocial,12,0.27251749503247275,37.75
mida99,social,12,0.0951359067166526,13.25
mike91,nonsocial,6,0.5479064661721577,21.436918252650898
mike91,social,6,0.21871455916313934,29.071836036270124
mipe92,nonsocial,8,0.25627458453725976,50
mipe92,social,8,0.16144110465866693,25.85915786175261
mira97,nonsocial,7,0.09948980421378885,50
mira97,social,7,0.4789370663623299,27.028316476456407
nedo99,nonsocial,21,0.32210896201651246,50
nedo99,social,21,0.6563660736401689,26.473744745582813
nito82,nonsocial,25,0.25,1
nito82,social,25,0.2514359803680751,13.33475092224854
niuz81,nonsocial,14,0.2686931033815253,1.7489961739151063
niuz81,social,14,0.13939662119422636,1.2903550116010292
node99,nonsocial,9,0.697398336120153,14.814779056836782
node99,social,9,0.4618152613365363,14.140680522345576
nona99,nonsocial,20,0.5023816507999305,37.788076482191435
nona99,social,20,0.3823579373707736,25.54343828095049
pada94,nonsocial,14,0.43621412823443323,37.75
pada94,social,14,0.23356349819210223,38.437568045558734
papa97,nonsocial,9,0.6975909739824713,13.25
papa97,social,9,0.6767563322174059,1.0899814097369607
pavi95,nonsocial,4,0.4740008477404495,1.9933455754982674
pavi95,social,4,0.3280347254214485,13.26257440919443
piob00,nonsocial,5,0.21316570188579095,50
piob00,social,5,0.21186484465619632,50
sasu98,nonsocial,3,0.7175660796688931,2.8555605992899245
sasu98,social,3,0.0038692850549702394,25.5
sese95,nonsocial,17,NA,NA
sese95,social,17,NA,NA
supu93,nonsocial,4,0.63767740549868,31.86365242415051
supu93,social,4,0.006375099975110147,50
thha00,nonsocial,5,0.26517482625172817,26.852607402579867
thha00,social,5,0.009352609235147667,50
tred59,nonsocial,10,0.15516272871720116,50
tred59,social,10,0.5123944999654985,32.19975781946692
udsc88,nonsocial,9,NA,NA
udsc88,social,9,NA,NA
veri93,nonsocial,8,0.6720573766179365,1.5598771766643955
veri93,social,8,0.32833728163792425,9.178417635451792
vima01,nonsocial,6,0.1465172128470913,50
vima01,social,6,0.266395883950049,26.45324188795368
yach03,nonsocial,19,0.21264715918012203,26.258804133453364
yach03,social,19,0.0013136772222117708,13.25
