med_split,run_n,BlockType,MEAN_corr_ans,SD_corr_ans,correct_answers_rate,SD_correct_answers_rate,n,SE_correct_answers_rate
High AQ,0,nonsocial,4.34375,1.4942767157477248,54.296875,18.67845894684656,32,3.301916245857435
High AQ,0,social,4.4375,1.758619326484237,55.46875,21.982741581052963,32,3.886036410258509
High AQ,1,nonsocial,5.3125,1.6350495701275216,66.40625,20.43811962659402,32,3.6129832456666247
High AQ,1,social,5.03125,1.7130311749794902,62.890625,21.412889687243627,32,3.7852998756623646
High AQ,2,nonsocial,5.6875,1.4241579289010096,71.09375,17.80197411126262,32,3.14697415314529
High AQ,2,social,5.3125,1.712148245013622,66.40625,21.401853062670277,32,3.783348857643058
High AQ,3,nonsocial,6.03125,1.513048087844214,75.390625,18.913101098052675,32,3.343395509924946
High AQ,3,social,5.5,1.9007638532459659,68.75,23.75954816557457,32,4.200134406451544
High AQ,4,nonsocial,5.9375,1.6251550794487475,74.21875,20.314438493109343,32,3.5911193036186613
High AQ,4,social,5.5625,1.933365776516811,69.53125,24.167072206460137,32,4.272175159653226
High AQ,5,nonsocial,5.9375,1.758619326484237,74.21875,21.982741581052963,32,3.886036410258509
High AQ,5,social,5.75,2.314052443156252,71.875,28.92565553945315,32,5.113381795553385
Low AQ,0,nonsocial,4.65625,1.5782672205158537,58.203125,19.72834025644817,31,3.543314510246356
Low AQ,0,social,4.34375,1.9110776389083421,54.296875,23.888470486354276,31,4.290495956659358
Low AQ,1,nonsocial,5.1875,1.6350495701275216,64.84375,20.43811962659402,31,3.670794648393775
Low AQ,1,social,5.125,1.6214290789499601,64.0625,20.2678634868745,31,3.6402157429975377
Low AQ,2,nonsocial,5.4375,1.79493013611906,67.96875,22.43662670148825,31,4.0297371151828
Low AQ,2,social,5.34375,1.7890234315708884,66.796875,22.362792894636105,31,4.016476172003333
Low AQ,3,nonsocial,5.59375,1.7571857081433442,69.921875,21.9648213517918,31,3.944998372852721
Low AQ,3,social,4.9375,1.9166082272530798,61.71875,23.957602840663498,31,4.302912494034888
Low AQ,4,nonsocial,5.774193548387097,1.7456551285855375,72.17741935483872,21.820689107319218,31,3.9191114575524257
Low AQ,4,social,5.21875,1.9794814407297554,65.234375,24.743518009121942,31,4.444067025233291
Low AQ,5,nonsocial,5.875,1.9468750809040527,73.4375,24.335938511300657,31,4.370863586427178
Low AQ,5,social,5.84375,1.6482517620095973,73.046875,20.603147025119966,31,3.7004344441487205
